name,normalized_name
Attorney General's Office,attorney-generals-office
Cabinet Office,cabinet-office
"Department for Business, Innovation & Skills",department-for-business-innovation-and-skills
Department for Communities and Local Government,department-for-communities-and-local-government
"Department for Culture, Media & Sport",department-for-culture-media-and-sport
Department for Education,department-for-education
"Department for Environment, Food & Rural Affairs",department-for-environment-food-and-rural-affairs
Department for International Development,department-for-international-development
Department for Transport,department-for-transport
Department for Work and Pensions,department-for-work-and-pensions
Department of Energy & Climate Change,department-of-energy-and-climate-change
Department of Health,department-of-health
Foreign & Commonwealth Office,foreign-and-commonwealth-office
HM Treasury,hm-treasury
Home Office,home-office
Ministry of Defence,ministry-of-defence
Ministry of Justice,ministry-of-justice
Northern Ireland Office,northern-ireland-office
Office of the Advocate General for Scotland,office-of-the-advocate-general-for-scotland
Scotland Office,scotland-office
UK Export Finance,uk-export-finance
Wales Office,wales-office
