id,publisher_id,title,data,format,last_modified,schema,created_at,period_id
798cbcdf-771a-4c05-9885-957a4d2e22fe,home-office,"Spend over £25,000 in the Home Office/November 2011",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/98189/november-2011.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2012-07-30T16:07:45.277911,01-11-2011/30-11-2011
d832f2d7-6bec-4627-9c3a-376386ef98c7,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Food and Environment Research Agency/August 2010 return",http://data.defra.gov.uk/ops/procurement/fera-over-25k-1008.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-08-2010/31-08-2010
fe6aa84d-1aad-40ce-a442-902a09e54225,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Department for Environment, Food and Rural Affairs/December 2010 return",http://data.defra.gov.uk/ops/procurement/defra-over-25k-1012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-12-2010/31-12-2010
2dcf31df-d836-4b9b-aa97-315874ff2544,department-for-education,"Spend over £25,000 by National College/National College May 2010",http://media.education.gov.uk/assets/files/xls/n/national%20college%20spend%20%20may%202010.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-05-2010/31-05-2010
cefd8d24-c3ff-4a98-b134-fb4414ea29a5,department-for-education,"Spend over £25,000 in the Department for Education/Transparency Spend over £25,000: June 2012",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/193876/DfE_spend_03jun_2012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2012-07-10T10:23:17.997736,01-06-2012/30-06-2012
3c9f12cd-ceba-469d-9fb0-2ea2bff2920e,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Consumer Council for Water/January 2012 return",http://data.defra.gov.uk/ops/procurement/ccwater-spend-over-25k-1201.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-01-2012/31-01-2012
93006f5e-1b8d-439f-9437-6113aa165a4b,department-for-work-and-pensions,"Payments over £25,000 by the Department for Work and Pensions/July 2010 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/186395/dwp-payments-july10.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-07-2010/31-07-2010
d7633eab-1363-41a7-adca-6134650dd271,department-for-business-innovation-and-skills,"Spend over £25,000 in the Department for Business, Innovation and Skills/June 2014 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/363729/BIS_spending_over__25_000_June_2014__2_.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2014-11-27T14:35:33.999755,01-06-2014/30-06-2014
3f69513e-bb56-437a-8106-f69e51a39ef1,department-for-work-and-pensions,"Spend over £25,000 in the Department for Work and Pensions/January 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/285948/dwp-payments-jan2014.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2015-09-24T12:12:49.697230,01-01-2014/31-01-2014
2a033c1f-bbc0-433a-8e77-ce2a4c3fa87f,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Consumer Council for Water/March 2011 return",http://webarchive.nationalarchives.gov.uk/+/http://data.defra.gov.uk/ops/procurement/ccwater-over-25k-1103.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-03-2011/31-03-2011
0cc343db-eac9-44e0-93f5-63bc2ed29669,department-of-health,"Spend over £25,000 in the Department of Health/July 2010 return ",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/320765/dh-july-2010-amnd4.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T12:02:36.229304,01-07-2010/31-07-2010
1c41f6bb-b781-4c94-acf4-946da7dd6d9a,department-for-business-innovation-and-skills,"Spend over £25,000 in the Department for Business, Innovation and Skills/November 2011 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/15062/spending-data-nov-2011.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,31/1/2011,01-11-2011/30-11-2011
4929ef96-13c6-431b-8f4a-4ffdbd7eff40,department-of-health,"Spend over £25,000 in the Department of Health/October 2011 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/320933/october-2011-amd.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T12:02:36.229411,01-10-2011/31-10-2011
ee8a650d-70fc-4520-a62e-1ae65f9e4e07,ministry-of-defence,"MOD: spending over £25,000/June 2010 MOD Transparency data",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/28851/Jun2010MODTransparencydataV2.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.647527,01-06-2010/30-06-2010
8c162e26-3e7e-4593-8933-6736e8835cc1,department-for-work-and-pensions,"Spend over £25,000 in the Department for Work and Pensions/December 2012 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/186365/dwp-payments-december2012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2015-09-24T12:12:49.697149,01-12-2012/31-12-2012
1913ad46-428e-47e0-8146-3cce18b92d11,home-office,"Spend over £25,000 in the Home Office/August 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/383218/ProcSpend25KAugCSV.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2014-10-09T11:14:20.133414,01-08-2014/31-08-2014
ca6859e2-59a7-4daf-a7ea-31651d3e9f04,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Environment Agency/August 2010 return",http://data.defra.gov.uk/ops/procurement/ea-over-25k-1008.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-08-2010/31-08-2010
fc1f97ef-f969-4b1a-95d2-519cda8d5860,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Joint Nature Conservation Committee/September 2010 return",http://data.defra.gov.uk/ops/procurement/jncc-over-25k-1009.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-09-2010/30-09-2010
44ac4db8-dcc0-40a1-a197-64c846501028,department-for-international-development,"Spend over £25,000 in the Department for International Development/July 2010 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/204683/July-2010.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-07-2010/31-07-2010
f752f8bf-1895-4aeb-844a-517359ea0f5f,department-for-work-and-pensions,"Payments over £25,000 by the Department for Work and Pensions/May 2010 return",http://www.dwp.gov.uk/docs/dwp-payments-12may10.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-05-2010/31-05-2010
36154b5b-c766-4f94-bf8c-6999e2bd0d8f,ministry-of-defence,"MOD: spending over £25,000/January 2013 MOD GPC spend: travel and stationery",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/182649/20130402_travel_stationery_jan13.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.647973,01-01-2013/31-01-2013
fa84e354-74df-4bee-a1a9-cd53e77ada89,department-for-education,"Spend over £25,000 by Qualifications and Curriculum Development Agency/QCDAe May 2010",http://media.education.gov.uk/assets/files/xls/qcdae%20spend%20%20may%202010.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-05-2010/31-05-2010
4334cfc4-4e60-404d-8e66-de96003197af,ministry-of-defence,"MOD: spending over £25,000/MOD's government procurement card spending over £500 on travel and stationery for July 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/380670/GPC_Transparency_data_travel_stationery_July2014.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.648536,01-07-2014/31-07-2014
f2571afe-5a8a-460b-ac41-56c8f3c850e0,ministry-of-defence,"MOD: spending over £25,000/MOD's government procurement card spending over £500 on travel and stationery for March 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/381436/GPC_Transparency_data_Mar_2014_travel_and_stationery_contracts.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.648255,01-03-2014/31-03-2014
