Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,
Cabinet Office,CABINET OFFICE,1/6/2015,INSIGNIA OVERHEAD COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000061305,71603.00,Administation and overheads costs for insignia,,Administation and overheads costs for insignia 
Cabinet Office,CABINET OFFICE,1/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000061325,35314.61,Consultancy services provided to GaaP and CTS,,
Cabinet Office,CABINET OFFICE,1/6/2015,SERVICE CHARGES,10 GREAT GEORGE STREET,HOME OFFICE,3000061312,39497.96,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,1/6/2015,"FURNITURE, FIXTURES & FITTINGS (NON-PRIME)",GDS BUSINESS AND OFFICE COSTS,BOUYGUES E&S FM UK LTD,3000061315,46730.05,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,1/6/2015,ADDITIONS IT HARDWARE,CO IT SYSTEMS CAPITAL,VIGLEN LTD,3000061322,150000.00,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,1/6/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,EXPERIAN LTD,3000061306,275982.00,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,1/6/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,KPMG,3000061318,73433.00,MIH Mutualisation Support for Liverpool Heart and Chest Hospital NHS Foundation Trust,,
Cabinet Office,CABINET OFFICE,1/6/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,BDO LLP,3000061334,54000.00,MIH Mutualisation Support for Liverpool Heart and Chest Hospital NHS Foundation Trust.,,
Cabinet Office,CABINET OFFICE,1/6/2015,SOFTWARE LEASE/LICENSE,CCS READINESS AND RESPONSE,ORDNANCE SURVEY,3000061316,33750.00,"Ordnance Survey Mastermap Imagery under Framework Direct Licence, which is used in support of National Crisis arrangements",,
Cabinet Office,CABINET OFFICE,1/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000061325,25449.67,Payment for identities under the identity provider  contract ,,
Cabinet Office,CABINET OFFICE,1/6/2015,OPERATING LEASES - RENT,10 GREAT GEORGE STREET,HOME OFFICE,3000061312,280339.97,Rent for accommodation,,
Cabinet Office,CABINET OFFICE,1/6/2015,OTHER IS IT COSTS VAT RECOV,COMMON TECHNOLOGY SERVICES,METHODS DIGITAL LTD,3000061336,31180.00,Resource Services to assist Government Platform Delivery Team,,
Cabinet Office,CABINET OFFICE,2/6/2015,OTHER IS IT COSTS VAT RECOV,PMO ICTS,VIRGIN MEDIA LTD,3000061369,35609.68,ICT Services,,
Cabinet Office,CABINET OFFICE,2/6/2015,OTHER IS IT COSTS VAT RECOV,ERTP ERO DIGITAL,GRAMPIAN VALUATION JOINT BOARD,3000061346,169831.49,Individual Electoral Registration costs,,
Cabinet Office,CABINET OFFICE,2/6/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,KAINOS SOFTWARE LTD,3000061344,84111.33,Individual Electoral Registration Live Service development costs,,
Cabinet Office,CABINET OFFICE,2/6/2015,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,NEW BAMBOO WEB DEVELOPMENT LTD,3000061359,137200.00,Infrastructure Development services for GOV.UK,,
Cabinet Office,CABINET OFFICE,2/6/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,E SYNERGY SOLUTIONS LTD,3000061357,137060.00,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,2/6/2015,POSTAGE,PMO DIRECT COMMUNICATIONS UNIT,ROYAL MAIL GROUP LTD,3000061348,63982.86,Postal services,,
Cabinet Office,CABINET OFFICE,3/6/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000061390,2726832.54,Civil Service pension administration services,,
Cabinet Office,Crown Commercial Service,3/6/2015,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINORD 1496,41838.19,Whitehall heating systems management,,
