Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,
Cabinet Office,CABINET OFFICE,03/08/15,INDIVIDUAL ELECTORAL REGISTRATION COSTS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CENTRAL SCOTLAND VALUATION JOINT BOARD,3000063218,94287.00,Individual Electoral Registration Funding for 15/16,,,,,,,,
Cabinet Office,CABINET OFFICE,03/08/15,INSIGNIA OVERHEAD COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000063198,71603.00,Insignia overhead costs for Honours,,,,,,,,
Cabinet Office,CABINET OFFICE,03/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000063205,27356.16,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,03/08/15,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA BUSINESS SERVICES LTD,3000063205,27742.69,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,3/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000063205,39361.74,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,3/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000063205,59356.93,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,3/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000063205,61524.21,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,3/8/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS ID ASSURANCE,OPEN IDENTITY EXCHANGE,2000692,32220.00,Payment for identities under the Identity Provider Contract,,,,,,,,
Cabinet Office,CABINET OFFICE,4/8/2015,CONTRACTORS & STAFF SUBSTITUTIONS, GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000063261,53288.89,Interim IT Specialists ,,,,,,,,
Cabinet Office,CABINET OFFICE,05/08/15,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY GRANTS,THE JOIN IN TRUST,1001327,750000.00,Grant to continue to develop the Olympic legacy of volunteering,,,,,,,,
Cabinet Office,CABINET OFFICE,5/8/2015,RESOURCE GRANTS PRIVATE SECTOR,COMPACT VOICE,DO IT TRUST,1001326,50000.00,Grant to support the running of a volunteering web platform and development of a new Do-it service.,,,,,,,,
Cabinet Office,CABINET OFFICE,5/8/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,FCO SERVICES,3000063272,229966.67,Individual Electoral Registration Live Service running costs,,,,,,,,
Cabinet Office,CABINET OFFICE,05/08/15,CONSULTANTS VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,GREEN PARK INTERIM AND EXECUTIVE LTD,3000063284,26505.00,Interim contractors,,,,,,,,
