Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description 
Cabinet Office,CABINET OFFICE,1/10/2015,INSIGNIA OVERHEAD COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000064814,71603.00,Administation and overheads costs for insignia
Cabinet Office,CABINET OFFICE,1/10/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GPU POLICY AND STRATEGY ADMIN,CAPITA BUSINESS SERVICES LTD,3000064829,25355.70,Interim IT specialists
Cabinet Office,CABINET OFFICE,1/10/2015,IS/IT COSTS - NON RECOVERABLE VAT,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,TRUSTMARQUE SOLUTIONS LTD,3000064815,40289.44,IT Service Costs
Cabinet Office,CABINET OFFICE,1/10/2015,OTHER IS IT COSTS VAT RECOV,PMO ICTS,SOFTWARE BOX LTD,3000064816,49705.60,IT Service Costs
Cabinet Office,CABINET OFFICE,1/10/2015,OTHER LEGAL FEES,SOLAR PV,BROWNE JACOBSON LLP,3000064830,33442.00,Legal Services
Cabinet Office,CABINET OFFICE,1/10/2015,GRANT IN AID PRIVATE SECTOR,GRANT PAYMENTS,THE CHEQUERS ESTATE,3000064807,162500.00,Quarterly payment to Chequers Trust
Cabinet Office,CABINET OFFICE,1/10/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000064827,406688.75,Royal Mail Pension programme
Cabinet Office,Crown Commercial Service,2/10/2015,Legal Fees,Legal Services,Government Legal Department,PINORD 2256,52935.72,Legal services
Cabinet Office,Crown Commercial Service,2/10/2015,Legal Fees,Legal Services,Government Legal Department,PINORD 2258,62066.80,Legal services
Cabinet Office,Crown Commercial Service,2/10/2015,WAN Charges,IT,Salesforce.com,PINORD 2264,112069.44,Customer Relationship Management System
Cabinet Office,Crown Commercial Service,2/10/2015,Legal Fees,Legal Services,Government Legal Department,PINORD 2259,127784.30,Legal services
Cabinet Office,CABINET OFFICE,2/10/2015,OTHER IS IT COSTS VAT RECOV,COI TRANSITION COSTS - ADMIN,HM TREASURY,3000064844,109455.76,Facilities management services
