Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,
Cabinet Office,CABINET OFFICE,2/11/2015,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000065888,27458.97,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,2/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000065893,31064.15,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,2/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DEPARTMENTAL ENGAGEMENT,ODGERS RAY & BERNDTSON,3000065890,56051.52,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,3/11/2015,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,10 VICTORIA STREET,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000065937,66189.00,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,3/11/2015,SERVICE CHARGES,10 VICTORIA STREET,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000065937,26397.00,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,3/11/2015,OTHER IS IT COSTS VAT RECOV,G CLOUD,CROWN COMMERCIAL SERVICE,3000065941,74000.00,G-Cloud Supplier Assurance Services,,
Cabinet Office,CABINET OFFICE,3/11/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU ONE PUBLIC ESTATE,LIVERPOOL CITY COUNCIL,3000065947,50000.00,Grant for One Public Estate Project,,
Cabinet Office,CABINET OFFICE,3/11/2015,OFFICE EQUIPMENT - CURRENT,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,MISCO,3000065943,43032.72,IT hardware ,,
Cabinet Office,CABINET OFFICE,3/11/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,CESG,3000065924,225000.00,IT Security Advice and Consultancy to GDS,,
Cabinet Office,CABINET OFFICE,3/11/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,EXPERIAN LTD,3000065922,108465.00,Identity Assurance Programme,,
Cabinet Office,CABINET OFFICE,3/11/2015,OPERATING LEASES - RENT,10 VICTORIA STREET,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000065937,62097.00,Rent for accommodation,,
Cabinet Office,CABINET OFFICE,4/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GPU GOVERNMENT PROPERTY MODEL,CLAYTON ADVISORY SERVICES LTD,3000065969,80640.00,Business Case Developer & Modeller for work on the Hubs Programme,,
Cabinet Office,CABINET OFFICE,4/11/2015,STAFF RELATED COSTS,CABINET OFFICE BAU RESOURCE B,ADDITION SOLUTIONS LTD,3000065964,28500.00,Provision of resources for Cabinet Office Digital and Technology Team,,
Cabinet Office,CABINET OFFICE,4/11/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000065994,406688.75,Royal Mail Statutory Pension Scheme,,
Cabinet Office,CABINET OFFICE,4/11/2015,OTHER IS IT COSTS VAT RECOV,COMMON TECHNOLOGY SERVICES,PARITY RESOURCES LTD,3000065955,29400.00,Services to GDS to support Common Technology Services,,
Cabinet Office,CABINET OFFICE,5/11/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,BUSINESS MANAGEMENT TEAM,GOVERNMENT INTERNAL AUDIT AGENCY,3000066035,185000.00,Audit Fees,,
Cabinet Office,CABINET OFFICE,5/11/2015,OTHER IS IT COSTS VAT RECOV,PMO ICTS,VODAFONE LTD,3000066001,32466.01,IT service costs,,
Cabinet Office,CABINET OFFICE,5/11/2015,NON PRIME PROPERTY COSTS,GDS BUS DEV CONSULTANT AND STAFF COSTS,FOOD STANDARDS AGENCY,3000066009,161485.32,Service Charge for Aviation House,,
Cabinet Office,CABINET OFFICE,5/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,AGENCY TRANSFORMATION,METHODS DIGITAL LTD,3000066027,44280.00,Services to GDS to support Government as a Platform team,,
Cabinet Office,CABINET OFFICE,5/11/2015,OTHER IS IT COSTS VAT RECOV,ERG NEXT GENERATION SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000066018,1595200.00,Shared Operating Platform Payments for Next Generation Shared Services,,
Cabinet Office,CABINET OFFICE,6/11/2015,CENTRAL TRAINING CONTRACTS VAT RECOVERABLE,FAST STREAM COSTS CS RESOURCING,CAPITA BUSINESS SERVICES LTD,3000066047,37531.00,Civil Service Fast Stream resource,,
