EXAMPLES OF GPC EXPENDITURE,

Merchant Category Group/Code narrative,Examples of Expenditure

"Bars, restaurants and nightclubs",ˇ         Small hotels provided by our Hotel provider are classed under this heading 
,"ˇ         Meals/subsistence while on detached duty, military operations and training exercises "
Fireplace,ˇ         Repairs to ovens in kitchens
Gifts/cards/novelty shops and video amusement game supply,ˇ         Trainee visits to the Royal Armouries as part of their training to see the history of weaponry and guns.
,"ˇ         Video Games, puzzles etc for rest and recuperation for personnel serving in Afghanistan"
"Hobby, Toys and games",ˇ         For schools educating Service children overseas
Florists,ˇ         Wreaths for Military personnel killed while in Service 
,"ˇ         Upkeep of the Defence estate, particularly military establishments"
Music shops and Bands/Orchestras,ˇ         Musical instruments purchased for the various military bands and the Royal School of Music
Dry cleaning,"ˇ         The procurement, rental and maintenance of washing machines  "
,ˇ         The provision of laundry facilities for Military personnel
Jewellery,ˇ         Maintenance of clocking-in machines at MOD establishments
,ˇ         New location signs
,ˇ         The provision of dog tags for military personnel 
,ˇ         Warrant card holders for the MOD Police
,ˇ         Kilt pins for school uniforms
Gym equipment,ˇ         The purchase of physical training equipment for military gyms and schools
Arts and Craft Shops,ˇ         Insignia for military band instruments
,ˇ         Mock up models for military visits to schools 
,ˇ         Military recruitment banners
Cinema trips,ˇ         Hire of venues by the Army Presentation team 
,ˇ         Leisure activity as part of the training for new junior soldiers
Tourist attractions and exhibits,ˇ         Acquaint visits for potential recruits to the Royal Navy
,ˇ         Costs related to the annual Navy Day
,ˇ         Adventure training courses including hire of facilities and instruction
Cosmetics,ˇ         Demineralised water for radar systems
,ˇ         Air fresheners for waiting areas and toilets in Military Careers Offices
Leisure Activities/Recreation services,"ˇ         Payment to local radio companies for ""advertising space"" by the Military Recruiting Teams"
,ˇ         Payment for a Mountain Rescue Winter Climbing Training Courses for the Search and Rescue Teams
,ˇ         Coach hire for pre deployment training
,ˇ         Diving courses for Army divers
Theatrical Producers,ˇ         Ferry bookings
,ˇ         Venues for MOD Recruiting Teams and Presentation Teams
,ˇ         Army Officer training as part of cultural awareness
Bowling Alleys,ˇ         Leisure activities/team building for junior soldiers as part of their Army training programme
Health and Beauty Spas,ˇ         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category
Shoe Stores,ˇ         Specialist boots on health grounds for Military staff
Pet stores/Food & Supply,ˇ         Food and Supplies for the Defence Animal Centre and MOD Police and guard dogs
Books and Periodicals,"ˇ         Books and publications for our libraries and schools that are not available on contract e.g. second hand books, "
Beauty and Barber shops,ˇ         Specialist Medical and trauma training
Speciality Cleaning/Polishing,"ˇ         Industrial leak and spill management, industrial safety and plant maintenance products"
Tailor/Seamstress/Alters,"ˇ         Ceremonial clothing e.g. Trooping the Colour, Queens Birthday parade"
,ˇ         Mounting  of military medals on uniforms
Children/Infants wear stores,ˇ         Some retailers in this category also supply adult clothing/products 
,ˇ         Specialist clothing requiring motifs e.g. t-shirts for the Red Arrows
,ˇ         Equipment for battle field tests
,ˇ         Items for our schools and sponsorship of sports clothing for local schools with military logos
Mens/Womens Clothing Stores,ˇ         Specialist Outdoor Clothing e.g. adventure training clothing
,ˇ         Purchase of items of uniform from specialist Suppliers
Advertising Services,"ˇ         Payment to local radio companies and Newspapers for ""advertising space"" by the Military Recruiting Teams   "
,ˇ         Sign making Services
,ˇ         Exhibition displays
Commercial Photo/Art/Graph,ˇ         Safety Sign making Services
Management/Consult/Public Relations Services,ˇ         Specialist training providers
,ˇ         Payments to Professional Bodies
Civic/Social/Fraternal Associations,ˇ         Payments to Professional Bodies
,ˇ         Payments to Local Councils
Statutory Bodies - Fines,ˇ         Payments to the Police for advanced driving courses
Cable/Pay TV Services,ˇ         Sky installations for MOD establishments and ships
Boat Dealers,ˇ         Repairs to ships and boats
,ˇ         Purchase of specialist paint for ships,,,,
Dentists/Orthodontists,ˇ         Dental equipment for Military staff dental check ups,,,,
General Retail  Womens Access/Speciality,ˇ         Waterproof Clothing and products for Adventure training ,,,,
,ˇ         Waterproof Clothing for Search and Rescue teams ,,,,
Timeshare,ˇ         Temporary accommodation (short term holiday home let) for Service Families awaiting Service Accommodation ,,,,
Pkg Stores/Beer/Wine/Liquor,ˇ         The purchase of alcohol for cooking purposes at the Defence School of Catering for trainee chefs.,,,,
Member Clubs/Sport/Rec/Golf,ˇ         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category,,,,
,ˇ         Military training courses,,,,
,ˇ         Adventure training courses including hire of facilities and instruction,,,,
Detective/Protective Agency,ˇ         CCTV Equipment,,,,
,ˇ         Threat Detection Equipment,,,,

MoD GPC TRANSPARENCY DATA FOR OCTOBER 2012,,,,,

UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC42090,10-Oct-12,Auto Rental                        ,Auto Rental                        ,"Ł2,689.66",42090
MODGPC42091,04-Oct-12,Auto Rental                        ,Auto Rental                        ,"Ł1,368.24",42091
MODGPC42092,01-Oct-12,Auto Rental                        ,Auto Rental                        ,"Ł1,241.05",42092
MODGPC42093,03-Oct-12,Auto Rental                        ,Auto Rental                        ,"Ł2,497.92",42093
MODGPC42094,01-Oct-12,Automotive Fuel                    , SERVICE STATIONS,"Ł3,057.60",42094
MODGPC42095,03-Oct-12,Automotive Fuel                    , SERVICE STATIONS,"Ł2,162.06",42095
MODGPC42096,10-Oct-12,Books and Periodicals              , BOOK STORES,"Ł1,444.44",42096
MODGPC42097,02-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł861.73,42097
MODGPC42098,02-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł861.73,42098
MODGPC42099,08-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł861.73,42099
MODGPC42100,01-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł884.86,42100
MODGPC42101,02-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł578.30,42101
MODGPC42102,08-Oct-12,Books and Periodicals              , BOOK STORES,Ł530.76,42102
MODGPC42103,04-Oct-12,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,Ł649.95,42103
MODGPC42104,01-Oct-12,Books and Periodicals              , BOOK STORES,"Ł1,359.36",42104
MODGPC42105,01-Oct-12,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł751.36,42105
MODGPC42106,09-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł554.38,42106
MODGPC42107,04-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,275.50",42107
MODGPC42108,11-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł888.06,42108
MODGPC42109,03-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł697.62,42109
MODGPC42110,02-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł648.02,42110
MODGPC42111,09-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł522.07,42111
MODGPC42112,10-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,385.99",42112
MODGPC42113,05-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł555.30,42113
MODGPC42114,05-Oct-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł750.73,42114
