Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction No,Payment Description,  Total  
Ministry of Defence,Ministry of Defence,19/08/2013,Property leases,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,240139,Property dwellings private finance initiative - service concession arrangement service charge,"23,016,498.21"
Ministry of Defence,Ministry of Defence,15/08/2013,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,SHELL EASTERN TRADING (PTE) LIMITED,,2000019912,Raw materials and consumable oil and lubricants inventory purchased,"18,451,808.98"
Ministry of Defence,Ministry of Defence,29/08/2013,Grants in aid,Head Office & Corporate Services,COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,5000101444,Pay costs grant in aid to the Commonwealth War Graves commission,"9,224,137.93"
Ministry of Defence,Ministry of Defence,19/08/2013,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11195,Monthly GPC payment,"9,014,290.28"
Ministry of Defence,Ministry of Defence,16/08/2013,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11193,Monthly GPC payment,"8,393,295.73"
Ministry of Defence,Ministry of Defence,15/08/2013,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,239382,Estate core services charge,"7,484,244.73"
Ministry of Defence,Ministry of Defence,28/08/2013,Estate management,Defence Infrastructure Organisation ,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,243435,Estate core services charge,"7,128,128.29"
Ministry of Defence,Ministry of Defence,09/08/2013,Property leases,Defence Infrastructure Organisation ,MODUS SERVICES LIMITED,SW1A 2HB,237524,Property non dwellings private finance initiative - service concession arrangement service charge,"6,866,403.73"
Ministry of Defence,Ministry of Defence,02/08/2013,Estate management,Defence Infrastructure Organisation ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,235031,Estate core services charge,"6,418,543.82"
Ministry of Defence,Ministry of Defence,09/08/2013,Property leases,Defence Infrastructure Organisation ,RMPA SERVICES PLC,CO2 7ST,237685,Property dwellings private finance initiative - service concession arrangement service charge,"5,920,272.23"
