Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,29/10/2014,IT and communication services,JFC,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,396515,Line + telephone rental including commercial charge for use of radio frequencies,"Ł38,719,600.00"
Ministry of Defence,Ministry of Defence,06/10/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,387940,Property dwellings private finance initiative - service concession arrangement service charge,"Ł23,470,431.13"
Ministry of Defence,Ministry of Defence,30/10/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,396726,Property dwellings private finance initiative - service concession arrangement service charge,"Ł23,448,764.10"
Ministry of Defence,Defence Science and Technology Laboratory,31/10/2014,Capital Asset expenditure,Infrastructure,SERCO LIMITED,,V - 0000003078 - 00194259,Capital Asset expenditure,"Ł16,761,713.40"
Ministry of Defence,Ministry of Defence,23/10/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LEND LEASE CONSTRUCTION (EMEA) LIMITED,B91 3TA,394391,Fiscal asset under construction - capital in year addition,"Ł11,227,477.14"
Ministry of Defence,Ministry of Defence,17/10/2014,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11395,MONTHLY GPC PAYMENT,"Ł10,665,528.04"
Ministry of Defence,Ministry of Defence,17/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,392154,Estate core services charge,"Ł10,298,867.69"
Ministry of Defence,Ministry of Defence,17/10/2014,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11396,MONTHLY GPC PAYMENT,"Ł10,006,857.37"
Ministry of Defence,Ministry of Defence,10/10/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LOVELL PARTNERSHIPS LIMITED,ST16 3AS,390329,Fiscal asset under construction - capital in year addition,"Ł8,378,585.00"
Ministry of Defence,Ministry of Defence,10/10/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,390347,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł8,076,409.50"
Ministry of Defence,Ministry of Defence,29/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,396274,Estate core services charge,"Ł7,665,338.99"
Ministry of Defence,Ministry of Defence,21/10/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,393644,Property dwellings private finance initiative - service concession arrangement service charge,"Ł6,553,144.89"
Ministry of Defence,Ministry of Defence,13/10/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES LIMITED,B75 7RL,390706,Fiscal asset under construction - capital in year addition,"Ł5,899,373.08"
Ministry of Defence,Ministry of Defence,06/10/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LEND LEASE CONSTRUCTION (EMEA) LIMITED,B91 3TA,388179,Fiscal asset under construction - capital in year addition,"Ł5,699,825.69"
Ministry of Defence,Ministry of Defence,13/10/2014,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,390775,Estate + facilities management services - accommodation inventory + service,"Ł5,398,337.13"
Ministry of Defence,Ministry of Defence,14/10/2014,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,391110,Fees for professional services excluding legal fees,"Ł5,004,140.20"
Ministry of Defence,Ministry of Defence,30/10/2014,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,396744,Single use military equipment asset under construction - capital in year addition,"Ł4,875,497.00"
Ministry of Defence,Ministry of Defence,15/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,391653,Estate core services charge,"Ł4,824,061.48"
Ministry of Defence,Ministry of Defence,24/10/2014,Fees for professional services,Defence Equipment + Support,MCKINSEY & COMPANY INC  UNITED KINGDOM,SW1Y 4UH,394887,The provision of advice and guidance related to management of ongoing programmes and projects,"Ł4,789,021.25"
Ministry of Defence,Ministry of Defence,07/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,388719,Estate core services charge,"Ł4,639,229.01"
Ministry of Defence,Ministry of Defence,17/10/2014,Design services and minor equipment purchases,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,392029,Equipment support non-project costs,"Ł4,303,413.00"
Ministry of Defence,Ministry of Defence,15/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,391653,Works - estate management,"Ł3,840,123.78"
Ministry of Defence,Ministry of Defence,10/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,390159,Estate core services charge,"Ł3,667,066.00"
Ministry of Defence,Ministry of Defence,27/10/2014,"Purchase of major spares armaments, medical & general stores",Defence Equipment + Support,BAE SYSTEMS MARINE LTD,GU14 6YU,395234,Capital spares engineering and technical inventory single use military equip capital in year addition,"Ł3,560,928.00"
Ministry of Defence,Ministry of Defence,10/10/2014,Design services and minor equipment purchases,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,390072,Equipment support non-project costs,"Ł3,508,679.77"
Ministry of Defence,Ministry of Defence,07/10/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,388711,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł3,419,239.24"
Ministry of Defence,Ministry of Defence,02/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,387049,Works - estate management,"Ł3,334,700.21"
Ministry of Defence,Ministry of Defence,09/10/2014,Purchase of information and communications technology,Defence Equipment + Support,FUJITSU SERVICES LIMITED,TW18 3BF,389628,IT + communications asset - in year capital addition,"Ł3,219,175.98"
Ministry of Defence,Ministry of Defence,20/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000120044,Works - estate management,"Ł3,116,389.70"
Ministry of Defence,Ministry of Defence,08/10/2014,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,SKANSKA UK PLC,WD3 9SW,183491,Fees for professional services excluding legal fees,"Ł3,043,350.00"
Ministry of Defence,Ministry of Defence,08/10/2014,"Adminstration, claims, compensation and awards",HO+CS,VETERANS AID,SW1W 0RE,389384,Cost of claims/compensation and related expenses against MOD,"Ł3,000,000.00"
Ministry of Defence,Ministry of Defence,20/10/2014,Rental of plant and machinery,Defence Equipment + Support,ALC (SPC) LIMITED,OX25 2LD,392565,Plant + machinery private finance initiative - service concession arrangements service charge,"Ł2,941,515.52"
Ministry of Defence,Ministry of Defence,30/10/2014,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,396808,Fees for professional services excluding legal fees,"Ł2,709,560.80"
Ministry of Defence,Ministry of Defence,24/10/2014,Rental of plant and machinery,Defence Equipment + Support,BOEING DEFENCE U K LTD,BS16 1EJ,394614,Plant + machinery operating lease,"Ł2,680,026.00"
Ministry of Defence,Ministry of Defence,09/10/2014,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,389541,Grant in aid to the council of reserve forces and cadet associations,"Ł2,630,010.50"
Ministry of Defence,Ministry of Defence,15/10/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,391746,Utilities consumed - electricity,"Ł2,622,968.02"
Ministry of Defence,Ministry of Defence,17/10/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,392143,Utilities consumed - gas,"Ł2,589,699.83"
Ministry of Defence,Ministry of Defence,28/10/2014,Fuel for military use,Air Command,UNITED STATES GOVERNMENT,,2000023388,Aviation fuel casual uplift consumed,"Ł2,546,292.94"
Ministry of Defence,Ministry of Defence,06/10/2014,Property leases,JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,388063,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł2,527,869.65"
Ministry of Defence,Ministry of Defence,14/10/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,391182,Utilities consumed - electricity,"Ł2,510,796.94"
Ministry of Defence,Ministry of Defence,14/10/2014,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,391079,Equipment support non-project costs,"Ł2,491,557.60"
Ministry of Defence,Ministry of Defence,17/10/2014,"Transportation of personnel, freight and travel expenses",Land Forces,AGILITY LOGISTICS LIMITED,RG1 2LG,392027,Movement of service personnel,"Ł2,434,424.75"
Ministry of Defence,Ministry of Defence,20/10/2014,Research and development,Defence Equipment + Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,392738,Research and development excluding defence science and technology laboratory,"Ł2,417,034.34"
Ministry of Defence,Ministry of Defence,23/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,394296,Works - estate management,"Ł2,305,005.22"
Ministry of Defence,Ministry of Defence,06/10/2014,Spend on Inventory - General,Defence Equipment + Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,388331,Spend on Inventory - General,"Ł2,264,184.00"
Ministry of Defence,Ministry of Defence,10/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000119711,Estate core services charge,"Ł2,220,238.17"
Ministry of Defence,Ministry of Defence,09/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,389512,Estate core services charge,"Ł2,146,432.30"
Ministry of Defence,Ministry of Defence,20/10/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,392708,Estate + facilities management services - accommodation inventory + service,"Ł2,117,747.10"
Ministry of Defence,Ministry of Defence,09/10/2014,Property leases,Land Forces,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,389558,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł2,112,608.56"
Ministry of Defence,Ministry of Defence,01/10/2014,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,386501,Fees for professional services excluding legal fees,"Ł2,058,318.00"
Ministry of Defence,Ministry of Defence,27/10/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,JOHN GRAHAM CONSTRUCTION LIMITED,BT26 6HX,43110,Fiscal asset under construction - capital in year addition,"Ł2,034,483.75"
Ministry of Defence,Ministry of Defence,24/10/2014,"Adminstration, claims, compensation and awards",HO+CS,THE SIR OSWALD STOLL FOUNDATION,SW6 1DT,395116,Cost of claims/compensation and related expenses against MOD,"Ł2,000,000.00"
Ministry of Defence,Ministry of Defence,24/10/2014,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS MARINE LTD,GU14 6YU,394596,Single use military equipment assets under construction - capitalised consultancy in year addition (payables element),"Ł1,980,000.00"
Ministry of Defence,Ministry of Defence,08/10/2014,Fees for professional services,HO+CS,SERVICES SOUND & VISION CORPORATION,SL9 8TN,389306,Fees for professional services excluding legal fees,"Ł1,948,999.00"
