Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,19/12/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,ANNINGTON RECEIVABLES LTD,W1U 1DR,417894,Rent UK married quarters - operating lease payments,"£41,415,897.01"
Ministry of Defence,Ministry of Defence,11/12/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,414243,Property dwellings private finance initiative - service concession arrangement service charge,"£23,539,399.53"
Ministry of Defence,Ministry of Defence,29/12/2014,Purchase of buildings and military equipment ,Defence Equipment + Support,DAEWOO SHIPBUILDING AND MARINE ENGINEERING CO LTD,,420230,Fiscal asset under construction - capital in year addition,"£22,845,381.29"
Ministry of Defence,Ministry of Defence,24/12/2014,Purchase of buildings and military equipment ,Defence Equipment + Support,DAEWOO SHIPBUILDING AND MARINE ENGINEERING CO LTD,,419844,Fiscal asset under construction - capital in year addition,"£16,509,800.79"
Ministry of Defence,Ministry of Defence,09/12/2014,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,413133,Equipment support non-project costs,"£10,829,735.00"
Ministry of Defence,Ministry of Defence,05/12/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,HP2 4XN,2.00E+11,Rent buildings - non civil estate property and married quarter property,"£10,187,317.71"
Ministry of Defence,Ministry of Defence,08/12/2014,Development costs for military equipment,Defence Equipment + Support,NETMA,,5000122202,Intangible single use military equipment asset  - in year capital addition,"£10,016,047.38"
Ministry of Defence,Ministry of Defence,08/12/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LEND LEASE CONSTRUCTION (EMEA) LIMITED,B91 3TA,412811,Fiscal asset under construction - capital in year addition,"£9,010,226.77"
Ministry of Defence,Ministry of Defence,12/12/2014,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,TS17 6YG,EMP11417,Monthly GPC Payment,"£8,437,467.22"
Ministry of Defence,Ministry of Defence,22/12/2014,General services and support,Defence Equipment + Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,KT15 2NX,184336,Defence equipment CLS/IOS service charge,"£8,204,655.60"
Ministry of Defence,Ministry of Defence,18/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,417283,Estate core services charge,"£8,031,513.65"
Ministry of Defence,Ministry of Defence,23/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,419388,Estate core services charge,"£7,959,761.00"
Ministry of Defence,Ministry of Defence,11/12/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,414548,Property non dwellings private finance initiative - service concession arrangement service charge,"£7,840,810.36"
Ministry of Defence,Ministry of Defence,15/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,415622,Estate core services charge,"£7,809,183.68"
Ministry of Defence,Ministry of Defence,09/12/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,413295,Property non dwellings private finance initiative - service concession arrangement service charge,"£7,239,773.52"
Ministry of Defence,Ministry of Defence,24/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,419821,Estate core services charge,"£6,843,788.68"
Ministry of Defence,Ministry of Defence,11/12/2014,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,414301,Fees for professional services excluding legal fees,"£6,336,182.00"
Ministry of Defence,Ministry of Defence,22/12/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,419137,Property dwellings private finance initiative - service concession arrangement service charge,"£6,279,918.97"
Ministry of Defence,Ministry of Defence,10/12/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,413702,Utilities consumed - electricity,"£5,483,503.96"
Ministry of Defence,Ministry of Defence,19/12/2014,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,418189,Estate + facilities management services - accommodation inventory + service,"£5,398,337.13"
Ministry of Defence,Ministry of Defence,17/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,416871,Estate core services charge,"£5,069,798.00"
Ministry of Defence,Ministry of Defence,11/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,414252,Estate core services charge,"£4,742,481.43"
Ministry of Defence,Ministry of Defence,11/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,414252,Works - estate management,"£4,692,481.58"
Ministry of Defence,Ministry of Defence,02/12/2014,Fees for professional services,HO+CS,SERCO LIMITED,RG27 9UY,410853,Fees for professional services excluding legal fees,"£4,665,675.06"
Ministry of Defence,Ministry of Defence,17/12/2014,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,416722,Fees for professional services excluding legal fees,"£4,085,877.01"
Ministry of Defence,Ministry of Defence,10/12/2014,Spend on Inventory - General,Defence Equipment + Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,414010,Spend on Inventory - General,"£3,954,888.00"
Ministry of Defence,Ministry of Defence,10/12/2014,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,413655,Fees for professional services excluding legal fees,"£3,603,623.74"
Ministry of Defence,Ministry of Defence,08/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,412639,Estate core services charge,"£3,563,495.00"
Ministry of Defence,Ministry of Defence,16/12/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LOVELL PARTNERSHIPS LIMITED,ST16 3AS,416338,Fiscal asset under construction - capital in year addition,"£3,562,346.00"
Ministry of Defence,Ministry of Defence,22/12/2014,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,B37 7YG,419172,Property non dwellings private finance initiative - service concession arrangement service charge,"£3,387,497.34"
Ministry of Defence,Ministry of Defence,23/12/2014,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,419381,Fees for professional services excluding legal fees,"£3,090,888.80"
Ministry of Defence,Ministry of Defence,05/12/2014,Property leases,JFC,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,412001,Property non dwellings private finance initiative - service concession arrangement service charge,"£3,033,443.58"
Ministry of Defence,Ministry of Defence,23/12/2014,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,419416,Fees for professional services excluding legal fees,"£3,027,651.70"
Ministry of Defence,Ministry of Defence,16/12/2014,Rental of plant and machinery,Defence Equipment + Support,ALC (SPC) LIMITED,OX25 2LD,416150,Plant + machinery private finance initiative - service concession arrangements service charge,"£2,941,515.52"
Ministry of Defence,Ministry of Defence,19/12/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,418013,Utilities consumed - gas,"£2,913,241.67"
Ministry of Defence,Ministry of Defence,11/12/2014,Design services and minor equipment purchases,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,414220,Equipment support non-project costs,"£2,890,117.00"
Ministry of Defence,Ministry of Defence,09/12/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,413227,Utilities consumed - electricity,"£2,883,079.15"
Ministry of Defence,Ministry of Defence,16/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,416221,Estate core services charge,"£2,858,062.68"
Ministry of Defence,Ministry of Defence,11/12/2014,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,414337,Grant in aid to the council of reserve forces and cadet associations,"£2,845,221.00"
Ministry of Defence,Ministry of Defence,18/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,417284,Works - estate management,"£2,840,018.04"
Ministry of Defence,Ministry of Defence,05/12/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,411993,Fiscal asset under construction - capital in year addition,"£2,785,800.00"
Ministry of Defence,Ministry of Defence,18/12/2014,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 6BS,417214,External military training ,"£2,692,780.75"
Ministry of Defence,Ministry of Defence,01/12/2014,Grants to NDPBs,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,410148,Grant in aid to the council of reserve forces and cadet associations,"£2,633,578.00"
Ministry of Defence,Defence Science and Technology Laboratory,12/12/2014,Sub Contracted Work,Programme Delivery Directorate,QINETIQ LIMITED,,V - 9000162704 - 00196782,Sub Contracted Work,"£2,597,738.00"
Ministry of Defence,Ministry of Defence,12/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000122440,Works - estate management,"£2,554,457.20"
Ministry of Defence,Ministry of Defence,24/12/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES LIMITED,B75 7RL,419849,Fiscal asset under construction - capital in year addition,"£2,519,435.04"
Ministry of Defence,Ministry of Defence,12/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,415028,Estate core services charge,"£2,491,534.21"
Ministry of Defence,Ministry of Defence,18/12/2014,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV1 4HY,417282,Fees for professional services excluding legal fees,"£2,478,412.80"
Ministry of Defence,Ministry of Defence,17/12/2014,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,416682,Fees for professional services excluding legal fees,"£2,474,840.00"
Ministry of Defence,Ministry of Defence,08/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000122030,Estate core services charge,"£2,381,938.71"
Ministry of Defence,Ministry of Defence,23/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000122726,Estate core services charge,"£2,381,938.71"
Ministry of Defence,Ministry of Defence,12/12/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,415028,Fiscal asset under construction - capital in year addition,"£2,354,608.68"
Ministry of Defence,Ministry of Defence,08/12/2014,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,412729,Utilities consumed - electricity,"£2,290,414.56"
Ministry of Defence,Ministry of Defence,22/12/2014,Fees for professional services,HO+CS,SERCO LIMITED,RG27 9UY,419168,Fees for professional services excluding legal fees,"£2,279,466.66"
Ministry of Defence,Ministry of Defence,18/12/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,LONDON & REGIONAL (ST GEORGES  COURT) LIMITED,W1U 8EW,417513,Rent land - non civil estate property + married quarter property,"£2,160,000.00"
Ministry of Defence,Ministry of Defence,23/12/2014,Purchase of buildings and military equipment ,Defence Equipment + Support,HORIZONS INCORPORATED,OH 44128,419488,Fiscal asset under construction - capital in year addition,"£2,155,919.62"
Ministry of Defence,Ministry of Defence,17/12/2014,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,TOUCHSTONE CORPORATE PROPERTY SERVICES LIMITED,BA2 2AF,417112,Rent land - non civil estate property + married quarter property,"£2,108,235.21"
Ministry of Defence,Ministry of Defence,22/12/2014,Fees for professional services,HO+CS,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,418801,Fees for professional services excluding legal fees,"£2,100,000.00"
Ministry of Defence,Ministry of Defence,16/12/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV1 4HY,416221,Fiscal asset under construction - capital in year addition,"£2,060,624.56"
Ministry of Defence,Ministry of Defence,22/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,418792,Estate + facilities management services - accommodation inventory + service,"£2,058,314.62"
Ministry of Defence,Ministry of Defence,05/12/2014,Spend on Inventory - General,Defence Equipment + Support,RHEINMETALL SOLDIER ELECTRONICS GMBH,,3000011304,Spend on Inventory - General,"£2,051,977.50"
Ministry of Defence,Ministry of Defence,30/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,420417,Estate + facilities management services - accommodation inventory + service,"£2,047,128.31"
Ministry of Defence,Ministry of Defence,19/12/2014,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,417981,Estate core services charge,"£2,000,000.00"
Ministry of Defence,Ministry of Defence,04/12/2014,Fees for professional services,HO+CS,SERVICES SOUND & VISION CORPORATION,SL9 8TN,411761,Fees for professional services excluding legal fees,"£1,953,659.26"
