Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/03/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,ANNINGTON RECEIVABLES LTD,W1U 1DR,446650,Rent UK married quarters - operating lease payments,"Ł41,288,056.60"
Ministry of Defence,Ministry of Defence,17/03/2015,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,TS17 6YG,EMP11458,Monthly GPC Payment,"Ł39,287,092.80"
Ministry of Defence,Ministry of Defence,04/03/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,441406,Property dwellings private finance initiative - service concession arrangement service charge,"Ł23,589,851.76"
Ministry of Defence,Ministry of Defence,24/03/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,448823,Single use military equipment asset under construction - capital in year addition,"Ł12,928,584.40"
Ministry of Defence,Ministry of Defence,18/03/2015,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,TS17 6YG,EMP11461,Monthly GPC Payment,"Ł12,124,556.90"
Ministry of Defence,Ministry of Defence,25/03/2015,Grants to NDPBs,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,449402,Grant in aid to the council of reserve forces and cadet associations,"Ł9,297,680.00"
Ministry of Defence,Ministry of Defence,03/03/2015,Grants in aid,HO+CS,COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,5000124678,Pay costs grant in aid to the Commonwealth War Graves commission,"Ł8,235,294.12"
Ministry of Defence,Ministry of Defence,17/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,446205,Utilities consumed - gas,"Ł8,130,551.64"
Ministry of Defence,Ministry of Defence,06/03/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,442788,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł7,972,407.64"
Ministry of Defence,Ministry of Defence,24/03/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LEND LEASE CONSTRUCTION (EMEA) LIMITED,B91 3TA,448998,Fiscal asset under construction - capital in year addition,"Ł7,505,386.64"
Ministry of Defence,Ministry of Defence,23/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,448323,Estate core services charge,"Ł6,790,268.17"
Ministry of Defence,Ministry of Defence,30/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,452080,Works - estate management,"Ł6,688,450.31"
Ministry of Defence,Ministry of Defence,26/03/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,450325,Property dwellings private finance initiative - service concession arrangement service charge,"Ł6,224,258.16"
Ministry of Defence,Ministry of Defence,26/03/2015,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,449968,Fees for professional services excluding legal fees,"Ł5,882,556.24"
Ministry of Defence,Ministry of Defence,19/03/2015,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,447365,Estate + facilities management services - accommodation inventory + service,"Ł5,398,337.13"
Ministry of Defence,Ministry of Defence,05/03/2015,Research and development,Defence Equipment + Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,5000124898,Research and development at the pre main gate stage of a project,"Ł5,271,444.12"
Ministry of Defence,Ministry of Defence,23/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,448475,Estate core services charge,"Ł5,099,593.07"
Ministry of Defence,Ministry of Defence,05/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,441957,Equipment support non-project costs,"Ł4,899,267.60"
Ministry of Defence,Ministry of Defence,18/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,446783,Utilities consumed - electricity,"Ł4,759,129.23"
Ministry of Defence,Ministry of Defence,12/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,444482,Utilities consumed - electricity,"Ł4,698,824.39"
Ministry of Defence,Ministry of Defence,30/03/2015,IT and communication services,Land Forces,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,452052,Computer equipment costing below the capitalisation threshold,"Ł4,410,252.00"
Ministry of Defence,Ministry of Defence,19/03/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,447258,Fees for professional services excluding legal fees,"Ł4,369,514.37"
Ministry of Defence,Ministry of Defence,27/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,450501,Equipment support non-project costs,"Ł4,303,413.00"
Ministry of Defence,Ministry of Defence,19/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,447299,Utilities consumed - electricity,"Ł4,091,118.44"
Ministry of Defence,Ministry of Defence,30/03/2015,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,452224,Estate + facilities management services - accommodation inventory + service,"Ł3,937,485.01"
Ministry of Defence,Ministry of Defence,19/03/2015,Purchase of buildings - Dwellings,DEFENCE INFRASTRUCTURE ORGANISATION,DAVITT JONES BOULD LTD,TA1 4EB,447267,Property building dwellings asset - in year capital addition,"Ł3,904,184.00"
Ministry of Defence,Ministry of Defence,17/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,446139,Estate core services charge,"Ł3,663,643.14"
Ministry of Defence,Ministry of Defence,11/03/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,444077,Fees for professional services excluding legal fees,"Ł3,510,890.58"
Ministry of Defence,Ministry of Defence,11/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,444096,Utilities consumed - electricity,"Ł3,325,899.17"
Ministry of Defence,Ministry of Defence,12/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,444340,Estate core services charge,"Ł3,240,597.01"
Ministry of Defence,British Defence Staff - United States,02/04/2015,INTAN SUME CPTL ADDITIONS IN YR,"N00019-02-C-3002, SLIN 000103",LOCKHEED MARTIN AERONAUTICS,,393845,"N00019-02-C-3002, SLIN 000103
Future Joint Combat Aircraft","Ł3,230,475.17"
Ministry of Defence,Ministry of Defence,06/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,442563,Works - estate management,"Ł3,204,302.91"
Ministry of Defence,Ministry of Defence,23/03/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,B37 7YG,448666,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł3,188,562.53"
