Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total,
Ministry of Defence,Ministry of Defence,30/04/2015,IT and communication services,JFC,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,463089,Line + telephone rental including commercial charge for use of radio frequencies,"£30,475,000.00",
Ministry of Defence,Ministry of Defence,10/04/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,455459,Property dwellings private finance initiative - service concession arrangement service charge,"£25,052,463.65",
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,CITY OF WESTMINSTER,SW1E 6QY,454937,Rent buildings - non civil estate property and married quarter property,"£14,063,470.50",
Ministry of Defence,Ministry of Defence,19/04/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,EMP 11483,Monthly GPC Payment,"£12,016,906.02",
Ministry of Defence,Ministry of Defence,15/04/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,EMP 11482,Monthly GPC Payment,"£10,144,506.73",
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WILTSHIRE COUNCIL,BA14 4DS,455407,Rent buildings - non civil estate property and married quarter property,"£9,846,598.70",
Ministry of Defence,Ministry of Defence,16/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,457724,Utilities consumed - gas,"£8,806,558.65",
Ministry of Defence,Ministry of Defence,16/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,ARGYLL & BUTE COUNCIL,PA28 6JU,457623,Rent buildings - non civil estate property and married quarter property,"£8,045,133.60",
Ministry of Defence,Ministry of Defence,28/04/2015,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,461907,Fees for professional services excluding legal fees,"£7,921,441.34",
Ministry of Defence,Ministry of Defence,27/04/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,461516,Property non dwellings private finance initiative - service concession arrangement service charge,"£7,873,160.83",
Ministry of Defence,Ministry of Defence,27/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LEND LEASE CONSTRUCTION (EMEA) LIMITED,B91 3TA,461476,Fiscal asset under construction - capital in year addition,"£7,439,725.25",
Ministry of Defence,Ministry of Defence,30/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,LAND & PROPERTY SERVICES,BT2 7SL,44462,Rent buildings - non civil estate property and married quarter property,"£7,094,903.01",
Ministry of Defence,Ministry of Defence,22/04/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,459913,Utilities consumed - electricity,"£6,987,203.81",
Ministry of Defence,Ministry of Defence,16/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,DAVITT JONES BOULD LTD,TA1 4EB,457734,Fiscal asset under construction - capital in year addition,"£6,923,750.60",
Ministry of Defence,Ministry of Defence,23/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,460321,Estate core services charge,"£6,908,138.77",
Ministry of Defence,Ministry of Defence,14/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,456590,Fiscal asset under construction - capital in year addition,"£6,583,850.14"
Ministry of Defence,Ministry of Defence,27/04/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,461671,Property dwellings private finance initiative - service concession arrangement service charge,"£6,250,636.14"
Ministry of Defence,Ministry of Defence,20/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,458728,Fiscal asset under construction - capital in year addition,"£6,083,796.93"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,WEST BERKSHIRE DISTRICT COUNCIL,RG14 5LD,455394,Rent buildings - non civil estate property and married quarter property,"£6,060,356.50"
Ministry of Defence,Ministry of Defence,24/04/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,460843,Fees for professional services excluding legal fees,"£5,519,372.18"
Ministry of Defence,Ministry of Defence,24/04/2015,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,460909,Estate + facilities management services - accommodation inventory + service,"£5,317,095.01"
Ministry of Defence,Ministry of Defence,22/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,459828,Estate core services charge,"£5,194,223.22"
Ministry of Defence,Ministry of Defence,20/04/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,458989,Estate core services charge,"£5,069,798.00"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,SOUTH GLOUCESTERSHIRE COUNCIL,BS37 5YU,455304,Rent buildings - non civil estate property and married quarter property,"£5,042,280.75"
Ministry of Defence,Ministry of Defence,21/04/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED,PO15 7FL,459283,Fiscal asset under construction - capital in year addition,"£4,993,534.57"
Ministry of Defence,Ministry of Defence,09/04/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,PORTSMOUTH CITY COUNCIL,PO1 2BE,455239,Rent buildings - non civil estate property and married quarter property,"£4,805,945.78"
Ministry of Defence,Ministry of Defence,16/04/2015,Design services and minor equipment purchases,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,457605,Equipment support non-project costs,"£4,138,216.20"
Ministry of Defence,Ministry of Defence,09/04/2015,Fuel for military use,Air Command,UNITED STATES GOVERNMENT,BA20 2YB,2000024533,Aviation fuel casual uplift consumed,"£3,901,605.39"
Ministry of Defence,Ministry of Defence,08/04/2015,Grants to Reserves Forces and Cadets Association,Navy Command,RNRMC ENTERPRISES LTD,PO2 8ER,454677,Grants to welfare organisation,"£3,650,000.00"
Ministry of Defence,Ministry of Defence,29/04/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,LOVELL PARTNERSHIPS LIMITED,ST16 3AS,462441,Fiscal asset under construction - capital in year addition,"£3,620,399.00"
