Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,16/06/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,ANNINGTON RECEIVABLES LTD,W1U 1DR,23451,Rent UK married quarters - operating lease payments,"Ł41,312,549.95"
Ministry of Defence,Ministry of Defence,04/06/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,18429,Property dwellings private finance initiative - service concession arrangement service charge,"Ł24,196,812.79"
Ministry of Defence,Ministry of Defence,17/06/2015,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,23920,Intangible single use military equipment asset  - in year capital addition,"Ł16,522,720.68"
Ministry of Defence,Ministry of Defence,03/06/2015,IT and communication services,JFC,COMPAREX UK LIMITED,HA1 3EL,10011,Information technology services,"Ł12,138,257.69"
Ministry of Defence,Ministry of Defence,10/06/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,20289,Equipment support non-project costs,"Ł10,462,931.54"
Ministry of Defence,Ministry of Defence,15/06/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,EMP11553,Monthly GPC Payment,"Ł10,066,750.00"
Ministry of Defence,Ministry of Defence,17/06/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,EMP11554,Monthly GPC Payment,"Ł9,521,813.65"
Ministry of Defence,Ministry of Defence,19/06/2015,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,25012,Equipment support non-project costs,"Ł9,156,829.20"
Ministry of Defence,Ministry of Defence,25/06/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,27579,Fees for professional services excluding legal fees,"Ł8,177,172.15"
Ministry of Defence,Ministry of Defence,08/06/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,19704,Property dwellings private finance initiative - service concession arrangement service charge,"Ł8,082,621.63"
Ministry of Defence,Ministry of Defence,19/06/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,25316,Property dwellings private finance initiative - service concession arrangement service charge,"Ł7,463,511.12"
Ministry of Defence,Ministry of Defence,23/06/2015,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,25989,Equipment support non-project costs,"Ł7,285,355.00"
Ministry of Defence,Ministry of Defence,24/06/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,27008,Estate core services charge,"Ł6,655,204.94"
Ministry of Defence,Ministry of Defence,18/06/2015,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,24635,Estate + facilities management services - accommodation inventory + service,"Ł5,317,095.01"
Ministry of Defence,Ministry of Defence,11/06/2015,Development costs for military equipment,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,20782,Intangible fiscal asset  - in year capital addition,"Ł5,227,500.00"
Ministry of Defence,Ministry of Defence,15/06/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,22933,Estate core services charge,"Ł5,068,276.47"
Ministry of Defence,Ministry of Defence,19/06/2015,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,25047,Fees for professional services excluding legal fees,"Ł5,027,543.66"
