Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,05/10/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,60132,Property dwellings private finance initiative - service concession arrangement service charge,"Ł23,845,278.38"
Ministry of Defence,Ministry of Defence,13/10/2015,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,62741,Intangible single use military equipment asset  - in year capital addition,"Ł17,852,799.23"
Ministry of Defence,Ministry of Defence,13/10/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,62732,Equipment support non-project costs,"Ł12,564,073.07"
Ministry of Defence,Ministry of Defence,23/10/2015,Development costs for military equipment,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,66345,Intangible fiscal asset  - in year capital addition,"Ł11,745,918.00"
Ministry of Defence,Ministry of Defence,23/10/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CAPITA BUSINESS SERVICES LTD,SW1H 0XA,66429,Fees for professional services excluding legal fees,"Ł10,256,205.00"
Ministry of Defence,Ministry of Defence,15/10/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11636,Monthly GPC Payment,"Ł10,148,178.06"
Ministry of Defence,Ministry of Defence,30/10/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,68741,Utilities consumed - electricity,"Ł9,794,327.04"
Ministry of Defence,Ministry of Defence,16/10/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11638,Monthly GPC Payment,"Ł9,580,358.63"
Ministry of Defence,Ministry of Defence,05/10/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,60222,Fees for professional services excluding legal fees,"Ł9,104,425.38"
Ministry of Defence,Ministry of Defence,14/10/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,63281,Property non dwellings private finance initiative - service concession arrangement service charge,"Ł8,200,747.56"
Ministry of Defence,Ministry of Defence,22/10/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,65912,Estate core services charge,"Ł7,477,906.28"
Ministry of Defence,Ministry of Defence,02/10/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,H M REVENUE & CUSTOMS,CF14 5XZ,59788,Fiscal asset under construction - capital in year addition,"Ł7,011,983.27"
Ministry of Defence,Ministry of Defence,26/10/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,66928,Estate core services charge,"Ł6,412,209.15"
Ministry of Defence,Ministry of Defence,12/10/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,62568,Property dwellings private finance initiative - service concession arrangement service charge,"Ł6,017,476.39"
Ministry of Defence,Ministry of Defence,15/10/2015,Grants to NDPBs,Land Forces,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,63595,Grant in aid to the council of reserve forces and cadet associations,"Ł5,860,908.00"
Ministry of Defence,Ministry of Defence,17/10/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11637,Monthly GPC Payment,"Ł5,850,341.18"
Ministry of Defence,Ministry of Defence,21/10/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BALFOUR BEATTY GROUP LIMITED,SW1V 1LQ,65294,Fiscal asset under construction - capital in year addition,"Ł5,804,368.80"
Ministry of Defence,Ministry of Defence,19/10/2015,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,64650,Estate + facilities management services - accommodation inventory + service,"Ł5,317,095.01"
Ministry of Defence,Ministry of Defence,01/10/2015,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLION CONSTRUCTION LIMITED,WV3 0SR,59334,Fees for professional services excluding legal fees,"Ł5,217,028.40"
Ministry of Defence,Ministry of Defence,27/10/2015,Spend on Inventory - General,Defence Equipment + Support,H M REVENUE & CUSTOMS,CF14 5XZ,67502,Spend on Inventory - General,"Ł5,091,294.22"
Ministry of Defence,Ministry of Defence,16/10/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,64211,Estate core services charge,"Ł5,069,619.20"
Ministry of Defence,Ministry of Defence,01/10/2015,Design services and minor equipment purchases,Defence Equipment + Support,"LEIDOS EUROPE, LIMITED",CB25 9QE,59437,Equipment support non-project costs,"Ł4,900,258.79"
Ministry of Defence,Ministry of Defence,29/10/2015,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,68308,Fees for professional services excluding legal fees,"Ł4,754,021.18"
Ministry of Defence,Ministry of Defence,05/10/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,60193,Estate core services charge,"Ł4,665,365.99"
Ministry of Defence,Ministry of Defence,05/10/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BALFOUR BEATTY GROUP LIMITED,SW1V 1LQ,60160,Fiscal asset under construction - capital in year addition,"Ł4,614,996.20"
