Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,04/07/2016,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,147262,Property dwellings private finance initiative - service concession arrangement service charge,"£24,488,759.08"
Ministry of Defence,Ministry of Defence,29/07/2016,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,156096,Property dwellings private finance initiative - service concession arrangement service charge,"£24,185,316.03"
Ministry of Defence,Ministry of Defence,20/07/2016,IT and communication services,JFC,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,152740,Line + telephone rental including commercial charge for use of radio frequencies,"£22,497,188.25"
Ministry of Defence,Ministry of Defence,20/07/2016,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,152475,Intangible single use military equipment asset  - in year capital addition,"£21,587,907.46"
Ministry of Defence,Ministry of Defence,25/07/2016,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,153698,Equipment support non-project costs,"£10,327,594.25"
Ministry of Defence,Ministry of Defence,18/07/2016,Spend on Inventory - General,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,151701,Spend on Inventory - General,"£9,913,754.70"
Ministry of Defence,Ministry of Defence,15/07/2016,Government Procurement Card,Ministry of Defence,RBS,,11824,Monthly GPC Payment,"£9,704,748.63"
Ministry of Defence,Ministry of Defence,25/07/2016,Administration,HO+CS,H M REVENUE & CUSTOMS,CF14 5XZ,153811,General administration,"£9,616,074.14"
Ministry of Defence,Ministry of Defence,13/07/2016,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,150458,Utilities consumed - electricity,"£8,962,754.93"
Ministry of Defence,Ministry of Defence,14/07/2016,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,150999,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,357,486.60"
Ministry of Defence,Ministry of Defence,07/07/2016,Government Procurement Card,Ministry of Defence,RBS  PLC,,11818,Monthly GPC Payment,"£8,355,384.09"
Ministry of Defence,Ministry of Defence,27/07/2016,"Purchase of munitions, other inventory or fuel",Defence Equipment + Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000003832,Raw materials and consumable aviation fuel inventory purchased,"£7,940,262.23"
Ministry of Defence,Ministry of Defence,27/07/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,WV1 4HY,154804,Estate core services charge,"£7,370,971.85"
Ministry of Defence,Ministry of Defence,28/07/2016,Purchase of buildings and military equipment ,Defence Equipment + Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,155878,Fiscal asset under construction - capital in year addition,"£7,008,689.26"
