Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,HALTON BOROUGH COUNCIL (G),446202,"34,242.43"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,BEXLEY DAT (G),446202,"49,449.78"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,BLACKBURN WITH DARWEN BOROUGH COUN,446202,"70,447.34"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,PORTSMOUTH CITY COUNCIL 2 (G),446202,"71,729.54"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,LONDON BOROUGH OF BARNET 1 (G),446202,"76,183.61"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,SOUTHAMPTON CITY COUNCIL 1 (G),446202,"77,301.26"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,LEICESTERSHIRE COUNTY COUNCIL 1 (G,446202,"108,000.50"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,SURREY PCT (G),446202,"140,614.80"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,NORTH LINCOLNSHIRE PCT (G),446202,"163,249.35"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,SOUTH SEFTON PCT (G),446202,"167,424.25"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,NORTH EAST LINCOLNSHIRE PCT(G),446202,"227,149.85"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,SANDWELL PRIMARY CARE TRUST,446202,"232,756.23"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,CAMDEN PRIMARY CARE TRUST (G),446202,"282,587.38"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,LONDON BOROUGH OF LEWISHAM 1 (G),446202,"288,487.83"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,ISLINGTON PRIMARY CARE TRUST PCT (,446202,"320,560.81"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,KINGSTON UPON HULL CITY COUNCIL 2,446202,"360,837.57"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,LAMBETH PCT (G),446202,"417,141.54"
Home Office,Home Office,01/08/2010,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE COUNTY TEACHING PC,446202,"525,160.08"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),288080,"1,938,392.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE AUTHORITY 1 (G),288080,"2,922,288.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,WARWICKSHIRE POLICE AUTHORITY 1 (G,288080,"2,927,456.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,GLOUCESTERSHIRE POLICE AUTHORITY (,288080,"3,146,923.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,WILTSHIRE CONSTABULARY (G),288080,"3,504,353.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,DORSET POLICE AUTHORITY 1 (G),288080,"3,623,936.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,LINCOLNSHIRE POLICE AUTHORITY 1 (G,288080,"3,669,244.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,BEDFORDSHIRE POLICE AUTHORITY 1 (G,288080,"3,715,469.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,SUFFOLK POLICE AUTHORITY (G),288080,"3,791,747.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE POLICE 1 (G),288080,"3,918,228.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,DURHAM POLICE AUTHORITY 1 (G),288080,"3,979,534.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NORTH YORKSHIRE POLICE AUTHORITY (,288080,"4,094,298.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CLEVELAND POLICE AUTHORITY 1 (G),288080,"4,302,280.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,HUMBERSIDE POLICE AUTHORITY 1 (G),288080,"6,059,392.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,STAFFORDSHIRE POLICE AUTHORITY (G),288080,"6,098,226.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NEW WEST MERCIA POLICE AUTHORITY (,288080,"6,225,056.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,HERTFORDSHIRE POLICE AUTHORITY 1 (,288080,"6,772,698.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE POLICE AUTHORITY 2,288080,"6,889,987.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE AUTHORITY 1,288080,"4,405,973.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NORFOLK POLICE AUTHORITY 1 (G),288080,"4,633,213.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),288080,"5,801,997.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CHESHIRE POLICE AUTHORITY 2 (G),288080,"5,824,450.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,LEICESTERSHIRE POLICE AUTHORITY (G,288080,"5,874,816.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,SURREY POLICE AUTHORITY 1 (G),288080,"5,961,722.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),411374,"252,418.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE AUTHORITY 1 (G),411374,"253,856.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,GLOUCESTERSHIRE POLICE AUTHORITY (,411374,"264,505.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,SUSSEX POLICE AUTHORITY 1 (G),288080,"8,965,956.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,SOUTH YORKSHIRE POLICE AUTHORITY 1,288080,"9,185,279.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE AUTHORITY 1,288080,"9,676,286.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,LANCASHIRE POLICE AUTHORITY 1 (G),288080,"9,734,716.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,DEVON & CORNWALL POLICE AUTHORITY,288080,"9,750,342.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NORTHUMBRIA POLICE (G),288080,"9,784,854.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,ESSEX POLICE AUTHORITY (G),288080,"9,789,816.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,KENT POLICE AUTHORITY 1 (G),288080,"10,285,019.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,HAMPSHIRE POLICE AUTHORITY 1 (G),288080,"10,892,409.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,MERSEYSIDE POLICE AUTHORITY 1 (G),288080,"11,847,034.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,THAMES VALLEY POLICE AUTHORITY 1 (,288080,"13,080,226.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,WEST YORKSHIRE POLICE (G),288080,"16,166,659.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,GREATER MANCHESTER POLICE AUTHORIT,288080,"21,102,918.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,WEST MIDLANDS POLICE AUTHORITY 1 (,288080,"23,113,683.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),288080,"97,456,462.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,DYFED POWYS POLICE AUTHORITY 1 (G),288080,"2,934,971.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NORTH WALES POLICE AUTHORITY (G),288080,"4,044,936.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,GWENT POLICE AUTHORITY 1 (G),288080,"4,051,297.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,SOUTH WALES POLICE AUTHORITY 1 (G),288080,"8,789,439.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,INDEPENDENT POLICE COMPLAINTS COMI,439788,"2,500,000.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,SOCA (G),438434,"27,000,000.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,LINCOLNSHIRE POLICE AUTHORITY 1 (G,411374,"274,875.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,WILTSHIRE CONSTABULARY (G),411374,"285,810.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,DORSET POLICE AUTHORITY 1 (G),411374,"290,735.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,BEDFORDSHIRE POLICE AUTHORITY 1 (G,411374,"294,998.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,SUFFOLK POLICE AUTHORITY (G),411374,"309,332.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE POLICE 1 (G),411374,"313,693.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NORTH YORKSHIRE POLICE AUTHORITY (,411374,"333,518.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,DURHAM POLICE AUTHORITY 1 (G),411374,"351,097.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,WARWICKSHIRE POLICE AUTHORITY 1 (G,411374,"358,994.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CLEVELAND POLICE AUTHORITY 1 (G),411374,"360,644.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE AUTHORITY 1,411374,"362,113.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,NORFOLK POLICE AUTHORITY 1 (G),411374,"383,844.00"
Home Office,Home Office,02/08/2010,Grant,CPG - Crime & Policing Group,DERBYSHIRE POLICE AUTHORITY 1 (G),411374,"458,212.00"
