Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,5 E LTD (G),1881658,"29,166.50"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF SOUTHWARK 1 (G),1881651,"541,873.44"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LEICESTER CITY COUNCIL 1 (G),1881648,"50,911.33"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,CAMBRIDGESHIRE COUNTY COUNCIL (G),1881646,"947,463.37"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,WAKEFIELD MDC 1 (G),1879141,"317,537.10"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,SURREY COUNTY COUNCIL 1 (G),1879128,"1,240,965.62"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,SOMERSET COUNTY COUNCIL 1 (G),1879123,"64,663.75"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,PORTSMOUTH CITY COUNCIL 2 (G),1879118,"67,335.84"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,HAMPSHIRE COUNTY COUNCIL 1 (G),1879116,"66,672.28"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF HAMMERSMITH & FULHAM 1 (G),1879113,"237,589.88"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,GLASGOW CITY COUNCIL 1 (G),1879111,"1,046,735.04"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,COVENTRY CITY COUNCIL 1 (G),1879106,"143,519.65"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,BRIGHTON & HOVE COUNCIL (G),1879104,"99,228.23"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,BARNSLEY MBC 1 (G),1879100,"44,855.05"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF BARKING & DAGENHAM (G),1879099,"99,732.31"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF HILLINGDON 1 (G),1878957,"37,200.57"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877116,"38,071.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877113,"223,554.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877111,"41,787.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877105,"241,472.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877104,"129,948.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877100,"61,816.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877097,"25,369.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877095,"132,832.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877092,"143,635.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877091,"104,292.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877088,"83,107.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877087,"76,128.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877085,"60,309.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1877080,"189,609.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,MIGRANT HELPLINE (G),1877079,"79,590.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,MIGRANT HELPLINE (G),1877076,"223,566.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,NORTHAMPTONSHIRE COUNTY COUNCIL 2 (G),1876998,"242,100.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LEEDS CITY COUNCIL 1 (G),1876997,"167,400.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,ROYAL BOROUGH KINGSTON UPON THAMES (G),1876995,"39,900.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,KENT COUNTY COUNCIL 1 (G),1876994,"1,065,000.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF KENSINGTON & CHELSEA (G),1876992,"103,650.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF ISLINGTON (G),1876990,"316,350.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,LB OF BRENT CHILDRENS DIRECTORATE (G),1876989,"33,750.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877117,"103,541.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,WELSH REFUGEE COUNCIL 1 (G),1877131,"208,637.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,WELSH REFUGEE COUNCIL 1 (G),1877127,"83,083.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,SCOTTISH REFUGEE COUNCIL (G),1877126,"256,213.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,SCOTTISH REFUGEE COUNCIL (G),1877124,"100,898.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877123,"130,936.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877122,"446,369.00"
Home Office,UKBA - UK Border Agency,29/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE COUNCIL 1 (G),1877120,"228,903.00"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,WEST BERKSHIRE DISTRICT COUNCIL (LA) (G),1875593,"295,305.72"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,WAKEFIELD MDC 1 (G),1875592,"217,155.42"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,CITY OF STOKE ON TRENT (G),1875591,"47,849.49"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF REDBRIDGE 1 (G),1875590,"309,693.18"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,PORTSMOUTH CITY COUNCIL 2 (G),1875589,"211,184.82"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,NOTTINGHAMSHIRE COUNTY COUNCIL 2 (G),1875587,"76,898.88"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,NOTTINGHAM CITY COUNCIL (G),1875586,"383,415.57"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF NEWHAM (G),1875585,"230,821.44"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,NEWCASTLE CITY COUNCIL (G),1875584,"260,291.40"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,HERTFORDSHIRE COUNTY COUNCIL 1 (G),1875583,"946,808.67"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF HAMMERSMITH & FULHAM 1 (G),1875582,"51,877.40"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,GLASGOW CITY COUNCIL 1 (G),1875580,"533,869.80"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF ENFIELD 1 (G),1875578,"74,058.48"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF EALING 1 (G),1875577,"320,366.90"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF CAMDEN 1 (G),1875573,"359,602.71"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,BURY MBC (G),1875571,"164,226.39"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF BROMLEY (G),1875569,"71,706.00"
Home Office,UKBA - UK Border Agency,24/12/2010,GRANT,UKBA - UK Border Agency,BRISTOL CITY COUNCIL 1 (G),1875567,"52,528.53"
Home Office,UKBA - UK Border Agency,23/12/2010,GRANT,UKBA - UK Border Agency,REFUGEE ACTION (G),1868443,"348,015.00"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH TOWER HAMLETS (G),1874155,"77,100.00"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF CROYDON 1 (G),1874152,"2,047,650.00"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,WOLVERHAMPTON CITY COUNCIL 1 (G),1874018,"246,303.55"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,SUFFOLK COUNTY COUNCIL (G),1874016,"736,453.82"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,RUTLAND COUNTY COUNCIL DC (G),1874013,"26,598.54"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF NEWHAM (G),1874011,"165,278.70"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF MERTON 2 (G),1874010,"65,583.82"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,ROYAL BOROUGH KINGSTON UPON THAMES (G),1874008,"40,746.95"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF HOUNSLOW 1 (G),1874007,"432,053.93"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF ENFIELD 1 (G),1874006,"31,114.61"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,BRADFORD COUNCIL(G),1874002,"79,881.31"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,BLACKBURN WITH DARWEN BOROUGH COUNCIL (G),1873999,"33,023.60"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,WANDSWORTH BOROUGH COUNCIL (G),1878961,"25,800.75"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,NOTTINGHAM TRAINING AND ENTERPRISES (G),1878184,"37,843.92"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,EAST LONDON ADVANCED TECHNOLOGY TRAINING (ELATT) (G),1878173,"26,250.00"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,BURNLEY TELEMATICS & TELEWORKING CENTRE LTD (G),1878016,"32,500.00"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,POWYS COUNTY COUNCIL 1 (G),1869838,"44,966.28"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF KENSINGTON & CHELSEA (G),1869832,"632,114.74"
Home Office,UKBA - UK Border Agency,22/12/2010,GRANT,UKBA - UK Border Agency,DONCASTER MBC 1 (G),1869825,"98,942.63"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,OISC (G),1868462,"339,750.00"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,WESTMINSTER CITY COUNCIL (G),1868327,"93,750.00"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF RICHMOND UPON THAMES (G),1868322,"42,600.00"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF LAMBETH 1 (G),1868318,"326,100.00"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,DERBYSHIRE COUNTY COUNCIL 1 (G),1868299,"47,645.16"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,BOURNEMOUTH BOROUGH COUNCIL 1 (G),1868294,"56,682.00"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,BARNSLEY MBC 1 (G),1868290,"104,942.70"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,WORCESTERSHIRE COUNTY COUNCIL 1 (G),1867392,"614,617.84"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,WARWICKSHIRE COUNTY COUNCIL 1 (G),1867386,"99,269.13"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,STAFFORDSHIRE COUNTY COUNCIL 1 (G),1867381,"99,431.72"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,OXFORDSHIRE COUNTY COUNCIL 1 (G),1867380,"634,429.86"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,NORTH YORKSHIRE COUNTY COUNCIL (G),1867379,"298,718.60"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,NORFOLK COUNTY COUNCIL 1 (G),1867377,"144,227.68"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF LEWISHAM 1 (G),1867374,"369,501.02"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,LONDON BOROUGH OF ISLINGTON (G),1867369,"579,774.57"
Home Office,UKBA - UK Border Agency,15/12/2010,GRANT,UKBA - UK Border Agency,HALIFAX OPPORTUNITIES TRUST (G),1874205,"53,046.00"
