Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Home Office,CRB - Criminal Records Bureau,11/11/2010,Public Private Partnership contract / agreement,CRB - Criminal Records Bureau,Capita Business Services Ltd,15154  13,"292,113.69"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Bedfordshire Police,15151  1,"28,990.07"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Cheshire Police Authority,15151  2,"61,690.90"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Cleveland Police Authority,15151  4,"25,959.21"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Cumbria Police Authority Main,15151  5,"29,888.99"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Devon & Cornwall Police Author,15151  6,"37,875.95"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Greater Manchester Police,15151  10,"192,533.22"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Gwent Police Authority,15151  11,"29,127.40"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Hampshire Police Authority,15151  12,"73,979.13"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Humberside Police Authority,15151  15,"83,456.61"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Merseyside Police Authority,15151  17,"75,054.57"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,The Metropolitan Police,15151  18,"47,421.36"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Northants Police Authority,15151  19,"35,940.19"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Norfolk Police Authority,15151  20,"39,715.71"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Nottinghamshire Police Authori,15151  21,"46,204.10"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,North Wales Police Funding Acc,15151  22,"42,507.21"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,North Yorkshire Police Authori,15151  23,"48,909.39"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Disclosure Scotland,15151  26,"29,740.98"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Avon & Somerset Police,15151  27,"65,981.43"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,South Yorkshire Police,15151  28,"41,392.97"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Staffordshire Police Authority,15151  29,"35,180.43"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,Suffolk Police Authority,15151  30,"28,835.83"
Home Office,CRB - Criminal Records Bureau,12/11/2010,Police costs per check,CRB - Criminal Records Bureau,West Midlands Police,15151  33,"153,939.45"
Home Office,CRB - Criminal Records Bureau,15/11/2010,Police costs per check,CRB - Criminal Records Bureau,The Metropolitan Police,15167  3,"679,281.74"
Home Office,CRB - Criminal Records Bureau,16/11/2010,Police costs per check,CRB - Criminal Records Bureau,Cambridgeshire Police Auth,15175  1,"61,055.52"
Home Office,CRB - Criminal Records Bureau,16/11/2010,Police costs per check,CRB - Criminal Records Bureau,Durham Police Authority,15175  4,"27,638.04"
Home Office,CRB - Criminal Records Bureau,16/11/2010,Police costs per check,CRB - Criminal Records Bureau,Greater Manchester Police,15175  7,"102,912.46"
Home Office,CRB - Criminal Records Bureau,16/11/2010,Police costs per check,CRB - Criminal Records Bureau,KENT CONSTABULARY,15175  12,"71,924.54"
Home Office,CRB - Criminal Records Bureau,16/11/2010,Police costs per check,CRB - Criminal Records Bureau,Leicestershire Police Authorit,15175  14,"60,258.65"
Home Office,CRB - Criminal Records Bureau,16/11/2010,Police costs per check,CRB - Criminal Records Bureau,Surrey Police Authority,15175  20,"51,063.48"
Home Office,CRB - Criminal Records Bureau,16/11/2010,Police costs per check,CRB - Criminal Records Bureau,West Mercia Police Fund,15175  23,"44,792.84"
Home Office,CRB - Criminal Records Bureau,18/11/2010,Police costs per check,CRB - Criminal Records Bureau,NPIA,15193  5,"181,585.53"
