Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/11/2014,IT minor costs non capital,DG: SFNHS,NHS SHARED BUSINESS SERVICES SBS,100023536,"92,881.00",SBS - Licences Apr - June,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/11/2014,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4752001-06-NOV-14,"40,011.01",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,01/11/2014,Contractor/Staff Substitution,DG: SFNHS,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,6707623,"49,800.00",Support to NHS Workforce Procurement and Efficiency,KT22 7BA,PUBLIC,,,Programme
Department of Health,Department of Health,01/11/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011394,"139,765.48",CPA for ESR Contract - FY14/15 RPP Service charges,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/11/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011394,"119,381.46",CPA for ESR - FY14/15 Service Charges inc Profit Share,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/11/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011394,"115,068.65",CPA for ESR - FY14/15 NLMS Service Charges,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/11/2014,Contractor/Staff Substitution,DG: SFNHS,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10008631,"24,016.05",Communications and Stakeholder Relationship Manager ,,LARGE,,,Programme
Department of Health,Department of Health,01/11/2014,Contractor/Staff Substitution,DG: SFNHS,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10008631,"47,391.67",Correction,,LARGE,,,Programme
Department of Health,Department of Health,01/11/2014,Contractor/Staff Substitution,DG: SFNHS,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10010849,"69,008.30",Correction,,LARGE,,,Programme
Department of Health,Department of Health,01/11/2014,Contractor/Staff Substitution,DG: SFNHS,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10010849,"45,667.26",Interim Non-Clinical Category Lead ,,LARGE,,,Programme
Department of Health,Department of Health,01/11/2014,Contractor/Staff Substitution,DG: SFNHS,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10010849,"13,350.42",Non-Clinical Category Lead,,LARGE,,,Programme
Department of Health,Department of Health,01/11/2014,Publicity & advertising,DG: ERD,PROMOTIONAL LOGISTICS LTD,SIN14002529,"9,346.60",DH Web Editorial Support - 1x Lead Editor,CO10 1RE,LARGE,,,Admin
Department of Health,Department of Health,01/11/2014,Publicity & advertising,DG: ERD,PROMOTIONAL LOGISTICS LTD,SIN14002529,"19,060.70",Extra line added to PO 513831 - Editorial services for the new intranet,CO10 1RE,LARGE,,,Admin
Department of Health,Department of Health,03/11/2014,Outsourcing Contract,DG: PHD,THE TERRENCE HIGGINS TRUST,29001494,"245,000.00",Targeted HIV prevention 2014/15,WC1X 8DP,VCS,,,Programme
Department of Health,Department of Health,03/11/2014,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4752001-06-NOV-14,"1,135.78",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,03/11/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584170220,"1,405,703.74",IMS3 Open Service charges,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-17541,"15,000,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-17542,"340,000,000.00",,LS1 4PL,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-17543,"1,000,000.00",,SE1 6LH,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17544,"5,000,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17545,"5,000,000.00",,SE1 7NT,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17546,"7,500,000.00",,NE1 6SN,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17547,"2,441,069,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17548,"4,709,602,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-17549,"5,000,000.00",,SW1E 6QT,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-17550,"65,000,000.00",,SP4 0JG,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,HAFS-17564,"180,000.00",,TQ2 7AN,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,THE DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST RY8,HAFS-17574.,"173,000.00",,S41 7TD,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,BRADFORD DISTRICT CARE TRUST,HAFS-17576,"609,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,03/11/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-17577,"150,000.00",,CR7 7YE,PUBLIC,,,Other
