Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"22,012.10"
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"1,927.95"
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"4,798.65"
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"25,762.50"
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"2,424.78"
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"5,616.24"
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"23,314.50"
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"2,086.92"
Home Office,Home Office,13/01/2012,Professional & Admin Services.Residential Rental - PROG,Group Human Resources,"DEPARTMENT FOR BUSINESS, INNOVATION & SKILLS",3000044042,"5,082.54"
Home Office,Home Office,10/01/2012,Education & Training Services.Training Dev External - ADMN,Group Human Resources,ILX GROUP PLC,1001201009,"30,000.00"
Home Office,Home Office,24/01/2012,Other Government Department,Group Human Resources,NATIONAL SCHOOL OF GOVERNMENT,3000044108,"135,534.50"
Home Office,Home Office,18/01/2012,Social Research,CPG - Crime & Policing Group,MARKET RESEARCH OPINION RESEARCH INTERNATIONAL LTD (MORI),1001204468,"35,280.00"
Home Office,Home Office,30/01/2012,Professional & Admin Services.Personnel Recruit Serv - ADMN,Performance & Finance Directorate,CAPITA RESOURCING LTD,1001209200,"37,895.53"
Home Office,IPS - Identity & Passport Service,18/01/2012,"IT, Broadcasting & Telecomms.Call management systems - PROG",IPS - Identity & Passport Service,CSC COMPUTER SCIENCES CORPORATION,1001204378,"311,422.00"
Home Office,IPS - Identity & Passport Service,18/01/2012,"IT,Tele Applic Consult&Develop.Other Government Depart - ADMN",IPS - Identity & Passport Service,CSC COMPUTER SCIENCES CORPORATION,1001204378,"131,778.57"
Home Office,IPS - Identity & Passport Service,25/01/2012,"IT, Broadcasting & Telecomms.Call management systems - PROG",IPS - Identity & Passport Service,CSC COMPUTER SCIENCES CORPORATION,1001207367,"34,707.00"
Home Office,IPS - Identity & Passport Service,25/01/2012,"IT, Broadcasting & Telecomms.Call management systems - PROG",IPS - Identity & Passport Service,CSC COMPUTER SCIENCES CORPORATION,1001207367,0.39
Home Office,IPS - Identity & Passport Service,18/01/2012,"IT, Broadcasting & Telecomms.Call management systems - PROG",IPS - Identity & Passport Service,CSC COMPUTER SCIENCES CORPORATION,1001204378,"66,686.94"
Home Office,IPS - Identity & Passport Service,18/01/2012,"IT, Broadcasting & Telecomms.Call management systems - PROG",IPS - Identity & Passport Service,CSC COMPUTER SCIENCES CORPORATION,1001204378,"49,983.00"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"20,666.73"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"340,062.56"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"6,794.04"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,380.31
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"1,257.14"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"21,252.21"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"506,017.92"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"5,678.40"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"9,564.72"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"2,031.59"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"7,828.80"
Home Office,IPS - Identity & Passport Service,20/01/2012,"Transport, Storage & Mail Serv.Mailing Mail Del Serv - ADMN",IPS - Identity & Passport Service,DX SECURE LTD,1001205931,"1,136.16"
Home Office,IPS - Identity & Passport Service,17/01/2012,Operational Estates Costs,IPS - Identity & Passport Service,EDDISONS COMMERCIALPROPERTY MANAGEMENT LTD,1001203684,"336,079.80"
Home Office,IPS - Identity & Passport Service,20/01/2012,"IT,Tele Applic Consult&Develop.Other Government Depart - ADMN",IPS - Identity & Passport Service,EQUIFAX LTD,1001205934,"114,933.59"
Home Office,IPS - Identity & Passport Service,12/01/2012,"IT,Tele Applic Consult&Develop.Other Government Depart - ADMN",IPS - Identity & Passport Service,EQUIFAX LTD,1001202108,"114,933.59"
Home Office,IPS - Identity & Passport Service,16/01/2012,Operational Estates Costs,IPS - Identity & Passport Service,JONES LANG LASSALLE,1001203034,"10,080.00"
Home Office,IPS - Identity & Passport Service,16/01/2012,Operational Estates Costs,IPS - Identity & Passport Service,JONES LANG LASSALLE,1001203034,"28,500.00"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"77,209.20"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"121,411.20"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"14,468.40"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"36,470.40"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"17,449.20"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"43,963.20"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"15,624.00"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"39,355.20"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"16,035.60"
Home Office,IPS - Identity & Passport Service,26/01/2012,Accommodation,IPS - Identity & Passport Service,WH 101 OLD HALL STREET LTD,1001208376,"41,599.80"
Home Office,IPS - Identity & Passport Service,27/01/2012,Operational Estates Costs,IPS - Identity & Passport Service,MAPELEY ABI PROVIDER LTD,1001208583,"180,344.70"
Home Office,IPS - Identity & Passport Service,30/01/2012,Operational Estates Costs,IPS - Identity & Passport Service,MAPELEY ABI PROVIDER LTD,1001209226,"180,344.70"
Home Office,IPS - Identity & Passport Service,27/01/2012,Operational Estates Costs,IPS - Identity & Passport Service,MAPELEY ABI PROVIDER LTD,1001208583,"180,344.70"
Home Office,IPS - Identity & Passport Service,26/01/2012,Operational Estates Costs,IPS - Identity & Passport Service,MAPELEY ACQUISITION CO 2 LTD,1001208055,"32,580.90"
Home Office,IPS - Identity & Passport Service,26/01/2012,Operational Estates Costs,IPS - Identity & Passport Service,MAPELEY ACQUISITION CO 2 LTD,1001208055,"103,200.00"
Home Office,IPS - Identity & Passport Service,05/01/2012,Management & Admin Serv.Lease / rental (property)(FA) .,IPS - Identity & Passport Service,PRUDENTIAL PROP INV MANAGERS L,1001199530,"777,843.00"
Home Office,IPS - Identity & Passport Service,16/01/2012,Office and General Expenses,IPS - Identity & Passport Service,ROYAL MAIL,4000004120,"184,491.27"
Home Office,IPS - Identity & Passport Service,27/01/2012,Passport Production.BPO Volumetric Charges - Prog,IPS - Identity & Passport Service,STERIA UK,1001208623,"932,673.32"
Home Office,IPS - Identity & Passport Service,27/01/2012,Passport Production.BPO Volumetric Charges - Prog,IPS - Identity & Passport Service,STERIA UK,1001208623,"49,214.00"
Home Office,Home Office,06/01/2012,Contingent Labour.Specialist – IT - ADMN,SSD - Shared Services Directorate,ADVANTAGE TECHNICAL RESOURCING,1001199895,"25,184.88"
Home Office,Home Office,17/01/2012,Contingent Labour.Specialist – IT - ADMN,SSD - Shared Services Directorate,ADVANTAGE TECHNICAL RESOURCING,1001203647,"6,714.24"
Home Office,Home Office,17/01/2012,Contingent Labour.Specialist – IT - ADMN,SSD - Shared Services Directorate,ADVANTAGE TECHNICAL RESOURCING,1001203647,"28,535.52"
Home Office,Home Office,13/01/2012,Management & Admin Serv.Temporary managerial staff.,SSD - Shared Services Directorate,ADVANTAGE TECHNICAL RESOURCING,1001202752,"25,223.40"
Home Office,Home Office,30/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,1001209180,"825,943.35"
Home Office,Home Office,30/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,1001209180,"340,794.91"
Home Office,Home Office,30/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,1001209180,"568,752.60"
Home Office,Home Office,30/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,1001209180,"328,113.70"
Home Office,Home Office,10/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,2012011003,"-25,387.20"
Home Office,Home Office,17/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,1001203651,"28,208.64"
Home Office,Home Office,24/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,1001206697,"162,971.81"
Home Office,Home Office,17/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,1001203653,"169,425.76"
Home Office,Home Office,24/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,AMEY COMMUNITY,1001206699,"51,425.46"
Home Office,Home Office,11/01/2012,Contingent Labour.Specialist – IT - ADMN,SSD - Shared Services Directorate,AMTEC CONSULTING GROUP,1001201484,"26,640.00"
Home Office,Home Office,06/01/2012,Contingent Labour.Specialist – IT - ADMN,SSD - Shared Services Directorate,AMTEC CONSULTING GROUP,1001199896,"45,552.00"
Home Office,Home Office,06/01/2012,Contingent Labour.Specialist – IT - ADMN,SSD - Shared Services Directorate,AMTEC CONSULTING GROUP,1001199896,192.00
Home Office,Home Office,26/01/2012,"Building, Construction Service.Planned Interior finish-ADMN",SSD - Shared Services Directorate,ANNES GATE PROPERTY PLC,1001207994,"90,956.28"
Home Office,Home Office,26/01/2012,Paper Materials and Products.Paper Material & Product- ADMN,SSD - Shared Services Directorate,ANNES GATE PROPERTY PLC,1001207994,"18,958.72"
Home Office,Home Office,26/01/2012,Professional & Admin Services.Facilities Man Serv - ADMN,SSD - Shared Services Directorate,ANNES GATE PROPERTY PLC,1001207994,"3,336.05"
