Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,01/08/2015,Expense clearing GPC (ST),DG: Central Technical,THE ROYAL BANK OF SCOTLAND PLC,5493001-04-AUG-15,"33,695.53",,SS1 9AJ,,,LARGE,,
Department of Health,Department of Health,01/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10108772,"-84,420.00",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,01/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10108772,"84,420.00",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,01/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10108976,"-164,640.00",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,01/08/2015,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10108976,"164,640.00",Information Systems,SG8 6DP,,,LARGE,,GB238535057
Department of Health,Department of Health,01/08/2015,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,44168644,"25,575.00",RDD Programme Support - Miscellaneous,SO17 1BJ,,,PUBLIC,,
Department of Health,Department of Health,01/08/2015,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,44168644,"-25,575.00",RDD Programme Support - Miscellaneous,SO17 1BJ,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-18636,"10,000,000.00",,,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-18637,"16,000,000.00",,WF3 1WE,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-18638,"385,000,000.00",,LS1 4PL,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-18639,"800,000.00",,SE1 6LH,,,PUBLIC,,GB654441482
Department of Health,Department of Health,03/08/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-18640,"6,000,000.00",,,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-18641,"5,000,000.00",,SE1 7NT,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-18642,"13,000,000.00",,,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-18643,"2,784,554,000.00",,LS2 7UE,,,PUBLIC,,GB654442045
Department of Health,Department of Health,03/08/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-18644,"5,118,667,000.00",,LS2 7UE,,,PUBLIC,,GB654442045
Department of Health,Department of Health,03/08/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS LITIGATION AUTHORITY,HAFS-18645,"50,000,000.00",,LS1 4AD,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-18646,"3,500,000.00",,SW1E 6QT,,,PUBLIC,,GB654441930
Department of Health,Department of Health,03/08/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-18647,"81,000,000.00",,SP4 0JG,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,HAFS-18648,"409,000.00",,L12 2AP,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,HAFS-18649,"27,000.00",,S10 2TH,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,Additions FT Financing Facility Loans,DG: Central Technical,THE ROYAL MARSDEN NHS FOUNDATION TRUST,HAFS-18650,"1,500,000.00",,SW3 6JJ,,,PUBLIC,,
Department of Health,Department of Health,03/08/2015,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,12999,"60,838.58",Capital: Spine 2 BJSS. - Spine 2 Development,LS1 2TW,,,SME,,GB613295452
