Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,PO Line discription,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,01/05/2014,Professional fees,DG: SCLGCP,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,66161,50833,IT SERVICE REQUEST FOR FUNDING FOR THE MHA APPROVALS DATABASE,DN4 8QN,,Programme,PUBLIC,,
Department of Health,Department of Health,01/05/2014,Research & development,DG: RDD,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-519857-87961,88202,Network Research Capability Funding,WV10 0QP,,Programme,PUBLIC,,
Department of Health,Department of Health,01/05/2014,Research & development,DG: RDD,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-519857-87961,2411750,Network Research Capability Funding,WV10 0QP,,Programme,PUBLIC,,
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-17056,10000000,,,,Other,PUBLIC,,
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-17057,5000000,,WF3 1WE,,Other,PUBLIC,,
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-17058,340000000,,LS1 4PL,,Other,PUBLIC,,
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17059,4500000,,,,Other,PUBLIC,,
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17060,3000000,,SE1 7NT,,Other,PUBLIC,,
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17061,7500000,,NE1 6SN,,Other,PUBLIC,,
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,HAFS-17062,4206752000,,LS2 7UE,,Other,PUBLIC,,GB654442045
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-17063,63000000,,SP4 0JG,,Other,PUBLIC,,
Department of Health,Department of Health,01/05/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,HAFS-17064,4783390000,,LS2 7UE,,Other,PUBLIC,,GB654442045
Department of Health,Department of Health,01/05/2014,Outsourcing Contract,DG: PHD,MULTI RESOURCE MARKETING LTD,126938,53896.14,MRM Ltd - For the services provided on the Healthy Start Reimbursement Unit - extension period April 2013 to March 2015,LE16 9NR,,Programme,SME,,GB817665306
Department of Health,Department of Health,01/05/2014,Professional fees,DG: GOAD,PRICEWATERHOUSECOOPERS LLP,1354171263,23466.89,DH ALB NICE Internal Audit review work,E14 9SQ,,Admin,LARGE,,GB243823957
Department of Health,Department of Health,01/05/2014,Service charge,DG: GOAD,BT GROUP PLC,353134PART PAYT,2439690.89,LSP South: revenue 2013/14,NW9 6LB,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,01/05/2014,Service charge,DG: GOAD,BT GROUP PLC,353137PART PAYT,816934.3,LSP South: revenue 2013/14,NW9 6LB,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,01/05/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4295001-07-MAY-14,27134.32,,TS17 6YG,,Other,SME,,
Department of Health,Department of Health,01/05/2014,Printing,DG: GOAD,XEROX BUSINESS SERVICES,900119743,24491.38,"Reprographics - Management Fees @ £24,491.38 mthly FY2014-15",UB8 1HS,,Admin,LARGE,,GB232364682
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210009017,48486.92,Capital: Hull & East Yorks Trust LSP NME,HU16 5JQ,,Programme,PUBLIC,,
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210009017,122631.98,Revenue: Hull & East Yorks Trust LSP NME,HU16 5JQ,,Programme,PUBLIC,,
