Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
Defra,AHVLA,25/06/12,Service Level Agreement Costs,Chief Operating Officer DG,Food Standards Agency,1701544," £33,532.16 ",Payment to Food Standards Agency for sampling and submission of TB reactor cattle in contracted slaughterhouses.,YO1 2YX,,,AHFSATBS,Expense,,,
Defra,AHVLA,25/06/12,Service Level Agreement Costs,Chief Operating Officer DG,Food Standards Agency,1701545," £36,551.42 ",Payment to Food Standards Agency for sampling and submission of TB reactor cattle in contracted slaughterhouses.,YO1 2YX,,,AHFSATBS,Expense,,,
Defra,AHVLA,21/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5804121608," £103,664.73 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,00000000,Expense,,,
Defra,AHVLA,15/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121529," £29,461.23 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,00000000,Expense,,,
Defra,AHVLA,19/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121538," £45,965.21 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,00000000,Expense,,,
Defra,AHVLA,21/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121537," £52,667.30 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,00000000,Expense,,,
Defra,AHVLA,25/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5806120379," £49,467.23 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,00000000,Expense,,,
Defra,AHVLA,25/06/12,Emergency Vaccinations,Chief Operating Officer DG,Genus Breeding Ltd.,21098168," £44,123.40 ",Contingency contract for provision of livestock vaccinations in the event of an outbreak,CW6 9HY,SME,,EMERVACC,Expense,,,
Defra,AHVLA,01/06/12,Training - Learning & Development,Chief Operating Officer DG,The Development Partnership,111402," £27,120.00 ",Development of the Senior Leadership Team Development Programme,WC2E 9DS,SME,,00000000,Expense,,,
Defra,AHVLA,13/06/12,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649058286310512," £43,621.72 ",Payment of the monthly AHVLA Barclaycard invoice,TS17 6YG,,,00000000,Asset,,,
Defra,AHVLA,25/06/12,LVI ERNIC Suspense,Chief Operating Officer DG,H M Revenue & Customs,220612," £41,319.90 ",Payment of National Insurance for Official Veterinarians,BD98 8AA,,,00000000,Liability,,,
Defra,AHVLA,25/06/12,LVI Claims,Chief Operating Officer DG,XL FARMCARE WEST MIDLANDS LTD~114213469,LVI150488," £64,617.53 ",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,ST14 8EB,SME,,00000000,Expense,,,
Defra,AHVLA,19/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121533," £147,420.95 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,BRP00248,Expense,,,
Defra,AHVLA,21/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803122117," £40,762.30 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,BRP00243,Expense,,,
Defra,AHVLA,21/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121532," £27,290.65 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,BRP00248,Expense,,,
Defra,AHVLA,21/06/12,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5804121606," £36,855.24 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,BRP00248,Expense,,,
Defra,AHVLA,25/06/12,LVI Claims,Chief Operating Officer DG,SYNERGY FARM HEALTH LTD~979392255,LVI150929," £44,064.17 ",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,DT2 0LD,SME,,00000000,Expense,,,
Defra,AHVLA,25/06/12,LVI Claims,Chief Operating Officer DG,PRIORY VETERINARY LTD.~122926971,LVI150505," £37,839.41 ",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SA43 1QR,SME,,00000000,Expense,,,
Defra,AHVLA,08/06/12,Work package/WPO Implementation,,IBM United Kingdom Ltd,5804121607," £87,614.06 ",Fixed price Statement of Work for delivery on Animal Health and Veterinary Laboraties Agency  BRP SAM Release 6,GU1 2LD,,,P10070OT,Expense,,,
Defra,AHVLA,21/06/12,Sub Contracts SE,Research Programmes,The Food and Environment Research Agency,381013," £70,468.94 ",Regulatory Studies: TB Vaccine,YO41 1LZ,Large,700561,SE3247,Programme,,,
