Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,
Cabinet Office,Cabinet Office,01/07/2011,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000017795,"51,162.24",Facilities Management Services,
Cabinet Office,Cabinet Office,01/07/2011,Investments,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000017793,"36,955.15",Investment in the risk capital fund for social enterprise,
Cabinet Office,Cabinet Office,01/07/2011,Capital grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,1000407,"1,688,641.93",Final endowment grant within the Grassroots Grants programme,
Cabinet Office,CABINET OFFICE,01/07/2011,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BIG FUND TRANSITION FUND,3000017792,"25,000,000.00",Grant payment for the Transition Fund ,
Cabinet Office,Cabinet Office,04/07/2011,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000017831,"31,642.30",TSOL - 2011/12 Fees and Disbursements.,
Cabinet Office,Cabinet Office,04/07/2011,Consultancy,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000017819,"49,874.99","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",
Cabinet Office,Cabinet Office,04/07/2011,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000017830,"68,230.00",Central Chancery charges for administration of Honours,
Cabinet Office,Cabinet Office,04/07/2011,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,DIGITAL PUBLIC,3000017821,"30,888.00",Final payment for the delivery of the 2010-11 Access to Volunteering Fund,
Cabinet Office,Cabinet Office,06/07/2011,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000017862,"45,549.39",Web monitoring services,
Cabinet Office,Cabinet Office,06/07/2011,Accomodation and Utilities,IT AND TELECOMS BRANCH,BUYING SOLUTIONS 3986,103245,"213,931.54",Telephony charges.,
Cabinet Office,Cabinet Office,07/07/2011,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000017892,"46,891.70",Fast-stream recruitment,
Cabinet Office,Cabinet Office,07/07/2011,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000017886,"814,947.77",Core Flex Monthly Service Charge,
Cabinet Office,Cabinet Office,07/07/2011,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000017883,"80,857.84",Telecomms line rentals,
Cabinet Office,Government Procurement Service,07/07/2011,SAP Rental,Network Services,Global Crossing,PINMTS 20228,"178,995.82",Government managed telecoms contract,
Cabinet Office,Cabinet Office,08/07/2011,Land and Buildings,ESTATE MANAGEMENT,MINISTRY OF JUSTICE,3000017945,"889,333.00",Provision of office space for new Groups joining the Department,
