Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/04/2012,Rent of Land & Buildings (non-PFI operating lease),Group Operations & Assurance,ABERDEEN ASSET MANAGEMENT,SME,G2 5EA,588188,28885,,"Maple Street - Annual Rent 25th March 2012 - 24th March 2013 @ £144,425 per qtr (Property Ref:588188)",Admin,
Department of Health,Department of Health,01/04/2012,Contractor/Staff Substitution,Group Operations & Assurance,GRANT THORNTON LTD,LARGE,NW1 2EP,6612211,42282.83,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,01/04/2012,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,SME,TS17 6YG,2562001-18-APR-12,126543.61,,,Other,
Department of Health,Department of Health,02/04/2012,Professional fees,External Relations Directorate,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,3940,1235563.2,,Recharge for Choice Project Q3,Programme,
Department of Health,Department of Health,02/04/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201281241,23178.71,,LAN - Wellington House,Admin,
Department of Health,Department of Health,02/04/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201281242,28000,,Desktop Modernisation Programme - funding approved by IMB 11th June (balance of funding on Business case),Admin,
Department of Health,Department of Health,02/04/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201281240,41504.26,,LAN - Wellington House - In Addition to PO429936,Admin,
Department of Health,Department of Health,02/04/2012,Outsourcing Contract,Health Protection,SAPIENT LTD,LARGE,E14 9GE,24726,3861.7,,EESSI Project - Flexible Resource statement of work SOW 105/CR07/PID57714,Programme,
Department of Health,Department of Health,02/04/2012,Outsourcing Contract,Health Protection,SAPIENT LTD,LARGE,E14 9GE,24726,26842.88,,Electronic Exchange of Social Security information - funding for define phase (various suppliers),Programme,
Department of Health,Department of Health,02/04/2012,Outsourcing Contract,Health Protection,SAPIENT LTD,LARGE,E14 9GE,24726,53291.08,,Electronic Exchange of Social Security information - funding for define phase (various suppliers),Programme,
Department of Health,Department of Health,02/04/2012,Outsourcing Contract,Health Protection,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201281245,53473.52,,"WAF P3749 CCN 1116 Relocation of DH Staff Additional Moves - Cambridge, Bristol, Guildford & Leeds",Admin,
Department of Health,Department of Health,02/04/2012,Outsourcing Contract,Health Protection,SAPIENT LTD,LARGE,E1 6DU,24728,135969,,Electronic Exchange of Social Security information - funding for define phase (various suppliers),Programme,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,-124.50,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,-65.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,26.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,46.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,73.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,80.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,80.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,81.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,86.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,86.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,91.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,92.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,93.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,94.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,97.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,119.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,119.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,120.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,126.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,145.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,146.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,148.18,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,157.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,159.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,168.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,169.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,169.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,169.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,178.82,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,180.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,185.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,201.85,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,206.30,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,212.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,228.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,231.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,232.61,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,234.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,236.30,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,246.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,246.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,252.59,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,258.59,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,269.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,307.90,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,309.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,317.30,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,320.78,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,324.03,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,334.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,345.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,355.39,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,356.39,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,356.78,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,370.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,374.90,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,376.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,377.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,378.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,399.79,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,405.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,406.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,424.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,425.30,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,441.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,447.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,456.49,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,462.41,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,464.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,468.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,471.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,474.50,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,479.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,523.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,526.10,,,,
