Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,07/04/2015,"5,020,401","36,975.28",ASPAUD CO,Vehicles: Materials and Parts
FCO,FCO,07/04/2015,"5,020,666","94,171.68",AKIS BAGIMSIZ DENETIM VE SMMM AS,UKTI HQ Allocation- Investment
FCO,FCO,07/04/2015,"5,020,670","250,000",MULTINATIONAL FORCE AND OBSERVERS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/04/2015,"5,020,673","177,654.70",AL ISLAAX CAR SALES AND RENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/04/2015,"5,020,679","41,181.40",GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/04/2015,"5,020,688","43,561.09",MEDIA DIVERSITY INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/04/2015,"5,021,320","26,663.05",AMERICAN DREW FURNITURE,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,10/04/2015,"5,021,454","30,000",CARBON TRUST ADVISORY LTD,Office Support Services
FCO,FCO,08/04/2015,"5,021,457","39,857.33",CAPGEMINI UK PLC,Information Systems Maintenance
FCO,FCO,08/04/2015,"5,021,459","63,498.88",CAPGEMINI UK PLC,Information Systems Maintenance
FCO,FCO,08/04/2015,"5,021,507","63,438.83",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/04/2015,"5,021,557","43,875",BRAVOSOLUTION UK LTD,Non-Capital Expenditure Re: IT Projects (Oracle Projects Control Account)
FCO,FCO,08/04/2015,"5,021,570","43,932.28",ISIS INNOVATION LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/04/2015,"5,021,622","80,595",PHYSICIANS FOR HUMAN RIGHTS INC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/04/2015,"5,021,653","28,596",PHYSICIANS FOR HUMAN RIGHTS INC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/04/2015,"5,021,666","78,308",CONCILIATION RESOURCES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/04/2015,"5,021,694","25,000",HM TREASURY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/04/2015,"5,022,716","318,019.20",MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/04/2015,"5,022,762","-25,650",BURN RITE,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/04/2015,"5,022,767","25,650",BURN RITE,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/04/2015,"5,022,832","108,144.50",MORPHO DETECTION UK LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/04/2015,"5,022,834","54,007.26",MORPHO DETECTION UK LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/04/2015,"5,022,857","91,673",CAPITA PROPERTY AND INFRASTRUCTURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/04/2015,"5,022,864","30,000",CAMBRIDGE CONSULTANTS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,21/04/2015,"5,022,866","73,915",CAMBRIDGE CONSULTANTS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,09/04/2015,"5,022,895","66,048",ORGANISATION FOR ECONOMIC CO OPERATION AND DEVELOPMENT OECD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/04/2015,"5,022,984","82,832.70",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10/04/2015,"5,023,138","29,141.12",STEEN RASMUSSEN APS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,14/04/2015,"5,023,242","101,324",DIPLOMAT FREIGHT SERVICES LTD(DFS),Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/04/2015,"5,023,501","39,662.28",RANGER PROTECTION AND SECURITY COMPANY LTD,Local Guards
FCO,FCO,07/04/2015,"5,023,574","54,792.88",ERNST AND YOUNG ADVISORY SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/04/2015,"5,023,673","44,000",NADRA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/04/2015,"5,023,814","36,265.56",TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/04/2015,"5,023,884","30,936.44",MME NGABALA OU M SODONON,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/04/2015,"5,024,339","62,600",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,13/04/2015,"5,024,480","26,224",CENTRAL HALL WESTMINSTER,Specialist Training (Devolved)
