Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/08/2011,Printing,HPIH & SD,CENTRAL OFFICE OF INFORMATION (COI),735625,510,
Department of Health,Department of Health,01/08/2011,Storage costs,"PSF POLICY, STRATEGY & FINANCE",TEVA UK LTD,2310211612,£803.38,
Department of Health,Department of Health,01/08/2011,Printing,HPIH & SD,CENTRAL OFFICE OF INFORMATION (COI),735625,8960,
Department of Health,Department of Health,01/08/2011,Printing,HPIH & SD,CENTRAL OFFICE OF INFORMATION (COI),735625,18908,
Department of Health,Department of Health,01/08/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),735699,29921.66,
Department of Health,Department of Health,01/08/2011,Contactor/ Staff Subsitution,COMMISSIONING,R B B ECONOMICS LLP,LLP09746,34560,
Department of Health,Department of Health,01/08/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,1049604241,61749.13,
Department of Health,Department of Health,01/08/2011,Outsourcing Contract,NHS Improvement and Efficiency,PRICEWATERHOUSECOOPERS LLP,1353620838,103504.8,
Department of Health,Department of Health,01/08/2011,Storage costs,"PSF POLICY, STRATEGY & FINANCE",TEVA UK LTD,2310211612,"£247,456.62",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),HAFS-11154,"500,000",
Department of Health,Department of Health,01/08/2011,Storage costs,"PSF POLICY, STRATEGY & FINANCE",BAXTER HEALTHCARE LTD,32007067,"£680,446.86",
Department of Health,Department of Health,01/08/2011,Programme Revenue Grant in Aid to ENDPBs,WORKFORCE,GENERAL SOCIAL CARE COUNCIL (GSCC),ERS-437929-50301,1107400,
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-11124,"1,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL PATIENT SAFETY AGENCY (NPSA),HAFS-11153,"1,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-11152,"4,000,000",
Department of Health,Department of Health,01/08/2011,Additions FT Financing Facility Loans,NHS FC,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,HAFS-11231,"5,300,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,DARLINGTON PCT,HAFS-11097,"11,644,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BASSETLAW PCT,HAFS-11068,"12,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HARTLEPOOL PCT,HAFS-11121,"12,700,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH EAST COAST SHA,HAFS-11192,"15,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,TORBAY CARE TRUST,HAFS-11211,"15,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,ISLE OF WIGHT NHS PCT,HAFS-11132,"17,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,TELFORD & WREKIN PCT,HAFS-11210,"17,776,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BATH & NORTH EAST SOMERSET PCT,HAFS-11069,"18,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,MIDDLESBOROUGH PCT,HAFS-11150,"18,350,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,HAFS-11161,"18,450,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,KINGSTON PCT,HAFS-11135,"18,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH LINCOLNSHIRE PCT,HAFS-11164,"18,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BLACKPOOL PCT,HAFS-11076,"18,605,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,REDCAR AND CLEVELAND PCT,HAFS-11180,"19,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,STOCKTON-ON-TEES TEACHING PCT,HAFS-11202,"20,800,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HEREFORDSHIRE PCT,HAFS-11126,"21,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-11075,"21,003,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,PETERBOROUGH PCT,HAFS-11176,"22,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,PORTSMOUTH CITY TEACHING PCT,HAFS-11178,"22,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,RICHMOND AND TWICKENHAM PCT,HAFS-11181,"22,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SWINDON PCT,HAFS-11208,"22,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BURY PCT,HAFS-11085,"22,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BARKING AND DAGENHAM PCT,HAFS-11065,"23,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WARRINGTON PCT,HAFS-11218,"23,100,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH SOMERSET PCT,HAFS-11165,"23,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH TYNESIDE PCT,HAFS-11196,"23,700,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,CALDERDALE PCT,HAFS-11086,"24,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HASTINGS & ROTHER PCT,HAFS-11122,"24,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH STAFFORDSHIRE PCT,HAFS-11166,"24,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTHAMPTON CITY PCT,HAFS-11199,"24,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,LUTON TEACHING PCT,HAFS-11146,"24,200,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOLIHULL PCT,HAFS-11188,"24,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,KNOWSLEY PCT,HAFS-11137,"24,900,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,EAST MIDLANDS SHA,HAFS-11106,"25,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,KENSINGTON AND CHELSEA PCT,HAFS-11134,"25,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,MILTON KEYNES PCT,HAFS-11151,"25,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH GLOUCESTERSHIRE PCT,HAFS-11194,"25,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST SHA,HAFS-11162,"25,700,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,BEXLEY CARE TRUST,HAFS-11073,"26,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HARROW PCT,HAFS-11120,"26,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HAMMERSMITH AND FULHAM PCT,HAFS-11117,"26,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH CENTRAL SHA,HAFS-11191,"26,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NORTH TYNESIDE PCT,HAFS-11167,"27,300,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,GREAT YARMOUTH AND WAVENY PCT,HAFS-11114,"28,046,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-11157,"28,150,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,REDBRIDGE PCT,HAFS-11179,"28,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH WEST SHA,HAFS-11198,"28,500,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HAVERING PCT COMMISSIONING,HAFS-11123,"29,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,HEYWOOD MIDDLETON & ROCHDALE PCT,HAFS-11128,"29,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,MEDWAY TEACHING PCT,HAFS-11148,"29,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,TAMESIDE AND GLOSSOP PCT,HAFS-11209,"29,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,TRAFFORD PCT,HAFS-11213,"29,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,OLDHAM PCT,HAFS-11174,"30,000,000",
Department of Health,Department of Health,01/08/2011,CASH FUNDING Rev Inside RAB,NHS FC,WALTHAM FOREST PCT,HAFS-11216,"30,000,000",
