Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description 
Cabinet Office,CABINET OFFICE,01/08/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,SPRING TECHNOLOGY STAFFING SERVICE (STSS),3000051267,31263.9,Interim IT specialists for Electoral Registration Transformation Programme
Cabinet Office,CABINET OFFICE,01/08/2014,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,NORTH HIGHLAND LTD,3000051264,47447.5,Payment for interim Digital/IT specialists
Cabinet Office,CABINET OFFICE,01/08/2014,CONSULTANTS VAT RECOVERABLE,SME FINANCE LEAD,GOVERNMENT ACTUARYS DEPARTMENT GAD,3000051289,52501.74,Actuarial Services
Cabinet Office,CABINET OFFICE,01/08/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000051284,68244,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy
Cabinet Office,CABINET OFFICE,01/08/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,CREATIVE CHOICE CIC,3000051266,105000,Managed services for digital projects
Cabinet Office,CABINET OFFICE,05/08/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,THREE RIVERS DISTRICT COUNCIL,3000051330,31090,Individual Electoral Registration programme costs
Cabinet Office,CABINET OFFICE,05/08/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,DEVONSHIRE APPOINTMENTS LTD,3000051401,36887.5,Managed Services for GOV.UK
Cabinet Office,CABINET OFFICE,05/08/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,PA CONSULTING SERVICES LTD,3000051399,40925,Support under the mutuals support programme.
Cabinet Office,CABINET OFFICE,05/08/2014,TELECOM RENTALS,NSS CRISIS MANAGEMENT,BRITISH TELECOMMUNICATIONS PLC,3000051357,49202.24,Telecomms charges 
Cabinet Office,CABINET OFFICE,05/08/2014,SOFTWARE LEASE/LICENSE,PUBLIC SERVICES NETWORK,TRUSTIS,3000051319,64800,"Build, implementation and accreditation of the Public Sector Internal Identity Federation (PSIIF) public key infrastructure and production of documentation for scheme assessment"
Cabinet Office,CABINET OFFICE,05/08/2014,ADDITIONS - F&FS,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000051385,73669.07,Estate services
Cabinet Office,CABINET OFFICE,05/08/2014,CONSULTANTS VAT RECOVERABLE,ERG NEXT GENERATION SHARED SERVICES,PRICEWATERHOUSE COOPERS LLP,3000051395,93037.5,"Support for the Independent Shared Service Centre 2 Project including development of financial models, business transfer agreements, transitional arrangements for services and assets, and stakeholder engagement."
Cabinet Office,CABINET OFFICE,05/08/2014,NON PRIME PROPERTY COSTS,GDS BUSINESS AND OFFICE COSTS,FOOD STANDARDS AGENCY,3000051334,115094.48,Rent for accommodation
Cabinet Office,CABINET OFFICE,05/08/2014,ALL OTHER TRAINING AND DVEVELOPMENT NON VAT RECOVERABLE,FAST STREAM COSTS CS RESOURCING,HMRC,3000051352,205112.16,Cabinet Office contribution to Fast Stream
Cabinet Office,CABINET OFFICE,05/08/2014,NON PRIME PROPERTY COSTS,GDS BUSINESS TECHNOLOGY,FOOD STANDARDS AGENCY,3000051334,496992.2,Rent for accommodation
Cabinet Office,CABINET OFFICE,05/08/2014,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY ORGANISERS,LOCALITY,3000051349,724880,Bursary support to cover the cost of Senior Community Organisers training
Cabinet Office,CABINET OFFICE,06/08/2014,FM CONTRACT VARIABLE,DECOMMISSION ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000051443,26745.6,Estate services
Cabinet Office,CABINET OFFICE,06/08/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,RED QUADRANT,3000051455,33750,Support under the mutuals support programme
Cabinet Office,CABINET OFFICE,06/08/2014,FM CONTRACT FIXED COSTS,ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000051463,46118.44,Facilities Management Services
Cabinet Office,CABINET OFFICE,06/08/2014,ADDITIONSAUC F/H NON RES BLDGS,70 WHITEHALL,BOUYGUES E&S FM UK LTD,3000051443,217500,Facilities Management Services
Cabinet Office,CABINET OFFICE,07/08/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000051492,26513.91,Payment for interim Digital/IT specialists
Cabinet Office,CABINET OFFICE,07/08/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000051493,36985.34,Payment for interim Digital/IT specialists
Cabinet Office,CABINET OFFICE,07/08/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000051493,38501.45,Payment for interim Digital/IT specialists
Cabinet Office,CABINET OFFICE,07/08/2014,PUBLICITY PRODUCTION COST,ISA 2 Prog,CYBER SECURITY CHALLENGE UK LTD,3000051482,45000,Cyber Security Schools Challenge funding 
Cabinet Office,CABINET OFFICE,07/08/2014,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,E SYNERGY SOLUTIONS LTD,3000051480,76540,Payment for interim Digital/IT specialists
Cabinet Office,CABINET OFFICE,07/08/2014,SERVICE CHARGES,DOVER HOUSE,SCOTLAND OFFICE,3000051510,78089.61,Estate services
Cabinet Office,CABINET OFFICE,07/08/2014,FM CONTRACT LIFECYCLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000051488,127500,Facilities Management Services
Cabinet Office,CABINET OFFICE,07/08/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,VALTECH LTD,3000051481,130650,Managed services for the GDS transformation project
Cabinet Office,CABINET OFFICE,07/08/2014,OTHER IS IT COSTS VAT RECOV,CERT,RISUAL LTD,3000051478,132582,Software engineering costs for the Cyber Security Information Sharing Partnership
Cabinet Office,CABINET OFFICE,07/08/2014,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000051488,547066.58,Facilities Management Services
Cabinet Office,CABINET OFFICE,08/08/2014,Research and Development (VAT recoverable),ELECTIONS AND DEMOCRACY DIVISION,LAW COMMISSION,3000051550,31250,Electoral Law Reform Project costs
Cabinet Office,CABINET OFFICE,08/08/2014,RESOURCE GRANTS PRIVATE SECTOR,COMPACT VOICE,NCVO,3000051535,94500,Compact Voice support costs
Cabinet Office,CABINET OFFICE,08/08/2014,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000051574,133071.88,Shared services charges 
Cabinet Office,CABINET OFFICE,08/08/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ICT SERVICE DELIVERY,HM TREASURY,3000051528,418839.27,"Contribution to cost of IT contract managed by HM Treasury, for use by CO staff"
Cabinet Office,CABINET OFFICE,08/08/2014,PENSIONER PAYROLL CONTRACTOR,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000051517,2944547.41,Civil Service pension administration services 
Cabinet Office,CABINET OFFICE,11/08/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000051584,27335.24,Payment for interim Digital/IT specialists
Cabinet Office,CABINET OFFICE,11/08/2014,STAFF RELATED COSTS VAT RECOVERABLE,GDS BUSINESS AND OFFICE COSTS,BOYDEN EXECUTIVE SEARCH,3000051585,30000,Managed services for Government digital projects 
Cabinet Office,CABINET OFFICE,11/08/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,ENVIRONMENT AGENCY,3000051608,30000,Managed services for the GDS transformation project
