Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,06/08/2015,"5,147,467","4,769,197",MAYDAY RESCUE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03/08/2015,"5,143,251","1,803,022",BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/08/2015,"5,154,172","1,279,430",MACE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,06/08/2015,"5,147,329","939,608.50",GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,20/08/2015,"5,164,313","709,075.40",KANTO ZAIMUKYOKU TOKYO ZAIMU JIMUSHO,Rental Payments - non residential
FCO,FCO,14/08/2015,"5,159,595","610,901.20",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Non-Residential, Water Residential"
FCO,FCO,14/08/2015,"5,159,992","558,676.50",INTERSERVE FM LTD,"Building Fabric Services, Building Mechanical and Engineering Services, Catering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Interim Helpdesk, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Waste Disposal"
FCO,FCO,26/08/2015,"5,169,640","517,272.70",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Property Maintenance Overseas Residential, Rent Deposits, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,20/08/2015,"5,164,952","465,933.30",HIGH VILL KAZAKHSTAN,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/08/2015,"5,155,003","437,319.10",ARTEOS GMBH,"Electricity Non-Residential, Estates - Other Machinery and Equipment, Pfi : Public/Private Partnership Consultants Fees Non-Residential, Waste Disposal, Water Residential"
FCO,FCO,24/08/2015,"5,167,217","331,445.90",G4S SECURE SOLUTIONS UK,Manned Guarding Services
FCO,FCO,07/08/2015,"5,148,448","318,353.80",MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/08/2015,"5,163,483","304,786.50",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,19/08/2015,"5,163,454","300,000",SLAUGHTER AND MAY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,26/08/2015,"5,169,598","296,539.40",INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,26/08/2015,"5,169,643","263,800.80",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,13/08/2015,"5,158,438","259,848",SECURITY SERVICES GROUP,Site Maintenance
FCO,FCO,05/08/2015,"5,146,039","246,698.10",GILBERT ASH LIMITED,"Assets Under Construction (Oracle PA Control Account), Construction Project more than £10k"
FCO,FCO,26/08/2015,"5,169,646","223,275",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Rent Deposits, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,14/08/2015,"5,159,598","205,571.90",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,14/08/2015,"5,159,600","200,147.80",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Rent Deposits, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,26/08/2015,"5,169,644","196,627",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Rates Taxes Non-Residential, Rates Taxes Residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,05/08/2015,"5,145,695","178,254",CAPGEMINI UK PLC,Estates Management Services
FCO,FCO,06/08/2015,"5,147,307","169,110.10",COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI CISP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/08/2015,"5,161,019","165,448",STABILIZATION SUPPORT SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/08/2015,"5,166,113","156,241.10",DBB CONSTRUCTION DECORATION CO LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,17/08/2015,"5,160,956","156,143.40",PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/08/2015,"5,157,640","142,327.80",KELLOGG BROWN AND ROOT,Estates Management Services
FCO,FCO,11/08/2015,"5,152,032","137,156.40",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,14/08/2015,"5,159,982","136,955.40",ISS FACILITY SERVICES LTD FCO OP,"FM Interserve BES Maintenance, FM Interserve Cleaning, Unscheduled repairs to building infrastructure"
FCO,FCO,14/08/2015,"5,159,603","129,867.70",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Non-Residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,14/08/2015,"5,159,622","124,156.10",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,06/08/2015,"5,147,478","121,084",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,11/08/2015,"5,152,273","115,698.60",ASSOCIATION OF MIDDLE EAST STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,04/08/2015,"5,144,742","115,378",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,06/08/2015,"5,147,135","113,615.40",CEUME CONSORTIUM FOR ENHANCEMENT OF UKRAINIAN MANAGEMENT EDUCATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/08/2015,"5,148,771","111,740.70",KAINOS SOFTWARE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,19/08/2015,"5,163,958","110,045",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03/08/2015,"5,143,241","109,323.30",AFRICAN SKIES LTD,Local Guards
FCO,FCO,05/08/2015,"5,146,122","108,978.50",WAR CHILD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/08/2015,"5,151,941","105,963.60",HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme
FCO,FCO,03/08/2015,"5,143,240","105,796.70",AFRICAN SKIES LTD,Local Guards
FCO,FCO,20/08/2015,"5,165,037","102,000",EXTRASPACE SOLUTIONS,Construction Project more than £10k
