Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Current Grants To Private Sector - NPISH,Business and Science - Research Base,NATURAL ENGLAND,93262,-132780.95,Science & Society: Science for All-Current Grants To Private Sector - NPISH,YO1 7PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Current Grants To Private Sector - NPISH,Business and Science - Research Base,NATURAL ENGLAND,93262,-9844.90,Science & Society: Science for All-Current Grants To Private Sector - NPISH,YO1 7PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Current Grants To Private Sector - NPISH,Business and Science - Research Base,NATURAL ENGLAND,93262,19689.80,Science & Society: Science for All-Current Grants To Private Sector - NPISH,YO1 7PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Current Grants To Private Sector - NPISH,Business and Science - Research Base,NATURAL ENGLAND,93262,41216.35,Science & Society: Science for All-Current Grants To Private Sector - NPISH,YO1 7PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Current Grants To Private Sector - NPISH,Business and Science - Research Base,NATURAL ENGLAND,93262,132780.95,Science & Society: Science for All-Current Grants To Private Sector - NPISH,YO1 7PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Learning and Dev - CS Skills,"Skills, Deregulation and Local Growth - Apprentiship Directorate",CAPITA BUSINESS SERVICES LTD,113092,-430.47,SDLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Learning and Dev - CS Skills,"Skills, Deregulation and Local Growth - Apprentiship Directorate",CAPITA BUSINESS SERVICES LTD,113092,48.00,SDLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Learning and Dev - CS Skills,"Skills, Deregulation and Local Growth - Apprentiship Directorate",CAPITA BUSINESS SERVICES LTD,113092,61.14,SDLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Learning and Dev - CS Skills,"Skills, Deregulation and Local Growth - Apprentiship Directorate",CAPITA BUSINESS SERVICES LTD,113092,122.39,SDLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Learning and Dev - CS Skills,"Skills, Deregulation and Local Growth - Apprentiship Directorate",CAPITA BUSINESS SERVICES LTD,113092,860.94,SDLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Standard Desktop Services,"Finance, Commercial & Digital Transformation - Information and Technology Directorate",SOFTCAT LTD,114620,636.00,FCDT Devolved Admin-Standard Desktop Services,SL7 1LW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Standard Desktop Services,"Finance, Commercial & Digital Transformation - Information and Technology Directorate",SOFTCAT LTD,114620,3090.00,FCDT Devolved Admin-Standard Desktop Services,SL7 1LW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Subsistence Overseas,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),115110,423.54,PSHE Non Devolved Admin-Subsistence Overseas,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Subsistence Overseas,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),115111,917.58,PSHE Non Devolved Admin-Subsistence Overseas,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Occupational Health Service,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),115112,106.23,PSHE Non Devolved Admin-Occupational Health Service,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Occupational Health Service,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),115113,35.41,PSHE Non Devolved Admin-Occupational Health Service,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Occupational Health Service,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),115114,35.41,PSHE Non Devolved Admin-Occupational Health Service,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Occupational Health Service,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),115115,35.41,PSHE Non Devolved Admin-Occupational Health Service,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Occupational Health Service,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),115116,35.41,PSHE Non Devolved Admin-Occupational Health Service,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/12/2015,Occupational Health Service,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),115122,418.50,PSHE Non Devolved Admin-Occupational Health Service,MK10 1PX,WGA ONLY,,,
