Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/11/2014,Telecoms Equipment,Finance & Commercial Group - Information and Technology Directorate,XMA LTD,50352,-3548.16,F&C Devolved Admin-Telecoms Equipment,NG11 7EP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/11/2014,Telecoms Equipment,Finance & Commercial Group - Information and Technology Directorate,XMA LTD,50352,7805.95,F&C Devolved Admin-Telecoms Equipment,NG11 7EP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/11/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,CAPITA BUSINESS SERVICES LTD,55308,9817.55,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/11/2014,Learning and Dev - CS Skills,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,57404,265.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/11/2014,Consultancy Expenditure,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,57709,8611.33,P&S Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/11/2014,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,57744,3028.14,BLG Devolved Admin-Hire of Agency Staff,DL1 PHN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/11/2014,Economic Consultancy & Research,Business & Local Growth - Regional Growth,TNS UK LTD,58384,4250.00,Economic Inteligence And Analysis-Economic Consultancy & Research,W5 1UA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/11/2014,Consultancy Expenditure,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,58701,2790.40,P&S Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/11/2014,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - Estates,EC HARRIS LLP,58782,4085.57,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,N1 9AB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/11/2014,Purchase of Intangible Software,People & Strategy - Communications Directorate,QUESTMARK LTD,59037,270.00,Ah Hoc Response-Purchase of Intangible Software,NG10 4LS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Directoreate,CAPITA BUSINESS SERVICES LTD,59222,-850.01,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Directoreate,CAPITA BUSINESS SERVICES LTD,59222,1546.38,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Directoreate,CAPITA BUSINESS SERVICES LTD,59222,1790.57,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/11/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,UNIVERSITY OF YORK,59772,576.66,E&S Devolved Admin-Technical Advice / Services & Support,YO10 5NH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2014,Advertising,Enterprise & Skills Group - Vocational Education Directorate,M4C (A DIVISION OF GROUPM UK LTD),59828,-27640.62,VE Strategy-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2014,Advertising,Enterprise & Skills Group - Vocational Education Directorate,M4C (A DIVISION OF GROUPM UK LTD),59828,26.85,VE Strategy-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/11/2014,Advertising,Enterprise & Skills Group - Vocational Education Directorate,M4C (A DIVISION OF GROUPM UK LTD),59828,55254.39,VE Strategy-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/11/2014,Sponsorship Support,Business & Local Growth - Advanced Manufacturing Services,DWP (DEPARTMENT FOR WORK AND PENSIONS),59920,-20000.00,R&C: Sponsorship Support-Sponsorship Support,SW1H 9NA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/11/2014,Sponsorship Support,Business & Local Growth - Advanced Manufacturing Services,DWP (DEPARTMENT FOR WORK AND PENSIONS),59920,40000.00,R&C: Sponsorship Support-Sponsorship Support,SW1H 9NA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/11/2014,Accommodation & Building Management,Finance & Commercial Group - Estates,DLA PIPER UK LLP,60210,-2878.84,F&C Devolved Admin-Accommodation & Building Management,LS1 4BY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/11/2014,Accommodation & Building Management,Finance & Commercial Group - Estates,DLA PIPER UK LLP,60210,88.00,F&C Devolved Admin-Accommodation & Building Management,LS1 4BY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/11/2014,Accommodation & Building Management,Finance & Commercial Group - Estates,DLA PIPER UK LLP,60210,5669.68,F&C Devolved Admin-Accommodation & Building Management,LS1 4BY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/11/2014,Accommodation & Building Management,Finance & Commercial Group - Estates,DLA PIPER UK LLP,60210,5669.68,F&C Devolved Admin-Accommodation & Building Management,LS1 4BY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/11/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Research Base,EAST ILFORD BETTERMENT PARTNERSHIP,60284,-154.00,Science & Society: Science for All-Current Grants To Private Sector - NPISH,IG1 1XG,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/11/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Research Base,EAST ILFORD BETTERMENT PARTNERSHIP,60284,338.80,Science & Society: Science for All-Current Grants To Private Sector - NPISH,IG1 1XG,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,60470,15287.58,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,60472,4407.50,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/11/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,60486,7664.78,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/11/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,60488,17957.12,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
