Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/03/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,57414,50401.44,F&C Devolved Admin-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/03/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,57415,-50063.03,F&C Devolved Admin-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2015,Electricity,Finance & Commercial Group - Estates,BRITISH GAS BUSINESS SERVICES LTD,58116,1857.15,F&C Devolved Admin-Electricity,GU95 1AW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/03/2015,Hire of Agency Staff,Business & Local Growth - Digital Economy Unit,CAPITA RESOURCING LTD,59151,2278.50,ShEx Devolved Admin-Hire of Agency Staff,SL6 1DP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/03/2015,Advertising,"People, Strategy and Higher Education - Communications Directorate",CAPITA BUSINESS SERVICES LTD,59638,342.19,Corporate Presentation-Advertising,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/03/2015,Advertising,"People, Strategy and Higher Education - Communications Directorate",CAPITA BUSINESS SERVICES LTD,59638,1371.11,Corporate Presentation-Advertising,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/03/2015,Hire of Agency Staff,Enterprise & Skills Group - Better Regulation Delivery Office,BROOK STREET (UK) LTD,61659,568.82,BRDO: Business Engagement-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2015,Maintenance,Finance & Commercial Group - Estates,WATERCOOLERS SOUTHERN LTD T/A JUST GULP,62648,38.52,F&C Devolved Admin-Maintenance,TN12 9QJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/03/2015,Maintenance,Finance & Commercial Group - Estates,WATERCOOLERS SOUTHERN LTD T/A JUST GULP,62648,229.80,F&C Devolved Admin-Maintenance,TN12 9QJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2015,Stationery,Shareholder Executive - Business Portfolio,BANNER BUSINESS SERVICES LTD,62668,-39.33,ShEx Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/03/2015,Stationery,Shareholder Executive - Business Portfolio,BANNER BUSINESS SERVICES LTD,62668,108.15,ShEx Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/03/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,BRITISH TELECOMMUNICATIONS plc (BT),63241,56.27,F&C Devolved Admin-Central Telecommunications Services,DH98 1BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/03/2015,Consultancy Expenditure,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,64161,1291.85,PSHE Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/03/2015,Recruitment Advice and Services,Economics & Markets - International Trade & Export Control,ADECCO UK LTD,64289,332.08,BLG Devolved Admin-Recruitment Advice and Services,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/03/2015,Hire of Agency Staff,Business & Local Growth - Regional Growth,BROOK STREET (UK) LTD,64303,675.77,BLG Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
