Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2013,Advances to Employees,Corporate Payments,"Personal Expense, Name Witheld",2,3466.25,Default - Advances to Employees,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2013,Advances to Employees,Corporate Payments,"Personal Expense, Name Witheld",3,216.40,Default - Advances to Employees,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2013,Advances to Employees,Corporate Payments,"Personal Expense, Name Witheld",4,2025.93,Default - Advances to Employees,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2013,Advances to Employees,Corporate Payments,"Personal Expense, Name Witheld",5,600.00,Default - Advances to Employees,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2013,Advances to Employees,Corporate Payments,"Personal Expense, Name Witheld",6,856.17,Default - Advances to Employees,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2013,Advances to Employees,Corporate Payments,"Personal Expense, Name Witheld",7,932.20,Default - Advances to Employees,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/11/2013,Advances to Employees,Corporate Payments,"Personal Expense, Name Witheld",8,17.08,Default - Advances to Employees,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Taxi Services UK,Markets and Local Growth - MLG - Markets and Local Growth DG,"Personal Expense, Name Witheld",37,8.00,MLG Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/23/2013,Other Travel,Markets and Local Growth - MLG - Markets and Local Growth DG,"Personal Expense, Name Witheld",37,2.70,MLG Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",38,15.80,OME Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",38,5.00,OME Devolved Admin - Subsistence UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",38,4.50,OME Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",40,10.00,MLG Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services UK,Shareholder Executive - Shareholder Executive,"Personal Expense, Name Witheld",41,48.00,ShEx Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Shareholder Executive - Shareholder Executive,"Personal Expense, Name Witheld",41,15.00,ShEx Devolved Admin - Subsistence UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Shareholder Executive - Shareholder Executive,"Personal Expense, Name Witheld",41,10.80,ShEx Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence UK,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",42,9.80,K&I Devolved Admin - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Other Travel,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",42,26.50,K&I Devolved Admin - Other Travel,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/28/2013,Subsistence UK,"Strategy, Analysis and Better Regulation - SABR - Analysis Directorate","Personal Expense, Name Witheld",43,27.90,SABR Devolved Admin - Subsistence UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services UK,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",44,14.00,K&I Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Taxi Services UK,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,"Personal Expense, Name Witheld",45,12.00,K&I Devolved Admin - Taxi Services UK,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Rail Travel Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",46,10.40,Legal Services Admin - Rail Travel Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",46,28.12,Legal Services Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",46,10.00,Legal Services Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Rail Travel Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",47,6.80,Legal Services Admin - Rail Travel Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",47,35.02,Legal Services Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",47,13.09,Legal Services Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Rail Travel Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",48,8.90,Legal Services Admin - Rail Travel Overseas,SW1H 0ET,EMPLOYEE
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/21/2013,Subsistence Overseas,Legal Services - Legal Services,"Personal Expense, Name Witheld",48,61.50,Legal Services Admin - Subsistence Overseas,SW1H 0ET,EMPLOYEE
