Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Sep/2013 ,Telecommunications,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1088028,79.08,RUNNING COSTS DEVOLVED - Telecommunications,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Sep/2013 ,Telecommunications,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1088028,51.39,RUNNING COSTS DEVOLVED - Telecommunications,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/Sep/2013 ,Telecommunications,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1088029,19.88,RUNNING COSTS DEVOLVED - Telecommunications,NG24 2EG,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/Sep/2013 ,Telecommunications,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1088039,1594.10,RUNNING COSTS DEVOLVED - Telecommunications,NG24 2EG,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/Sep/2013 ,Telecommunications,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1088039,107.16,RUNNING COSTS DEVOLVED - Telecommunications,NG24 2EG,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/Sep/2013 ,Local IT Maintenance & Support,"Strategy, Analysis and Better Regulation - Analysis Directorate",PHOENIX SOFTWARE LTD,1088929,2276.00,RUNNING COSTS DEVOLVED - Local IT Maintenance & Support,YO42 1NS,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/Sep/2013 ,Telecommunications,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1089316,38.81,RUNNING COSTS DEVOLVED - Telecommunications,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/Sep/2013 ,Telecommunications,Finance & Commercial Group - Commercial Directorate,VODAFONE LTD,1089316,44.01,RUNNING COSTS DEVOLVED - Telecommunications,RG14 5FF,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/Sep/2013 ,Local IT Maintenance & Support,"Strategy, Analysis and Better Regulation - Analysis Directorate",PHOENIX SOFTWARE LTD,1089562,1275.00,RUNNING COSTS DEVOLVED - Local IT Maintenance & Support,YO42 1NS,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/Sep/2013 ,Electricity,Finance & Commercial Group - Corporate Shared Services,EDF ENERGY plc,1089728,336.31,RUNNING COSTS DEVOLVED - Electricity,PL3 5TU,,,,Administration
