Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,18556,610.46,F&C Devolved Admin-Consultancy Expenditure,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,PARITY RESOURCES LTD,18556,850.72,E&M Devolved Admin-Hire of Agency Staff,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,PARITY RESOURCES LTD,18556,6847.56,F&C Devolved Admin-Hire of Agency Staff,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2014,Learning and Dev - CS Skills,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,26496,293.00,E&M Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Economic Consultancy & Research,Business & Local Growth - Digital Economy Unit,INFORMATION SECURITY FORUM LTD,26847,33660.00,Web: BIS Funding-Economic Consultancy & Research,SE1 1SZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Receipt of Fees and Charges from external customers,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,HM REVENUE & CUSTOMS,32759,-2260946.74,Default-Receipt of Fees and Charges from external customers,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Receipt of Fees and Charges from external customers,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,HM REVENUE & CUSTOMS,32759,-110913.63,Default-Receipt of Fees and Charges from external customers,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Receipt of Fees and Charges from external customers,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,HM REVENUE & CUSTOMS,32759,-84313.63,Student Support: Payments to Open University-Receipt of Fees and Charges from external customers,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Receipt of Fees and Charges from external customers,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,HM REVENUE & CUSTOMS,32759,137513.63,Default-Receipt of Fees and Charges from external customers,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Receipt of Fees and Charges from external customers,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,HM REVENUE & CUSTOMS,32759,142027.26,Student Support: Payments to Open University-Receipt of Fees and Charges from external customers,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Receipt of Fees and Charges from external customers,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,HM REVENUE & CUSTOMS,32759,3391420.11,Default-Receipt of Fees and Charges from external customers,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/06/2014,Economic Consultancy & Research,Economics & Markets - Analysis Directorate,OCO GLOBAL LTD,33350,10000.00,E&M Devolved Admin-Economic Consultancy & Research,BT12 4HB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2014,Advertising,Business & Local Growth - Digital Economy Unit,M4C (A DIVISION OF GROUPM UK LTD),33571,-3140.39,BLG Devolved Admin-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2014,Advertising,Business & Local Growth - Digital Economy Unit,M4C (A DIVISION OF GROUPM UK LTD),33571,-2.62,ShEx Devolved Admin-Advertising,WC1R 4HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2014,Other Travel,Business & Local Growth - Regional Growth,NATIONAL OFFENDER MANAGMENT SERVICE (NOMS),33930,4903.50,BLG Devolved Admin-Other Travel,NP20 9BB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,FIVIUM LTD,33937,63089.00,F&C Devolved Admin-Other IT Consultancy,W1F 7LD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,DAISY COMMUNICATIONS LTD,34269,131.04,E&M Devolved Admin-Telecoms,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,34274,1.20,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,34274,1.74,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,34274,18.90,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,34274,27.60,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,34274,60.46,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,ICT Infrastructure Specific Service,Finance & Commercial Group - Modernisation Fund and Shared Services,FUJITSU SERVICES LTD,35179,-13140.00,F&C Devolved Admin-ICT Infrastructure Specific Service,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,ICT Infrastructure Specific Service,Finance & Commercial Group - Modernisation Fund and Shared Services,FUJITSU SERVICES LTD,35179,26280.00,F&C Devolved Admin-ICT Infrastructure Specific Service,WA3 9BD,VENDOR,,,
