Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,,
Cabinet Office,Cabinet Office,03/10/11,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019611,"164,596.80",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,03/10/11,Agency and Temporary Staff,GOVERNMENT CIO,ADVALUS LTD,3000019597,"142,292.00","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SN13 0RP,SME,Programme,,
Cabinet Office,Cabinet Office,03/10/11,Travel and Subsistence,POLITICAL AND CONSTITUTIONAL REFORM,GREATER LONDON LIEUTENANCY,3000019617,"42,602.00",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,SW1E 6QP,Large,Programme,,
Cabinet Office,Cabinet Office,03/10/11,Other Staff Related Costs,PARLIAMENTARY COUNSEL OFFICE,GLS SECRETARIAT,3000019614,"37,733.90",IT subscription,WC2B 4TS,Large,Administration,,
Cabinet Office,Cabinet Office,03/10/11,Travel and Subsistence,POLITICAL AND CONSTITUTIONAL REFORM,WEST MIDLANDS LIEUTENANCY,3000019642,"36,307.50",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,B92 0JL,Large,Programme,,
Cabinet Office,Cabinet Office,03/10/11,Travel and Subsistence,POLITICAL AND CONSTITUTIONAL REFORM,GREATER MANCHESTER LIEUTENANCY,3000019618,"33,133.50",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,M15 4AX,Large,Programme,,
Cabinet Office,Cabinet Office,03/10/11,Travel and Subsistence,POLITICAL AND CONSTITUTIONAL REFORM,LORD LIEUTENANT OF WEST YORKSHIRE,3000019626,"28,582.50",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,LS23 6LP,Large,Programme,,
Cabinet Office,Cabinet Office,03/10/11,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019611,"26,335.49",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,04/10/11,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000019652,"125,000.00",Payment of quarterly rent charge,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,04/10/11,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000019652,"80,896.80",Quarterly service charge on accommodation,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,04/10/11,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000019670,"68,230.00",Central Chancery charges for administration of Honours,SW1A 1AA,Large,Programme,,
Cabinet Office,Cabinet Office,04/10/11,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,COI CENTRAL OFFICE OF INFORMATION,3000019652,"49,527.00",Quarterly rate charge on accommodation,SE1 7DU,Large,Programme,,
Cabinet Office,Cabinet Office,04/10/11,Travel and Subsistence,POLITICAL AND CONSTITUTIONAL REFORM,MERSEYSIDE LIEUTENANCY,3000019663,"30,246.00",Quarterly advance expense payments to Her Majesty's Lord Lieutenants ,L69 3EN,Large,Programme,,
Cabinet Office,Cabinet Office,06/10/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019694,"129,234.76",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,06/10/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019694,"81,629.16",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,06/10/11,Agency and Temporary Staff,GOVERNMENT CIO,CAPITA RESOURCING LTD,3000019692,"30,875.70","Support for the Public Services Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,,
Cabinet Office,Cabinet Office,07/10/11,Accommodation and Utilities,PRIME MINISTERS OFFICE,BT,3000019712,"113,454.41",Telecoms line rentals,DH98 1BT,Large,Administration,,
Cabinet Office,Cabinet Office,07/10/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000019725,"91,667.67",2011-12 strategic partners transition grant,SW8 1UD,Large,Programme,,
Cabinet Office,Cabinet Office,07/10/11,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000019718,"52,450.38",Building Restoration of 10 Downing Street,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,07/10/11,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000019718,"41,067.74",Building Restoration of 10 Downing Street,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,07/10/11,IT Costs,PRIME MINISTERS OFFICE,MICROSOFT LTD PSS,3000019726,"32,440.00",Software Licensing Agreement,RG6 1WG,Large,Administration,,
Cabinet Office,Government Procurement Service,07/10/11,GSI COS,Network Services,CESG,PINDOH 33414,"46,833.00",Security costs for government secure intranet,GL51 0EX,Gov Dept,Programme,,
Cabinet Office,Government Procurement Service,07/10/11,Call Charges Std,Network Services,Global Crossing,PINMTS 20761,"26,635.53",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,07/10/11,Peripherals,Network Services,Global Crossing,PINMTS 20807,"43,767.24",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,07/10/11,System Manm't,Network Services,Global Crossing,PINMTS 20823,"32,268.00",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,07/10/11,Moves & Changes,Network Services,Global Crossing,PINMTS 20834,"56,605.01",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,07/10/11,Data Services,Network Services,Global Crossing,PINMTS 20845,"245,230.32",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Government Procurement Service,07/10/11,Data Services,Network Services,Global Crossing,PINMTS 20850,"51,027.30",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Cabinet Office,10/10/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000019749,"935,484.24",Facilities Management Services,BN1 1HQ,Large,Administration,,
