Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,01/02/12,IT Costs,IT AND TELECOMS BRANCH,CABLE & WIRELESS PLC,3000022351,"100,685.82",Rental charges,RG12 1RW,Large,Administration,
Cabinet Office,Cabinet Office,01/02/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000022352,"37,054.81","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,01/02/12,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000022355,"177,000.00",Management Fee for delivery of Community First,EC1V 2PT,Large,Programme,
Cabinet Office,Cabinet Office,01/02/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3000022356,"26,358.35",Provision of internal audit services,HP2 4XN,Government Department,Administration,
Cabinet Office,Cabinet Office,01/02/12,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000022358,"115,637.07",Facilities Management Services,BN1 1HQ,Large,Administration,
Cabinet Office,Cabinet Office,01/02/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,FIELD FISHER WATERHOUSE,3000022363,"49,250.50",Provision of commercial and contractual legal advice to the Pension Scheme Management Board,EC3N 2AA,Large,Administration,
Cabinet Office,Cabinet Office,01/02/12,Accommodation and Utilities,PRIME MINISTERS OFFICE,SECURITY SERVICES GROUP,3000022386,"141,269.40",Upgrade of physical and electronic security equipment,SN5 7XQ,Government Department,Administration,
Cabinet Office,Cabinet Office,01/02/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000022390,"1,651,000.00",Social Action Fund grants,WC1H 8AG,SME,Grants,
Cabinet Office,Cabinet Office,01/02/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000022392,"834,000.00",Strategic partners transition grant ,SW1P 2AH,SME,Grants,
Cabinet Office,Cabinet Office,02/02/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000022419,"82,500.00",Fast Stream Recruitment,HP2 7DN,SME,Administration,
Cabinet Office,Government Procurement Service,02/02/12,Government eMarketplace,PLANNING & FINANCE,PROCSERVE SHARED SERVICES LTD,PINVP2P 530,"25,800.00",Government eMarketplace test system,SW1W 9SR,SME,Programme,
Cabinet Office,Cabinet Office,02/02/12,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000022420,"68,230.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Grants,
Cabinet Office,Government Procurement Service,03/02/12,WDHS Cost of Heat Supplied,WDHS,COFELY,PINDOH 33922,"98,991.64",Whitehall heating systems management,HP12 3TA,Large,Programme,
Cabinet Office,Government Procurement Service,03/02/12,WDHS Maint & Rep,WDHS,COFELY,PINDOH 33967,"62,514.50",Whitehall heating systems management,HP12 3TA,Large,Programme,
Cabinet Office,Government Procurement Service,03/02/12,WSDS Maint & Rep,WSDS,COFELY,PINDOH 33968,"39,005.82",Whitehall heating systems management,HP12 3TA,Large,Programme,
Cabinet Office,Government Procurement Service,03/02/12,WDHS Cost of Heat Supplied,WDHS,COFELY,PINDOH 33971,"149,460.34",Whitehall heating systems management,HP12 3TA,Large,Programme,
Cabinet Office,Government Procurement Service,03/02/12,WDHS Cost of Electricity Generated,WDHS,COFELY,PINDOH 33971,"60,380.19",Whitehall heating systems management,HP12 3TA,Large,Programme,
Cabinet Office,Cabinet Office,03/02/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,HM REVENUE & CUSTOMS,3000022441,"2,337,000.00",Redistribution of departmental contributions to the cost of Civil Service HR Expert Services,WC2B 4RD,Government Department,Administration,
Cabinet Office,Cabinet Office,03/02/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000022447,"165,333.34",Strategic partners transition grant ,N1 6DR,Large,Grants,
Cabinet Office,Government Procurement Service,06/02/12,Licence to Source,Human Resources,CIPS Services Ltd,PINVP2P 532,"28,200.00",Licence to source training pilot and assessment,PE9 3NZ,SME,Programme,
Cabinet Office,Cabinet Office,06/02/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000022484,"27,720.00",Interim IT Specialists,M2 1FB,SME,Programme,
Cabinet Office,Cabinet Office,07/02/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ADVALUS LTD,3000022491,"226,080.00","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SN13 0RP,SME,Programme,
Cabinet Office,Cabinet Office,07/02/12,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000022493,"46,848.93",High Integrity Telecoms System project costs,NW9 6LB,Large,Programme,
Cabinet Office,Cabinet Office,07/02/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000022494,"28,493.86",Support and maintenance of the Directgov Mobile site,EC2A 4PJ,SME,Programme,
Cabinet Office,Cabinet Office,07/02/12,Supplies and Services,GOVERNMENT DIGITAL SERVICE,ECOVERT FM LTD,3000022498,"49,355.45",Facilities Management Services,BN1 1HQ,Large,Programme,
Cabinet Office,Cabinet Office,07/02/12,Accommodation and Utilities,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000022499,"342,730.67",Rent for accommodation,YO1 7PX,Government Department,Programme,
Cabinet Office,Cabinet Office,07/02/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000022510,"26,435.88",Interim IT Specialists,M2 1FB,SME,Programme,
Cabinet Office,Cabinet Office,07/02/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000022510,"25,332.00",Interim IT Specialists,M2 1FB,SME,Programme,
Cabinet Office,Cabinet Office,07/02/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,RETHINK RECRUITMENT SOLUTIONS LTD,3000022510," 25,855.92 ",Interim IT Specialists,M2 1FB,SME,Programme,
Cabinet Office,Cabinet Office,07/02/12,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000022516,"39,312.00",Provision of telecommunications services.,RG2 6DA,Large,Administration,
Cabinet Office,Cabinet Office,08/02/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000022532,"45,637.50",High Integrity Telecoms System project costs,NW9 6LB,Large,Programme,
Cabinet Office,Cabinet Office,08/02/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000022535,"39,747.36","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
