Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Cabinet Office,01/03/12,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000023341,"39,859.48",Facilities Management Services,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,01/03/12,Other Staff Related Costs,FINANCIAL MANAGEMENT,FCO SERVICES,3000023342,"27,330.00",FCO Services - Vetting Fees,MK19 7BH,Large,Administration
Cabinet Office,Cabinet Office,01/03/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000023341,"36,000.00",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Administration
Cabinet Office,Cabinet Office,01/03/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000023361,"59,388.00",TSOL - 2011/12 - ERG Legal Cost,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,01/03/12,Consultancy,CIVIL SERVICE PENSIONS,HERBERT SMITH LLP,3000023345,"347,109.59",Legal costs to support MyCSP mutualisation project,EC2A 2HS,Large,Administration
Cabinet Office,Cabinet Office,01/03/12,Consultancy,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000023329,"95,109.00",Payment for the delivery of the Community Assets Fund,EC4A 1DE,Non-SME,Programme
Cabinet Office,Cabinet Office,02/03/12,Agency and Temporary Staff,FINANCIAL MANAGEMENT,DWP,3000023394,"27,175.20",Accountancy services,FY5 3TA,Government Department,Administration
Cabinet Office,Cabinet Office,02/03/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000023422,"29,046.59",TSOL - 2011/12 Fees and Disbursements.,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,02/03/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000023385,"1,808,333.33",Monitoring services provided by the BBC,M14 0EP,SME,Programme
Cabinet Office,Cabinet Office,02/03/12,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000023421,"68,230.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Grants
Cabinet Office,Cabinet Office,02/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000023406,"166,666.67",Strategic partners transition grant ,N1 9RL,SME,Grants
Cabinet Office,Cabinet Office,02/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SCHOOL FOR SOCIAL ENTREPRENEURS,3000023410,"105,000.00",Strategic partners transition grant ,E2 9PF,Large,Grants
Cabinet Office,Cabinet Office,02/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE LONDON ORGANISING COMMITTEE OF THE OLYMPIC GAMES & PARALYMPIC GAMES LTD,3000023418,"119,240.00",Funding designed to utilise leverage from the Olympic games to inspire a social action legacy.,E14 5LN,SME,Grants
Cabinet Office,Cabinet Office,05/03/12,Supplies and Services,POLICY COMMUNICATIONS,UK TRADE & INVESTMENT,3000023451,"30,000.00",Great Campaign,CF3 0LW,Government Department,Administration
Cabinet Office,Cabinet Office,05/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000023438,"125,000.00",Strategic partners transition grant ,N1 9HS,Large,Grants
Cabinet Office,Cabinet Office,05/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ENVISION,3000023443,"54,527.00",National Citizen Service project grant,EC1V 3RS ,Large,Grants
Cabinet Office,Cabinet Office,05/03/12,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,1000499,"16,622,166.00",Funding to enable continuation of not for profit advice services ,EC4A 1DE,Non-SME,Grants
Cabinet Office,Cabinet Office,06/03/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITORS DEPT 3861,3000023503,"57,695.97",TSOL: 2011/2012 Constitutional Law Team,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,06/03/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000023494,"56,746.14",Fast-stream recruitment,HP2 7DN,SME,Administration
Cabinet Office,Cabinet Office,06/03/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,DEPARTMENT OF ENERGY & CLIMATE CHANGE,3000023471,"28,353.20",Fast-stream recruitment,CF3 0LW,Government Department,Administration
Cabinet Office,Cabinet Office,06/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,MEDIA TRUST,3000023487,"115,000.00", Grant to support the Community Channel,SW1P 4RR,Non-SME,Grants
Cabinet Office,Cabinet Office,06/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,FUTURE FOUNDATIONS,3000023475,"93,910.00",National Citizen Service project grant,SW11 1TT,Large,Grants
Cabinet Office,Government Procurement Service,06/03/12,WAN Charges,IT,Specialist Computer Centres plc,PINVP2P 618,"25,256.00",Video conferencing managed service,B11 2LE,Large,Administration
Cabinet Office,Government Procurement Service,06/03/12,Information Services,Enablement Projects,Bravosolution UK Ltd,PINVP2P 662,"44,750.00",Tactical spend analysis project,EC2M 7AD,Large,Administration
Cabinet Office,Cabinet Office,07/03/12,Accommodation and Utilities,PRIME MINISTERS OFFICE,BT,3000023524,"69,680.82",Telecoms line rentals,DH98 1BT,Government Department,Administration
Cabinet Office,Cabinet Office,07/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,STREETSMART,3000023547," 110,000.00 ",Support of a Christmas fundraising campaign,W1B 5RR,SME,Grants
Cabinet Office,Cabinet Office,07/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,V,3000023556,"256,585.00",National Citizen Service project grant,SW1P 2AH,SME,Grants
Cabinet Office,Government Procurement Service,07/03/12,WDHS Cost of Heat Supplied,WDHS,Cofely,PINDOH 34046,"156,684.72",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Government Procurement Service,07/03/12,WDHS Cost of Electricity Generated,WDHS,Cofely,PINDOH 34046,"71,382.19",Whitehall heating systems management,HP12 3TA,Large,Programme
