Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,02/04/12,Supplies and Services,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000024641,"41,181.19",ICT Software and hardware,B11 2LE,Large,Programme,
Cabinet Office,Cabinet Office,02/04/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000024603,"350,490.00",70 Whitehall Connection of the two boreholes,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,02/04/12,Accomodation and Utilities,GOVERNMENT DIGITAL SERVICE,LONDON BOROUGH OF CAMDEN,3000024619,"303,530.00",Business rates for accomodation,WC1H 9JE,Non-SME,Programme,
Cabinet Office,Cabinet Office,02/04/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,3000024618,"35,983.20",Interim IT Specialist Staff ,ST1 5UB,sme,Programme,
Cabinet Office,Cabinet Office,02/04/12,IT Costs,IT AND TELECOMS BRANCH,DWP,3000024601,"33,652.57",DirectGov IT charges,FY5 3TA,Government Department,Admin,
Cabinet Office,Cabinet Office,02/04/12,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,PARITY SOLUTIONS LTD,3000024634,"51,784.62",Fast-stream Recruitment,HP2 7DN,sme,Admin,
Cabinet Office,Cabinet Office,02/04/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,NATIONAL CENTRE FOR SOCIAL RESEARCH,3000024625,"89,573.73",Evaluation of the NCS grants programme,EC1V OAX,non-sme,Programme,
Cabinet Office,Cabinet Office,02/04/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,KPMG LLP,3000024616,"74,688.00",Due diligence analysis and advice on capitalising Big Society Capital,B4 6GH,large,Admin,
Cabinet Office,Cabinet Office,03/04/12,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000024697,"133,725.82",Building infrastructure renewal & access improvements.,BN1 1HQ,Large,Admin,
Cabinet Office,Cabinet Office,03/04/12,Supplies and Services,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,1000546,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme,
Cabinet Office,Cabinet Office,04/04/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,SECURITY SERVICES GROUP,3000024784,"35,258.57",Maintenance of physical and electronic security equipment.,SN5 7XQ,Government Department,Admin,
Cabinet Office,Cabinet Office,04/04/12,IT Costs,PRIME MINISTERS OFFICE,BYTES SOFTWARE SERVICES,3000024751,"86,008.98",General software licensing.,KT17 ITS,sme,Admin,
Cabinet Office,Cabinet Office,04/04/12,Accomodation and Utilities,INTELLIGENCE AND SECURITY COMMITTEE,ECOVERT FM LTD,3000024761,"50,211.11",Accomodation works to 35 Great Smith Street,BN1 1HQ,Large,Admin,
