Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,01/08/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000028283,"97,572.18",Treasury Solicitor Capitation costs and Fees and Disbursements,WC2B 4TS,Government Department,Administration,
Cabinet Office,Cabinet Office,01/08/12,SUNNINGDALE PARK PFI SERVICE CHARGES,CENTRAL BUDGETS,DE VERE VENUES LTD,3000028276,"306,560.69",Service Charges,KT24 6DU,Large,Administration,
Cabinet Office,Cabinet Office,01/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BIG SOCIETY NETWORK,3000028275,"116,666.66",Strategic Grant to support Big Society Network's work on the Government's objectives for the Big Society.,WC2R 1LA,SME,Grants,
Cabinet Office,Cabinet Office,01/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,PETROC,3000028280,"149,115.00",National Citizen Service project grant,EX31 2BQ,grant,Grants,
Cabinet Office,Cabinet Office,02/08/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000028332,"58,649.00",Constitutional Law Team,WC2B 4TS,Government Department,Administration,
Cabinet Office,Cabinet Office,02/08/12,IT Costs,IT AND TELECOMS BRANCH,CABLE & WIRELESS PLC,3000028304,"43,958.24",Telecomms services,RG12 1RW,Large,Administration,
Cabinet Office,Cabinet Office,02/08/12,IT Costs,IMPLEMENTATION AND REFORM,DEFRA,3000028307,"37,327.50",Payment for maintenance of the 'Red Tape Challenge' website. The site is designed to promote open discussion of ways in which the aims of existing regulation can be fulfilled in the least burdensome way possible.,SW1P 3JR,Government Department,Administration,
Cabinet Office,Cabinet Office,02/08/12,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000028330,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme,
Cabinet Office,Government Procurement Service,02/08/12,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1001,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme,
Cabinet Office,Government Procurement Service,02/08/12,WSDS Maintenance & Repairs,Whitehall Standby Distribution Systems,Cofely,PINVP2P 1004,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Programme,
Cabinet Office,Cabinet Office,03/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000028374,"2,043,828.00",National Citizen Service project grant,SE1 7HS,SME,Grants,
