Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Cabinet Office,02/07/12,PENSIONER PAYROLL CONTRACTOR,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000027350,"2,773,377.27",Monthly Pension Administration charge,LS2 7UA,Large,Administration
Cabinet Office,Cabinet Office,02/07/12,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000027336,"34,168.74","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Program
Cabinet Office,Government Procurement Service,02/07/12,Portal Costs,Audit,PDMS Ltd,PINVP2P 927,"40,000.00",Portal development,IM2 2QZ,SME,Administration
Cabinet Office,Cabinet Office,03/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,THE JOIN IN TRUST,3000027381,"879,247.00","Running costs for the Join In Trust Limited, an Olympics inspired project to encourage participation in sport by young people.",EC4A 3AE,SME,Grants
Cabinet Office,Cabinet Office,03/07/12,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE COALITION,3000027378,"124,799.00",Strategic partners transition grant ,SE1 7SJ,SME,Grants
Cabinet Office,Cabinet Office,03/07/12,PUBLICITY ADVERTISING MEDIA,INTELLIGENCE SECURITY AND RESILIENCE,ENDURANCE LTD,3000027365,"163,000.00",Get Safe On Line campaign,SW1V 1BZ,SME,Program
Cabinet Office,Cabinet Office,03/07/12,LEGAL ADVICE FROM TSOL,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000027384,"85,125.00",Capitation costs,WC2B 4TS,Government Department,Administration
Cabinet Office,Cabinet Office,03/07/12,INSIGNIA COSTS,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000027383,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Program
Cabinet Office,Cabinet Office,03/07/12,NON PRIME UTILITIES,ESTATE MANAGEMENT,ECOVERT FM LTD,3000027364,"57,424.94",Facilities Management Services,BN1  1HG,BN1  1HG,Administration
Cabinet Office,Cabinet Office,03/07/12,BRIDGES SOCIAL ENTREPRENEURS FUND ADDITIONS,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000027358,"55,840.73",Investment in the risk capital fund for social enterprise,W2 3EN,Large,Program
