Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,03/09/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000029058,"247,427.49",Payment for development of Phase 1 residential module of the Government’s Major Projects Leadership Academy’,OX1 5NY,sme,Administration
Cabinet Office,CABINET OFFICE,03/09/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000029053,"149,171.92",Facilities Management Services,BN1  1HG,Large,Administration
Cabinet Office,CABINET OFFICE,03/09/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000029054,"25,886.98",Estate consolidation 2012/13,BN1  1HG,large,Administration
Cabinet Office,CABINET OFFICE,03/09/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000029057,"278,406.14",High Integrity Telecomms System project costs,L2 3YL,Government Department,Programme
Cabinet Office,CABINET OFFICE,03/09/12,Resource Grants to Central Government Bodies,INTELLIGENCE SECURITY AND RESILIENCE,CITYFORUM LTD,1000629,"30,000.00",Staff costs for a number of Interim Staff,BA11 6SQ,sme,Grants
Cabinet Office,CABINET OFFICE,03/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACEVO,3000029048,"103,750.00",Strategic partners transition grant ,WC1A 1NU,sme,Grants
Cabinet Office,CABINET OFFICE,03/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,FUTURE FOUNDATIONS,3000029055,"100,313.00",National Citizen Service project grant,SW11 1TT,sme,Grants
Cabinet Office,CABINET OFFICE,03/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACADEMY OF YOUTH LTD T/A UNIVERSITY OF FIRST AGE,3000029047,"54,454.00",National Citizen Service project grant,B3 1EP,sme,Grants
Cabinet Office,CABINET OFFICE,03/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BOLTON LADS & GIRLS CLUB,3000029049,"46,198.00",National Citizen Service project grant,BL1 4AG,sme,Grants
Cabinet Office,CABINET OFFICE,04/09/12,IT Costs,GOVERNMENT DIGITAL SERVICE,APTO SOLUTIONS LTD,3000029074,"41,040.00",Provision of Agile Project Services - Rebuild  software and hosting,BS8 2LG,sme,Programme
Cabinet Office,CABINET OFFICE,04/09/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029075,"34,117.02",Interim IT Specialists,SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,04/09/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029075,"29,887.84",Interim IT Specialists,SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,04/09/12,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000029086,"71,911.00",Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme
Cabinet Office,CABINET OFFICE,04/09/12,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000029082,"2,892,372.69",MyCSP Pension administration costs,LS2 7UA,large,Administration
Cabinet Office,CABINET OFFICE,05/09/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000029102,"41,996.57","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
Cabinet Office,Government Procurement Service,05/09/12,WSDS Maintenance & Repairs,Whitehall Standby Distribution Systems,Cofely,PINVP2P 1095,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Government Procurement Service,05/09/12,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1098,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,CABINET OFFICE,06/09/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000029130,"37,343.86",Support & Maintenance of the Directgov mobile site,EC2A 4PJ,SME,Programme
Cabinet Office,CABINET OFFICE,06/09/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000029126,"48,759.24",Telecomms Line Rentals,DH98 1BT,large,Administration
Cabinet Office,Government Procurement Service,06/09/12,Recruitment Costs,Human Resources,TMP (UK) Ltd,PINVP2P 1026,"30,923.00",Recruitment costs,W1T 7RQ,Large,Administration
Cabinet Office,CABINET OFFICE,07/09/12,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,BRITISH  AIRWAYS PLC,1000630,"26,057.35",Official Travel,UB7 0GB,large,Administration
Cabinet Office,CABINET OFFICE,10/09/12,Accomodation and Utilities,CENTRAL BUDGETS,SPECIALIST COMPUTER CENTRE PLC,3000029201,"27,743.56",Specialist Computer Centres Plc. - WAN connection,B11 2LE,Large,Administration
Cabinet Office,CABINET OFFICE,10/09/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029194,"49,606.63",Interim IT Specialists,SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,10/09/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029194,"37,046.76",Interim IT Specialists,SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,10/09/12,IT Costs,GOVERNMENT DIGITAL SERVICE,APTO SOLUTIONS LTD,3000029193,"31,860.00",Provision of Agile Project Services - Rebuild software and hosting,BS8 2LG,sme,Programme
Cabinet Office,CABINET OFFICE,10/09/12,Consultancy,INDEPENDENT OFFICES,DLA PIPER UK,3000029196,"33,600.00",Civil Service recruitment compliance Monitoring,EC2V 7EE,Large,Administration
Cabinet Office,CABINET OFFICE,10/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SPORTTRAIN WALES LTD,3000029202,"232,629.00",National Citizen Service project grant,SA1 6DY,sme,Grants
Cabinet Office,CABINET OFFICE,10/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NATIONAL YOUTH AGENCY,3000029197,"97,892.00",National Citizen Service project grant,LE5 3GL,sme,Grants
Cabinet Office,CABINET OFFICE,10/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COOPERATION IRELAND,3000029195,"39,662.00",National Citizen Service project grant,BT12 5GH,sme,Grants
Cabinet Office,CABINET OFFICE,11/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUNG LIVES,3000029231,"85,272.00",National Citizen Service project grant,PE27 5EH,sme,Grants
Cabinet Office,CABINET OFFICE,12/09/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000029252,"105,500.00",Facilities Management Services,BN1  1HG,large,Administration
Cabinet Office,CABINET OFFICE,12/09/12,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000029251,"57,424.94",Facilities Management Services,BN1  1HG,Large,Administration
Cabinet Office,CABINET OFFICE,12/09/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000029245,"37,411.60","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
