Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00335323RI,"£382,699.82",Wellington House -Ground and Seventh Floor Refurbishments,SO53 3YE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10103893,£0.00,Information Systems,SW1W 9SR,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10104470,"-£18,651.53",Information Systems,SW1W 9SR,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10104470,"£18,651.53",Information Systems,SW1W 9SR,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Conferences & seminars,DG: SCLGCP,CALDER CONFERENCES LTD,126025,"£11,187.90",Additional cost International Initiative for Mental Health Leadership Event 11-06-14,LS16 6RF,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Conferences & seminars,DG: SCLGCP,CALDER CONFERENCES LTD,126025,"-£11,187.90",International Initiative for Mental Health Leadership Event - taking place in 2014,LS16 6RF,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Research & development,DG: RDD,RAND EUROPE CIC,14303/10073-52,"£51,940.01",PROJECTS,CB4 1YG,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4542001-06-AUG-14,"£31,127.14",,TS17 6YG,,Other,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Consultancy/Professional Advice,DG: ERD,VERITA CONSULTANTS LLP,9442/2163,"£61,391.59",Consultancy support,W1D 4SN,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Consultancy/Professional Advice,DG: ERD,VERITA CONSULTANTS LLP,9442/2163,£0.01,,W1D 4SN,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Professional fees,DG: GOAD,TREASURY SOLICITORS DEPARTMENT (TSOL),A2009,"£2,220,000.00",TSol Quarterly Fixed Fee (Professional Work) Q1 and Q2,WC2B 4TS,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41852,Printing,DG: ERD,WILLIAMS LEA LTD,DH14030006,33752.45,Printing for Autumn response to the Francis Inquiry,W1F 8PR,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Printing,DG: ERD,WILLIAMS LEA LTD,DH14030006,"£6,510.49",,W1F 8PR,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-17247,"£21,000,000.00",,,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-17248,"£14,000,000.00",,WF3 1WE,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-17249,"£290,000,000.00",,LS1 4PL,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-17250,"£750,000.00",,SE1 6LH,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17251,"£6,000,000.00",,,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17252,"£6,600,000.00",,SE1 7NT,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17253,"£10,900,000.00",,NE1 6SN,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17254,"£3,230,378,000.00",,LS2 7UE,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17255,"£4,699,304,000.00",,LS2 7UE,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-17256,"£8,500,000.00",,SW1E 6QT,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41852,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-17257,88000000,,SP4 0JG,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Contractor/Staff Substitution,DG: SCLGCP,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10006101,"£20,809.01",Work on Positive and Safe programme and Positive Behaviour Support aspects of Winterbourne View programme( Work order no. LOT1JP00000674 ),,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Contractor/Staff Substitution,DG: SCLGCP,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10006101,"£15,895.54",2 days per week work on Positive & Safe programme and Positive Behaviour Support aspects of Winterbourne View programme 01-04-14 to 31-03-2015,,,Programme,Private,,,,,,,,,,,,,,,,
