Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,01/09/2014,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES SBS,100024048,-25392,Invoice Images - Additional Bandwidth Recharge,WF3 1WE,,Admin,PUBLIC,
Department of Health,Department of Health,01/09/2014,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES SBS,100024048,-15685.4,Invoice Images - Annual Service Charge,WF3 1WE,,Admin,PUBLIC,
Department of Health,Department of Health,01/09/2014,Service charge,DG: SFNHS,NHS SHARED BUSINESS SERVICES SBS,100024048,34231.17,SBS - Annual Service Charges,WF3 1WE,,Admin,PUBLIC,
Department of Health,Department of Health,01/09/2014,Research & development,DG: RDD,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,ERS-525988-93461,31614,Research for Patient Benefit,S10 2TH,,Programme,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-17355,10000000,,WF3 1WE,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-17356,300000000,,LS1 4PL,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-17357,1000000,,SE1 6LH,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HUMAN TISSUE AUTHORITY (HTA033),HAFS-17359,185000,,,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17360,6000000,,,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17361,6400000,,SE1 7NT,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17362,6100000,,NE1 6SN,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17363,3227447000,,LS2 7UE,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17364,4746094000,,LS2 7UE,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS LITIGATION AUTHORITY,HAFS-17365,38000000,,LS1 4AD,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-17366,4000000,,SW1E 6QT,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-17367,80000000,,SP4 0JG,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions FT Financing Facility Loans,DG: Holding CT Core,THE ROYAL MARSDEN NHS FOUNDATION TRUST,HAFS-17368,5000000,,SW3 6JJ,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,BEDFORD HOSPITAL NHS TRUST,HAFS-17369,7000000,,MK42 9DJ,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST RY2,HAFS-17370,458000,,WN3 6PR,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,HAFS-17371,5000000,,HP7 0JD,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,EALING HOSPITAL NHS TRUST,HAFS-17372,5000000,,UB1 3HWP,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-17373,200000,,ST16 3SA,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-17374,6455000,,ST16 3SA,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-17375,3000000,,NN1 5BD,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17376,377000,,NG17 4JL,,Other,PUBLIC,
Department of Health,Department of Health,01/09/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17377,2476000,,NG17 4JL,,Other,PUBLIC,
Department of Health,Department of Health,02/09/2014,Other programme expenditure,DG: GOAD,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,823029,867344,,MK41 ORG,,Programme,PUBLIC,
Department of Health,Department of Health,02/09/2014,Other programme expenditure,DG: GOAD,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,827522,62410,,MK41 ORG,,Programme,PUBLIC,
Department of Health,Department of Health,03/09/2014,Outsourcing Contract,DG: ERD,NHS EMPLOYERS LTD,13852,2593462.8, NHS Employers work for 2014-15,LS10 1JR,,Programme,SME,
Department of Health,Department of Health,03/09/2014,Facilities management: contract,DG: GOAD,NHS PROPERTY SERVICES LTD,48335731,41528,Accommodation services for Records Transfer Project - Broad Lea House,WF3 1WE,,Admin,PUBLIC,
Department of Health,Department of Health,03/09/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6285606,203917,2014-15 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,Programme,PUBLIC,
Department of Health,Department of Health,03/09/2014,Service charge,DG: IGT,THE IPSWICH HOSPITAL NHS TRUST,IHT4000002358,107358,Revenue; LSP NME  Ipswich Trust- F/Y 2013/14 STAF & LC Costs for Lorenzo Deployment,IP4 5PD,,Programme,PUBLIC,
Department of Health,Department of Health,03/09/2014,Addition Clearing - SW LIC,DG: IGT,GEORGE ELIOT HOSPITAL NHS TRUST,T0116271,31965.05,Capital: George Eliot NME  - F/Y 2014/15 STAF and LC costs for Lorenzo Deployment,CV10 7DJ,,Programme,PUBLIC,
Department of Health,Department of Health,03/09/2014,Service charge,DG: IGT,GEORGE ELIOT HOSPITAL NHS TRUST,T0116271,163372.53,Revenue: George Eliot NME - F/Y 2014/15 STAF and LC costs for Lorenzo Deployment,CV10 7DJ,,Programme,PUBLIC,
Department of Health,Department of Health,04/09/2014,Consultancy/Professional Advice,DG: SFNHS,PUBLIC HEALTH ENGLAND PHE033,6083740,100000,Costs relating to staff and expenses from PHE to deliver the agreed programme of work on SHAPE throughout 2014/15 in accordance with signed MOU,SW1W 9SZ,,Programme,PUBLIC,
Department of Health,Department of Health,04/09/2014,Outsourcing Contract,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),951250,169683.93,mproving stem cell services in the UK 2012-15,LS15 7TW,,Programme,PUBLIC,
Department of Health,Department of Health,08/09/2014,BSA Hosted Workers,DG: SCLGCP,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,0000067168,54732.28,Payment of redundancy costs for staff previously hosted by BSA,DN4 8QN,,Admin,PUBLIC,
Department of Health,Department of Health,08/09/2014,BSA Hosted Workers,DG: SCLGCP,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,0000067168,64.36,Revised redundancy cost invoice.,DN4 8QN,,Admin,PUBLIC,
Department of Health,Department of Health,08/09/2014,BSA Hosted Workers,DG: SCLGCP,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,0000067168,0.6,,DN4 8QN,,Admin,PUBLIC,
Department of Health,Department of Health,08/09/2014,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-17378,5900000,,BS1 2NP,,Other,PUBLIC,
Department of Health,Department of Health,08/09/2014,Additions FT Financing Facility Loans,DG: Holding CT Core,LANCASHIRE CARE NHS FOUNDATION TRUST,HAFS-17379,3900000,,PR5 6XT,,Other,PUBLIC,
