Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,PO Line Discription,Contract Number,Project code
,,01/01/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00306560RI,32895.09,"Building Maintenance Costs from 01/04/13 - 31/03/2014 @£32,895.09 mthly",,
,,01/01/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00306560RI,1863.06,"FM Costs from 01/04/13 - 31/03/2014 @£3,609.68 mthly",,
,,01/01/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00307481RI,37511.67,"Building Maintenance Costs from 01/04/13 - 31/03/2014 @37,511.67 mthly",,
,,01/01/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00307481RI,16825.99,"Cleaning Costs from 01/04/13 - 31/03/2014 @£16,825.99 mthly",,
,,01/01/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00307481RI,9895.03,"FM Fixed Costs from 01/04/13 - 31/03/2014 @£9,895.04 mthly",,
,,01/01/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00307481RI,28115.09,"Security Costs from 01/04/13 - 31/03/2014 @£28,115.09 mthly",,
,,01/01/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,SME,TS17 6YG,4025001-07-JAN-14,27142.46,,,
,,01/01/2014,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,GU21 6QX,90146257,46402.04,WO/2013/02 - National Conference,,
,,01/01/2014,Outsourcing Contract,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,GU21 6QX,90151072,42464.86,CS/2013/01 - Marketing & Comms,,
,,01/01/2014,Professional fees,DG: SFNHS,MILLS AND REEVE LLP,LARGE,CB2 1PH,CAMBIL/446029/V/1/1,33536.71,Review and revise the NHS terms and conditions and to periodically review and revise the tems and condition for the duration of the contract/contract value as well as update to reflect changes in procurement policy,,
,,01/01/2014,Training (Learning and Development),DG: PHD,THE LEADERSHIP CENTRE,VCS,SW1P 3HZ,40900222CANCELLED,-830000,LGA Leadership Centre public health programmes for local authorities.,,
,,01/01/2014,Training (Learning and Development),DG: PHD,THE LEADERSHIP CENTRE,VCS,SW1P 3HZ,40900222CANCELLED,830000,LGA Leadership Centre public health leadership programmes for local authorities.,,
,,02/01/2014,Addition Clearing - SW LIC,DG: GOAD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,1210006277,33823.21,Capital: F/Y 2013/14 STAF & LC costs for Lorenzo Deployment,,
,,02/01/2014,Service charge,DG: GOAD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,1210006277,35126.97,Revenue: F/Y 2013/14 STAF & LC costs for Lorenzo Deployment,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-16281,15000000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,PUBLIC,LS1 4PL,HAFS-16282,550000000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-16283,860000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,PUBLIC,,HAFS-16284,5800000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-16285,4000000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-16286,9200000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16287,2912492000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,PUBLIC,SW1E 6QT,HAFS-16288,1500000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,PUBLIC,SP4 0JG,HAFS-16289,760449000,,,
,,02/01/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,PUBLIC,LS2 7UE,HAFS-16290,4783717000,,,
,,02/01/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,SME,TS17 6YG,4025001-07-JAN-14,778.06,,,
,,02/01/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,MAPELEY BETA ACQ LTD C/O FI REAL ESTATE MANAGEMENT LTD,LARGE,SE1 0TA,90/001/00125/12/13,69905,Premier House Reading - Rental Charges 2013 - 2014 (25/03/2013 - 24/03/2014) Property Ref:786338,,
