"Department of Health, September 2013, spend over £25,000",,,,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,02/09/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),100018584,"£61,910.58",Closedown Agreement - Variable Service Charges,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,30/09/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,HAFS-16114,"£1,217,000.00",,TF6 6TF,PUBLIC,,,Other
Department of Health,Department of Health,30/09/2013,Additions-PDC temporary,DG: Central Technical,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-16113,"£2,500,000.00",,WF1 4TU,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND,HAFS-16005,"£4,490,363,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,CARE QUALITY COMMISSION (CQC),HAFS-16030,"£3,000,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-16031,"£15,000,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND,HAFS-16032,"£400,000,000.00",,LS1 4PL,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-16033,"£860,000.00",,SE1 6LH,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS,HAFS-16035,"£6,800,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-16036,"£6,500,000.00",,SE1 7NT,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-16037,"£18,700,000.00",,NE1 6SN,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND,HAFS-16038,"£2,336,154,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-16039,"£2,000,000.00",,SW1E 6QT,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,CASH FUNDING Rev Inside RAB,DG: Central Technical,PUBLIC HEALTH ENGLAND,HAFS-16040,"£90,000,000.00",,SP4 0JG,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,CROYDON HEALTH SERVICES NHS TRUST,HAFS-16042,"£5,000,000.00",,CR7 7YE,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-16043,"£1,000,000.00",,WF1 4TU,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,MILTON KEYNES GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-16044,"£714,000.00",,MK6 5LD,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-16045,"£4,500,000.00",,PE3 6DA,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-16046,"£65,000.00",,NW3 2QG,PUBLIC,,,Other
Department of Health,Department of Health,02/09/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical,MILTON KEYNES GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-16047,"£654,000.00",,MK6 5LD,PUBLIC,,,Other
Department of Health,Department of Health,03/09/2013,Outsourcing Contract,DG: PHD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000360218,"£33,297.17",Sheffield Death Certification Reforms Implementation Resource. 1 April 2013 to 31 March 2014.,S5 7AU,PUBLIC,,,Programme
Department of Health,Department of Health,03/09/2013,PCT and SHA Transition Cash accounts,DG: Central Technical,BEDFORDSHIRE PCT,FUNDINGAUG13,"£450,000.00",,MK40 2AW,PUBLIC,,,Admin
Department of Health,Department of Health,04/09/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),100017676,"£281,413.05",Closedown Agreement - Fixed Service Charges),WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,04/09/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),100017676,"£287,912.95",Closedown Agreement - Variable Service Charges,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,04/09/2013,Outsourcing Contract,DG: SCLGCP,COUNTY DURHAM PCT,511562,"£25,000.00",County Durham PCT - work undertaken by North East Offender Health Commissioning unit on Secondary Care Developments,DL14 6WA,PUBLIC,,,Programme
Department of Health,Department of Health,05/09/2013,Service charge,DG: ERD,GEORGE ELIOT HOSPITAL NHS TRUST,T0114007,"£60,878.39",Revenue: George Eliot FY 2013/14 STAF and LC costs for Lorenzo Deployment,CV10 7DJ,PUBLIC,,,Programme
Department of Health,Department of Health,05/09/2013,Service charge,DG: ERD,GEORGE ELIOT HOSPITAL NHS TRUST,T0114008,"£143,150.00",Revenue: George Eliot FY 2013/14 STAF and LC costs for Lorenzo Deployment,CV10 7DJ,PUBLIC,,,Programme
