Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number, Amount ,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant to OGD (Resource),Architecture + heritage progs,The Treasurer to the Queen,0050000732," 43,786.00 ",MH GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,0050000733," 351,188.00 ",HM GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Wallace Collection,0050000735," 238,200.00 ",TWC GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,0050000736," 586,106.00 ",NPG GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,0050000738," 106,167.00 ",ORNC GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,0050000739," 132,560.00 ",GM GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,Public Lending Right,0050000740," 66,076.00 ",PLR GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,0050000741," 93,416.00 ",SGSA GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Tourism bodies,VisitBritain,0050000744," 3,179,000.00 ",VB GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Victoria & Albert Museum,0050000745," 3,277,134.00 ",VA GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,The Royal Armouries,0050000746," 677,511.00 ",RA GIA  AUG 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,0050000748," 108,956.00 ",SJSM GIA AUG 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),0050000752," 3,700,000.00 ",SMG GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,0050000754," 3,689,000.00 ",NHM GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,0050000755," 1,666,820.00 ",NML GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0050000756," 35,455,500.00 ",BBC GIA AUGUST 13 PT1
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,0050000761," 1,900,907.00 ",IWM GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0050000762," 2,252,690.00 ",BFI GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,0050000763," 2,000,000.00 ",SE GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA S4C Welsh Fourth Channel,S4C-Sianel Pedwar Cymru-all inv inc. GIA,0050000766," 750,000.00 ",S4C GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Anti Doping Ltd,0050000767," 400,000.00 ",UKAD GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/08/13,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0050000768," 22,122,000.00 ",ACE GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/08/13,Internal Audit Service CLG fee,Director of Finance,Dept for Communities & Local Govt,0030031689," 45,480.30 ",INTERNAL AUDIT SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,02/08/13,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Dept for Communities & Local Govt,0030031689," 9,096.06 ",INTERNAL AUDIT SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Finance & Accounting Services,Finance & Planning,Liberata UK Ltd,0030031709," 22,067.59 ",ACCOUNTING SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Liberata UK Ltd,0030031709," 4,413.51 ",ACCOUNTING SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Grant-in-Aid (DCMS NDPBs),GIA Film Council,UK - Film Council (In liquidation),0030031712," 25,948.17 ",CONTRIBUTION TO CLOSEDOWN COSTS
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Grant-in-Aid (DCMS NDPBs),GIA Film Council,UK - Film Council (In liquidation),0030031713," 151,576.11 ",CONTRIBUTION TO CLOSEDOWN COSTS
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Maritime Museum,0050000737," 1,261,583.00 ",RMG GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Grant-in-Aid (DCMS NDPBs),GIA Gambling + Lottery bodies,National Lottery Commission,0050000742," 150,150.00 ",NLC GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Tate Gallery,0050000747," 2,741,166.00 ",TATE GIA AUG 13
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Gallery,0050000749," 2,925,214.00 ",NG GIA AUGUST 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,British Museum,0050000751," 3,825,809.00 ",BM GIA AUG 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/13,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,British Library,0050000753," 11,381,378.00 ",BL GIA AUGUST 2013
