Department family,Entity,Payment Date,Expense Type,Expense area,Supplier,Transation number, Amount ,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0050000933," 26,661,122.00 ",ACE GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0050000934," 1,926,450.00 ",BFI GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,British Museum,0050000914," 1,661,859.00 ",BM GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,0050000903," 320,000.00 ",CCT GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,0050000908," 157,560.00 ",GM GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,0050000899," 106,167.00 ",ORNC GRANT DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,0050000904," 355,113.00 ",HM GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,0050000917," 1,507,947.00 ",IWM GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,0050000926," 1,584,787.00 ",NML GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,0050000905," 586,106.00 ",NPG GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,0050000916," 3,689,000.00 ",NHM GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0050000928," 4,338,874.00 ",OFCOM SPECTRUM MANAGEMENTGIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0050000929," 258,270.00 ",OFCOM DECEMBER ORPHAN COSTS GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0050000930," 538,728.00 ",OFCOM SPECTRUM CLEARANCE GIA DECEMBER  2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),0050000919," 3,100,000.00 ",SMG GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,0050000911," 117,320.00 ",SJSM GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,0050000932," 8,500,000.00 ",SE GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,0050000900," 103,416.00 ",SGSA GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Capital Grant Private Sector,GIA Museums & Galleries,The Design Museum,0050000894," 72,355.00 ",DM GRANT DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,The Royal Armouries,0050000918," 616,414.00 ",RA GIA DECEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/12/2013,Grant-in-Aid (DCMS NDPBs),The Royal Parks - funding,The Royal Parks,0050000925," 1,000,000.00 ",TRP GIA DECEMBER 2013
