Department family,Entity,Payment Date,Expense Type,Expense area,Supplier,Transation number, Amount ,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0050000887," 16,756,957.00 ",ACE GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,0050000892," 32,000,000.00 ",BBC GIA NOVEMBER 2013 PT1
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0050000891," 3,152,990.00 ",BFI GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,British Museum,0050000883," 1,682,225.00 ",BM GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,0050000859," 275,000.00 ",CCT GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,0050000869," 132,560.00 ",GM GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,0050000858," 106,167.00 ",ORNC GRANT NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,0050000873," 394,989.00 ",HM GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,0050000879," 1,751,893.00 ",IWM GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,0050000878," 1,767,923.00 ",NML GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,0050000867," 586,106.00 ",NPG GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,0050000877," 3,689,000.00 ",NHM GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0050000885," 987,047.00 ",OFCOM SPECTRUM MANAGEMENT GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Olympic Delivery Authority,Olympic Delivery Authority (Citi Tfr),0050000875," 15,800,000.00 ",ODA GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Legal Advice,Broadband Delivery UK (Admin),Pinsent Masons,0030032712," 30,106.26 ",BROADBAND DELIVERY SEPTEMBER 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Pinsent Masons,0030032712," 6,021.25 ",BROADBAND DELIVERY SEPTEMBER 13
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),0050000880," 3,500,000.00 ",SMG GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,0050000874," 104,522.00 ",SJSM GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Capital Grants to LAs,Broadband UK Capital+Programme,Somerset County Council,0030032872," 34,108.00 ",RURAL BROADBAND GRANT -C/M/AUG
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,0050000889," 4,000,000.00 ",SE GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,0050000865," 111,416.00 ",SGSA GIA NOVEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/11/2013,Capital Grant Private Sector,GIA Museums & Galleries,The Design Museum,0050000860," 30,355.00 ",DM GRANT NOVEMBER 2013
