Department family,Entity,Payment Date,Expense Type,Expense area,Supplier,Transation number, Amount ,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0050000845," 52,576,120.00 ",ACE GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0050000843," 2,145,651.00 ",BFI GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,0050000815," 200,000.00 ",CCT GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,0050000825," 132,560.00 ",GM GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,0050000816," 106,167.00 ",ORNC GRANT OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,0050000827," 291,989.00 ",HM GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,0050000828," 1,767,111.00 ",IWM GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,0050000852," 1,622,052.00 ",NML GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,0050000837," 586,106.00 ",NPG GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,0050000829," 3,689,000.00 ",NHM GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0050000842," 3,211,458.00 ",OFCOM SPECTRUM MANAGEMENT GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant to OGD (Resource),OFCOM,OFCOM,0050000853," 94,990.00 ",OFCOM MEDIA LITERACY GIA  SEP/OCT 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0050000854," 781,496.00 ",OFCOM SPECTRUM CLEARANCE GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA S4C Welsh Fourth Channel,S4C-Sianel Pedwar Cymru-all inv inc. GIA,0050000839," 700,000.00 ",S4C GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),0050000832," 2,550,000.00 ",SMG GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,0050000823," 105,241.00 ",SJSM GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,0050000838," 15,000,000.00 ",SE GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,0050000817," 104,416.00 ",SGSA GIA OCTOBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,01/10/2013,Capital Grant Private Sector,GIA Museums & Galleries,The Design Museum,0050000814," 30,355.00 ",DM GRANT OCTOBER 2013
