Department family,Entity,Payment Date,Expense Type,Expense area,Supplier,Transation number, Amount ,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,0050000811," 26,528,000.00 ",ACE GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,0050000809," 1,897,710.00 ",BFI GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,0050000782," 300,000.00 ",CCT GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,0050000773," 132,560.00 ",GM GIA SEPTEMBER 13
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,0050000793," 106,167.00 ",ORNC GRANT SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,0050000780," 300,435.00 ",HM GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,0050000796," 1,873,844.00 ",IWM GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,0050000798," 1,666,820.00 ",NML GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,0050000779," 586,106.00 ",NPG GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,0050000791," 3,689,000.00 ",NHM GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0030032083," 522,085.00 ",OFCOM ORPHAN COSTS GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0030032085," 1,872,499.00 ",OFCOM SPECTRUM CLEARANCE SEPTEMBER 13
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,0030032086," 4,909,094.00 ",OFCOM SPECTRUM MANAGEMENT SEPTEMBER 13
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,Public Lending Right,0050000777," 86,663.00 ",PLR GIA SEPTEMBER 13 (FINAL PAYMENT PRIOR TO TRANSFER TO BRITISH LIBRARY)
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA S4C Welsh Fourth Channel,S4C-Sianel Pedwar Cymru-all inv inc. GIA,0050000810," 750,000.00 ",S4C GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),0050000784," 5,000,000.00 ",SMG GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,0050000787," 75,531.00 ",SJSM GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,0050000805," 6,500,000.00 ",SE GIA SEPTEMBER 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,0050000771," 51,416.00 ",SGSA GIA SEPTEMBER 13
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Capital Grant Private Sector,GIA Museums & Galleries,The Design Museum,0050000774," 32,355.00 ",DM GRANT SEPTEMBER 13
Department for Culture Media and Sport,Department for Culture Media and Sport,02/09/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,The Royal Armouries,0050000795," 538,914.00 ",RA GIA SEPTEMBER 2013
