Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,09/04/2014,Research,EAU Taking Part Survey,TNS UK LTD,30034335,"111,879.00",TAKING PART SURVEY 13/14 Y9 FEB 14 FIELDWORK
Department for Culture Media and Sport,Department for Culture Media and Sport,09/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30034335,"22,375.80",TAKING PART 13/14 Y9 FEB 14 FIELDWORK
Department for Culture Media and Sport,Department for Culture Media and Sport,22/04/2014,National Cutting Service,Press Office,Gorkana Group Ltd,30034419,"30,800.10",CUTTING ARTICLES/EVALUATION PROJ FEB 14
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,Research,EAU Policy Research + Eval,CIPFA Business Ltd,30034558,"39,960.00",PROFESSIONAL SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,CIPFA Business Ltd,30034558,"7,992.00",PROFESSIONAL SERVICES
Department for Culture Media and Sport,Department for Culture Media and Sport,11/04/2014,Research,EAU Taking Part Survey,TNS UK LTD,30034560,"106,852.00",TAKING PART CHILD BOOST
Department for Culture Media and Sport,Department for Culture Media and Sport,11/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30034560,"21,370.40",TAKING PART CHILD BOOST
Department for Culture Media and Sport,Department for Culture Media and Sport,09/04/2014,Research,EAU Policy Research + Eval,Nordicity UK,30034565,"36,625.00",IPMATS OF ALTERNATIVE WAYLEAVE REGIMES
Department for Culture Media and Sport,Department for Culture Media and Sport,09/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Nordicity UK,30034565,"7,325.00",IPMATS OF ALTERNATIVE WAYLEAVE REGIMES
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,Research,EAU Taking Part Survey,TNS UK LTD,30034567,"23,471.00",TAKING PART SURVEY DESIGN WORK
Department for Culture Media and Sport,Department for Culture Media and Sport,01/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30034567,"4,694.20",TAKING PART SURVEY DESIGN WORK
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2014,Grant to OGD (Resource),GOE managed programme costs,Dept for Communities & Local Govt,30034570,"765,000.00",GLA RESOURCE FUNDING - OLYMPIC TRANSFORM
Department for Culture Media and Sport,Department for Culture Media and Sport,03/04/2014,Finance & Accounting Services,Finance,Liberata UK Ltd,30034582,"21,687.32",DCMS SERVICES MAR 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Liberata UK Ltd,30034582,"4,337.47",DCMS SERVICES MAR 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/04/2014,Capital Grant Private Sector,Broadband UK Capital+Programme,Arqiva Limited,30034616,"131,697.50",MOBILE INFRASTRUCTURE PROJECT PERFORMANCE MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,07/04/2014,Accommodation Management Fees,Estates & Property Services,Cripps Harries Hall (Client A/C),30034657,"26,805.00",LICENCES TO ALTER 21 BLOOMSBURY STREET
Department for Culture Media and Sport,Department for Culture Media and Sport,07/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Cripps Harries Hall (Client A/C),30034657,"5,361.00",LICENCES TO ALTER 21 BLOOMSBURY STREET
Department for Culture Media and Sport,Department for Culture Media and Sport,07/04/2014,Finance & Accounting Services,Finance,English Heritage,30034658,"50,451.60",FINANCE SERVICES 2013/14
Department for Culture Media and Sport,Department for Culture Media and Sport,09/04/2014,T&S UK (Officials only),Procurement,Redfern Travel Limited,30034668,"33,244.14",TRAVEL/RECOVERY MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,09/04/2014,Research,EAU Policy Research + Eval,Office for National Statistics,30034684,"83,020.00",IPS SURVEY FEES FOR SPONSORED QUESTION13
Department for Culture Media and Sport,Department for Culture Media and Sport,09/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Office for National Statistics,30034684,"16,604.00",IPS SURVEY FEES FOR SPONSORED QUESTION13
Department for Culture Media and Sport,Department for Culture Media and Sport,17/04/2014,International Subscriptions,Architecture + heritage progs,UNESCO (For Tfr),30034723,"101,399.00",CONT WORLD HERITAGE FUND GB-WHC14
Department for Culture Media and Sport,Department for Culture Media and Sport,16/04/2014,Management Consultants,Broadband Delivery UK (Admin),KPMG LLP,30034724,"92,571.61",BDUK SUPPORTING FEE-MARCH 14
Department for Culture Media and Sport,Department for Culture Media and Sport,16/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,KPMG LLP,30034724,"18,514.32",BDUK SUPPORTING FEE-MARCH 14
Department for Culture Media and Sport,Department for Culture Media and Sport,14/04/2014,DCMS Wolfson Round 1 2012/13,Misc Balance Sheet,Shakespeare Birthplace Trust,30034739,"100,000.00",DRAWDOWN WOLFSON R2
Department for Culture Media and Sport,Department for Culture Media and Sport,14/04/2014,DCMS Wolfson Round 1 2012/13,Misc Balance Sheet,Historic Royal Palaces (Hampton Court),30034740,"70,142.22",DRAWDOWN WOLFSON R2
Department for Culture Media and Sport,Department for Culture Media and Sport,15/04/2014,DCMS Wolfson Round 1 2012/13,Misc Balance Sheet,York Museums Trust,30034754,"100,079.00",DRAWDOWN WOLFSON FUND ROUND 2 13-15
Department for Culture Media and Sport,Department for Culture Media and Sport,17/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,H Power Group,30034773,"9,934.93",EVENTS MANAGEMENT - WW1 COMMEMORATION
Department for Culture Media and Sport,Department for Culture Media and Sport,17/04/2014,Ceremonials - Other Costs,World War I Centenary Prog,H Power Group,30034773,"49,674.67",EVENTS MANAGEMENT - WW1 COMMEMORATION
Department for Culture Media and Sport,Department for Culture Media and Sport,23/04/2014,DCMS Wolfson Round 1 2012/13,Misc Balance Sheet,Porthcurno Telegraph Museum,30034784,"100,000.00",DRAWDOWN WOLFSON FUND ROUND 2 13/15
Department for Culture Media and Sport,Department for Culture Media and Sport,22/04/2014,Research,CASE Joint Research Projects,Simetrica,30034788,"21,937.50",RESEARCH  FEES - VALUE OF HEALTH & EDUCATION
Department for Culture Media and Sport,Department for Culture Media and Sport,22/04/2014,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Simetrica,30034788,"4,387.50",RESEARCH  FEES - VALUE OF HEALTH & EDUCA
