Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Original Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Learning & Development,Central Learning & Development,HM Revenue & Customs,30033837,"38,648.00",FAST STREAM CHARGES
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Grant to OGD (Resource),Architecture + heritage progs,The Treasurer to the Queen,50000983,"60,924.00",MH GIA FEBRUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,50000984,"106,167.00",ORNC GIA FEBRUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,50000988,"89,420.00",SGSA GIA FEBRUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,50000991,"157,561.00",GM GIA FEBRUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,50000992,"586,106.00",NPG GIA FEBRUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Wallace Collection,50000993,"248,200.00",TWC GIA FEBRUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,50000995,"397,621.00",HM GIA FEBRUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,50000996,"70,000.00",CCT GIA FEBRUARY 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/02/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,50000998,"1,747,402.00",NML GIA FEBRUARY 2014
