Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Original Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Publicity Costs - Programme,Sports - Programme Costs,Youth Sport Trust,30034168,"25,859.37",BRAZILIAN ATHLETES-SCHOOL GAMES SEP 13
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,50001031,"106,172.00",ORNC GIA MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,50001032,"154,420.00",SGSA GIA MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant to OGD (Resource),Architecture + heritage progs,The Treasurer to the Queen,50001033,"68,535.00",MH GIA MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,50001035,"472,000.00",CCT GIA MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001036,"7,513,322.00",OFCOM SPECTRUM MANAGEMENT MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001037,"432,533.00",OFCOM ORPHAN MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50001038,"49,713.00",OFCOM PSSR MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Victoria & Albert Museum,50001041,"5,402,132.00",VA GIA MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,50001042,"262,789.00",SJSM GIA MARCH 2014
Department for Culture Media and Sport,Department for Culture Media and Sport,03/03/2014,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,50001043,"509,181.00",HM GIA MARCH 2014
