Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
DEFRA,Core Defra,04/07/2012,Other Current Payments E,"Strategy, Evidence and Customers DG",SKM Enviros,JW02456," Ł28,915.36 ","Administration and management of WasteDataFlow (a survey of local authorities), including database maintenance, data validation, helpline operation etc.",CB3 6DP,,13908,00000000,Expense,,,
DEFRA,Core Defra,30/07/2012,Fuel & Utility Other,Chief Operating Officer DG,Department Of Energy and Climate Change,CRCFP2793266," Ł496,968.00 ",Fuel and Utility costs,SW1A 2AW,,,00000000,Expense,,,
DEFRA,Core Defra,06/07/2012,Gas,Chief Operating Officer DG,Corona Energy,07175496," Ł42,723.78 ","Gas bill  01/10-01/11/11 for Animal Health and Veterinary Laboraties Agency, Woodham Lane, New Haw, Weybridge, Surrey, KT15 3NB",WD17 1JW,,,B0870000,Expense,,,
DEFRA,Core Defra,12/07/2012,Dilapidation,Chief Operating Officer DG,D T Z,DEFRA145," Ł303,120.00 ",DTZ Funding: property related costs - rent and service charges and insurance,B3 2ED,,,00000000,Expense,,,
DEFRA,Core Defra,06/07/2012,Gas,Chief Operating Officer DG,Corona Energy,07188799," Ł27,113.98 ","Gas bill 01/04-01/05/12 for Animal Health and Veterinary Laboraties Agency Woodham Lane, New Haw, Weybridge, Surrey, KT15 3NB ",WD17 1JW,,,B0870000,Expense,,,
DEFRA,Core Defra,02/07/2012,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,189905," Ł38,908.60 ",Defra Property Portfolio. DTZ Asset Management Fee,EH3 9QG,,16148,DTZ00000,Expense,,,
DEFRA,Core Defra,26/07/2012,Business Rates,Chief Operating Officer DG,D T Z,160712," Ł34,681.22 ",DTZ Funding: property related costs - rent and service charges and insurance,B3 2ED,,,00000000,Expense,,,
DEFRA,Core Defra,24/07/2012,Gas,Chief Operating Officer DG,Corona Energy,07289668," Ł69,883.01 ","Gas bill 01/05-01/06/12 for Food and Environment Agency, Sand Hutton, York, North Yorkshire",WD17 1JW,,,B2810000,Expense,,,
DEFRA,Core Defra,24/07/2012,Electricity,Chief Operating Officer DG,E D F Energy,0129060712," Ł133,828.43 ","Electricity 01-30/06/12 for Food and Environment Agency, Sand Hutton, York, North Yorkshire",PL3 5XQ,,,B2810000,Expense,,,
DEFRA,Core Defra,24/07/2012,Gas,Chief Operating Officer DG,Corona Energy,07261260," Ł41,697.59 ","Gas bill 01/05-01/06/12 for Animal Health and Veterinary Laboraties Agency, Woodham Lane, New Haw, Weybridge, Surrey, KT15 3NB",WD17 1JW,,,B0870000,Expense,,,
