Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num,,
Department of Health,Department of Health,01/04/2010,CASH FUNDING Rev ND In RAB,FINANCE & OPERATIONS (DM),NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-8119,1654750000,,,
Department of Health,Department of Health,01/05/2010,Consultancy/Professional Advice,WORKFORCE,SAPIENT LTD,15888,4020,,,
Department of Health,Department of Health,01/05/2010,Expense clearing GPC (Short Term),More than one DH Directorate,BARCLAYCARD BUSINESS,1244001-18-MAY-10,127594.69,,,
Department of Health,Department of Health,01/05/2010,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,ROYAL COLLEGE OF PSYCHIATRISTS,OP/I010101,0,,,
Department of Health,Department of Health,01/05/2010,Other programme expenditure,SOCIAL CARE,BRACKNELL FOREST BOROUGH COUNCIL,3020830,81515,,,
Department of Health,Department of Health,01/05/2010,Other programme expenditure,SOCIAL CARE,READING BOROUGH COUNCIL,001/12883656,40000,,,
Department of Health,Department of Health,01/05/2010,Professional fees,FINANCE & OPERATIONS,FCM TRAVEL SOLUTIONS,1049600902,127538.27,,,
Department of Health,Department of Health,01/05/2010,Professional fees,WORKFORCE,SAPIENT LTD,15888,61076.5,,,
Department of Health,Department of Health,01/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),715130,-56987.5,,,
Department of Health,Department of Health,01/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),715130,48500,,,
Department of Health,Department of Health,01/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),716673,-58673.63,,,
Department of Health,Department of Health,01/05/2010,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),716673,49935,,,
Department of Health,Department of Health,01/05/2010,"SFVS - product & distribution costs, during April 2010",HEALTH PROTECTION AND IMPROVEMENT,G&S (Cossey) Ltd,07-Sep,84701.32,,,
Department of Health,Department of Health,02/05/2010,Expense clearing GPC (Short Term),More than one DH Directorate,BARCLAYCARD BUSINESS,1244001-18-MAY-10,13.45,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),"ASHTON, LEIGH & WIGAN PCT",HAFS-8137,39000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARKING AND DAGENHAM PCT,HAFS-8138,24200000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARNET PCT,HAFS-8139,37000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BARNSLEY PCT,HAFS-8140,10000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BASSETLAW PCT,HAFS-8141,13600000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BATH & NORTH EAST SOMERSET PCT,HAFS-8142,18000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BEDFORDSHIRE PCT,HAFS-8143,42000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BERKSHIRE EAST PCT,HAFS-8144,37959000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BERKSHIRE WEST PCT,HAFS-8145,41634000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BEXLEY CARE TRUST,HAFS-8146,23000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BIRMINGHAM EAST AND NORTH PCT,HAFS-8147,52000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,HAFS-8148,20772000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BLACKPOOL PCT,HAFS-8149,21805000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BOLTON PCT,HAFS-8150,34000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BOURNEMOUTH & POOLE PCT,HAFS-8151,44000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRADFORD AND AIREDALE PCT,HAFS-8152,52500000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRENT TEACHING PCT,HAFS-8153,39000000,,,
Department of Health,Department of Health,04/05/2010,CASH FUNDING Rev Inside RAB,FINANCE & OPERATIONS (DM),BRIGHTON & HOVE CITY TEACHING PCT,HAFS-8154,43500000,,,
