Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Allenbourn Middle School,PAYBACSAUTO224096,7316.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Allenbourn Middle School,PAYBACSAUTO224096,8402.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Allenbourn Middle School,PAYBACSAUTO224096,-6820.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Allenbourn Middle School,PAYBACSAUTO224096,11973.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Allenbourn Middle School,PAYBACSAUTO224096,175112.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Anthony Curton CoE Primary School,PAYBACSAUTO224097,50178.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Anthony Curton CoE Primary School,PAYBACSAUTO224097,8256.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Anthony Curton CoE Primary School,PAYBACSAUTO224097,2223.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ashton West End Primary School,PAYBACSAUTO224098,3820.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ashton West End Primary School,PAYBACSAUTO224098,102796.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ashton West End Primary School,PAYBACSAUTO224098,1425.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Ashton West End Primary School,PAYBACSAUTO224098,8402.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,3082.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,9263.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,70486.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,-3044.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,-69610.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,-9148.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,3044.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,9148.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Austin Farm Academy,PAYBACSAUTO224099,69610.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Beaver Green Primary School,PAYBACSAUTO230275,5106.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Beaver Green Primary School,PAYBACSAUTO230275,13104.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Beaver Green Primary School,PAYBACSAUTO230275,10060.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Beaver Green Primary School,PAYBACSAUTO230275,121262.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Oakwood Academy,PAYBACSAUTO230276,78898.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Oakwood Academy,PAYBACSAUTO230276,324365.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Oakwood Academy,PAYBACSAUTO230276,8368.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Bowerhill Primary School,PAYBACSAUTO230277,97388.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Bowerhill Primary School,PAYBACSAUTO230277,7126.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Bowerhill Primary School,PAYBACSAUTO230277,4249.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,"BRITSchool CCTA, The",PAYBACSAUTO230279,55367.25 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,-237560.00 
