Departmental Family,Entity,Date,Expense type,Expense area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",WEST SUSSEX COUNTY COUNCIL,4000254683,31000.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",WARWICKSHIRE COUNTY COUNCIL,4000254684,27000.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",SURREY COUNTY COUNCIL,4000254685,26000.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",NORTH TYNESIDE,4000254688,38683.39,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",LONDON BOROUGH OF REDBRIDGE COUNCIL,4000254694,32383.37,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",SOMERSET COUNTY COUNCIL,4000254699,81066.76,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",HERTFORDSHIRE,4000254703,78550.07,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",NOTTINGHAMSHIRE COUNTY COUNCIL,4000254708,30000.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",LANCASHIRE COUNTY COUNCIL,4000254709,26166.70,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",BRACKNELL FOREST BOROUGH COUNCIL,4000254718,30816.71,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",STOKE ON TRENT CITY COUNCIL,4000254721,92016.79,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",DARLINGTON BOROUGH COUNCIL,4000254731,42116.73,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",DORSET COUNTY COUNCIL,4000254737,45333.40,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",DERBY CITY COUNCIL,4000254738,78583.45,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",BUCKINGHAMSHIRE COUNTY COUNCIL,4000254741,46116.73,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",HAMPSHIRE C C,4000254752,52766.74,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,Teachers and Teaching Group,COLLEGE OF TEACHING LTD,4000254758,84617.65,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",THE FRONTLINE ORGANISATION,4000254774,130009.52,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",SHEFFIELD CITY COUNCIL,4000254779,132050.17,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,Children's Services Special Educational Needs Group,THE FAMILY FUND TRUST,4000254781,1917000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Professional Services Consultancy and Contingent Labour,Information Technology Group,CAPGEMINI UK PLC,4000254786,131.76,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,ICT,Information Technology Group,CAPGEMINI UK PLC,4000254786,92023.62,ICT Services
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",METROPOLITAN BOROUGH OF WIRRAL,4000254799,55416.75,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Programme costs,Adoption and Children in Care Division,MOTT MACDONALD LTD,4000254804,81981.39,Funding to deliver policies (excluding consultancy) paid to third parties via a service delivery contract
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",SALFORD CITY COUNCIL,4000254818,54983.41,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,4000254820,91150.11,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,ICT,Change Team,CAPGEMINI UK PLC,4000254786,580.00,ICT Services - hardware maintenance and support
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Professional Services Other,"Assessment, Curriculum and General Qualifications Group",CAPGEMINI UK PLC,4000254786,7915.20,"Fees / expenses of professionals, for example to implement advice or changes"
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Professional Services Other,Strategic Analysis and Research Group,IFF RESEARCH LTD,4000254777,221312.00,Research and evaluation activities
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",LONDON BOROUGH OF BROMLEY COUNCIL,4000254765,66283.43,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,01/12/2016,Grants,"Children's Services, Equalities and Communication Safeguarding Group",CAMBRIDGESHIRE COUNTY COUNCIL,4000254715,67416.75,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Nottingham Academy,6559247,1190918.17,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,LANGDON ACADEMY,6595585,1038728.46,Sixth Form funding payments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Priority Schools Building Programme - Capital Team 1,Kier London,844052,1004267.98,Capital grants paid to local authorities and other educational establishments
Department for Education,EDUCATION FUNDING AGENCY,01/12/2016,Grants,Education Funding Group,Loxford School,6594809,910384.92,Sixth Form funding payments
