Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,YORK CITY COUNCIL,4000051094,4216267
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WORCESTERSHIRE COUNTY COUNCIL,4000051093,13575204
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WOLVERHAMPTON CITY COUNCIL,4000051092,7166059
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WOKINGHAM BOROUGH COUNCIL,4000051091,4141576
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WILTSHIRE COUNCIL,4000051090,11249363
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WIGAN MBC,4000051089,8831696
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WEST SUSSEX COUNTY COUNCIL,4000051088,18551745
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WEST BERKSHIRE COUNCIL,4000051087,4536481
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WARWICKSHIRE COUNTY COUNCIL,4000051086,13423955
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WARRINGTON BOROUGH COUNCIL,4000051085,5618523
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WALSALL MBC,4000051084,8199924
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,WAKEFIELD MDC,4000051083,8784028
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Safeguarding Group,UNIVERSITY OF STIRLING,4000051121,99452
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,TRAFFORD MB COUNCIL,4000051082,6294438
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,TORBAY COUNCIL,4000051081,3263491
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,THURROCK COUNCIL,4000051080,4446991
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,4000051079,3635872
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,4000051078,3074568
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,STAFF EXPENSES / COSTS,Children Young People and Families Early Years Extended Schools and Special Needs,THE MEDIA GROUP TMG TV LTD,4000051117,195896.4
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,THE LONDON BOROUGH OF HACKNEY,4000051077,7577313
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,TELFORD & WREKIN COUNCIL,4000051076,4556581
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,TAMESIDE MBC,4000051075,6042615
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SWINDON BOROUGH COUNCIL,4000051074,5296345
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SURREY COUNTY COUNCIL,4000051073,26889261
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SUNDERLAND CITY COUNCIL,4000051072,7294172
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SUFFOLK COUNTY COUNCIL,4000051071,17303636
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,STOKE ON TRENT CITY COUNCIL,4000051070,6856015
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,STOCKTON ON TEES,4000051069,5314365
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,STOCKPORT MBC,4000051068,7197254
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,STAFFORDSHIRE COUNCIL,4000051067,21125766
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,ST HELENS MBC,4000051066,4851080
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SOUTHEND ON SEA BOROUGH COUNCIL,4000051065,4898157
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SOUTHAMPTON CITY COUNCIL,4000051064,5356622
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SOUTH TYNESIDE,4000051063,4334612
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SOUTH GLOUCEST,4000051062,6419513
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SOMERSET COUNTY COUNCIL,4000051061,12512200
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SOLIHULL MBC,4000051060,5638810
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SLOUGH BOROUGH COUNCIL,4000051059,4519482
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SHROPSHIRE COUNCIL,4000051058,7008456
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SHEFFIELD CITY COUNCIL,4000051057,13612254
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SEFTON COUNCIL,4000051056,7679006
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SANDWELL MBC,4000051055,9035523
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,SALFORD CITY COUNCIL,4000051054,6336697
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,RUTLAND COUNTY COUNCIL,4000051053,974052
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,4000051052,4166427
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,ROTHERHAM MBC,4000051051,7860377
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,ROCHDALE MBC,4000051050,6698587
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,REDCAR & CLEVELAND BOROUGH COUNCIL,4000051049,4214614
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,READING BOROUGH COUNCIL,4000051048,3261419
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,PORTSMOUTH CITY COUNCIL,4000051047,4788314
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,POOLE BOROUGH COUNCIL,4000051046,3166563
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,PLYMOUTH CITY COUNCIL,4000051045,6567488
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,PETERBOROUGH CITY COUNCIL,4000051044,5279708
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,PARENTLINE PLUS,4000051111,61107.3
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,OXFORDSHIRE COUNTY COUNCIL,4000051043,15171519
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,OLDHAM MBC,4000051042,7643810
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NOTTINGHAMSHIRE COUNTY COUNCIL,4000051041,19941906
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NOTTINGHAM CITY COUNCIL,4000051040,7340160
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NORTHUMBERLAND COUNTY COUNCIL,4000051039,7562848
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NORTHAMPTONSHIRE COUNTY COUNCIL,4000051038,17755423
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NORTH YORKSHIRE COUNTY COUNCIL,4000051037,15078588
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NORTH TYNESIDE,4000051036,5278258
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NORTH SOMERSET COUNCIL,4000051035,5193794
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NORTH LINCOLNSHIRE COUNCIL,4000051034,4447227
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NORTH EAST LINCOLNSHIRE COUNCIL,4000051033,3938695
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NORFOLK COUNTY COUNCIL,4000051032,19763536
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,NEWCASTLE CITY COUNCIL,4000051031,6762632
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,MISCELLANEOUS EXPENDITURE,Chief Information Officer Group EFM,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,4000051110,38102.3
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,FACILITIES OTHER,Chief Information Officer Group EFM,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,4000051110,25554.28
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,FACILITIES OTHER,Chief Information Officer Group EFM,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,4000051110,12587.06
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,MILTON KEYNES COUNCIL,4000051030,7303416
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,MIDDLESBROUGH COUNCIL,4000051029,3883050
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,METROPOLITAN BOROUGH OF WIRRAL,4000051028,9067347
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,MEDWAY COUNCIL,4000051027,7229521
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,MANCHESTER CITY COUNCIL,4000051026,13713854
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LUTON BOROUGH COUNCIL,4000051025,6563742
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF WANDSWORTH COUNCIL,4000051024,7154429
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,4000051023,8198649
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,4000051022,11598519
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF SUTTON,4000051021,5958934
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF SOUTHWARK COUNCIL,4000051020,8073092
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF RICHMOND UPON THAMES,4000051019,4178438
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF REDBRIDGE,4000051018,8897083
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF NEWHAM,4000051017,12541273
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF MERTON COUNCIL,4000051016,4754394
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF LEWISHAM,4000051015,8639704
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF LAMBETH COUNCIL,4000051014,8571991
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF ISLINGTON COUNCIL,4000051013,6025757
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HOUNSLOW COUNCIL,4000051012,7604136
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HILLINGDON  COUNCIL,4000051011,8310553
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HAVERING COUNCIL,4000051010,7193551
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HARROW COUNCIL,4000051009,6536716
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HARINGEY,4000051008,8094765
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,4000051007,4362913
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF GREENWICH,4000051006,8763269
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF ENFIELD COUNCIL,4000051005,9866454
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF EALING COUNCIL,4000051004,10109434
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF CROYDON COUNCIL,4000051003,9439226
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF CAMDEN,4000051002,6198315
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BROMLEY COUNCIL,4000051001,8388831
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BRENT,4000051000,9261397
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BEXLEY COUNCIL,4000050999,7024022
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BARNET COUNCIL,4000050998,9563208
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,4000050997,7032438
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LIVERPOOL CITY COUNCIL,4000050996,12925725
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LINCOLNSHIRE COUNTY COUNCIL,4000050995,17046871
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LEICESTERSHIRE COUNTY COUNCIL,4000050994,15922493
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LEICESTER CITY COUNCIL,4000050993,9602598
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LEEDS CITY COUNCIL,4000050992,19155941
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,LEARNING & SKILLS COUNCIL,4000051109,211779.6
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,LANCASHIRE COUNTY COUNCIL,4000050991,31460506
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,KNOWSLEY MBC,4000050990,4721629
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,KIRKLEES COUNCIL,4000050989,12146637
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,KINGSTON UPON HULL COUNCIL,4000050988,6948005
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,KENT COUNTY COUNCIL,4000050987,36374778
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,ISLE OF WIGHT COUNCIL,4000050986,3493368
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,HERTFORDSHIRE,4000050985,30261477
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,HEREFORDSHIRE COUNCIL,4000050984,4053540
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,HARTLEPOOL BOROUGH COUNCIL,4000050983,2946890
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,HAMPSHIRE COUNTY COUNCIL,4000050982,32341064
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,HALTON BOROUGH COUNCIL,4000050981,3813385
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,GLOUCESTERSHIRE COUNTY COUNCIL,4000050980,14765830
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,GATESHEAD MBC,4000050979,5162180
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,ESSEX COUNTY COUNCIL,4000050978,35506826
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,Academies Delivery Group,EATON BRAY LOWER SCHOOL,4000051102,25000
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,EAST SUSSEX COUNTY COUNCIL,4000050977,12574578
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,EAST RIDING OF YORKSHIRE,4000050976,8352701
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,DURHAM COUNTY COUNCIL,4000050975,13581089
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,DUDLEY MBC,4000050974,9173888
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,DORSET COUNTY COUNCIL,4000050973,9751703
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,DONCASTER MBC,4000050972,8014659
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,DEVON COUNTY COUNCIL,4000050971,16762926
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,DERBYSHIRE COUNTY COUNCIL,4000050970,19628809
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,DERBY CITY COUNCIL,4000050969,7159577
Department for Education,DEPARTMENT FOR EDUCATION,01/04/2011,CURRENT GRANTS,School Resources Group,DARLINGTON BOROUGH COUNCIL,4000050968,2803198
