Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,10/05/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,NATIONAL SCIENCE LEARNING CENTRE,1000365,759300
Department for Education,DEPARTMENT FOR EDUCATION,10/05/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,NATIONAL SCIENCE LEARNING CENTRE,1000368,700000
Department for Education,DEPARTMENT FOR EDUCATION,10/05/2011,GRANT IN AID,Qualifications Strategy and Reform Group,QUALIFICATIONS & CURRICULUM AUTHORITY,1000369,7896164
Department for Education,DEPARTMENT FOR EDUCATION,13/05/2011,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,THE QUILLIAM FOUNDATION LTD,1000370,120000
Department for Education,DEPARTMENT FOR EDUCATION,16/05/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,MATHEMATICS IN EDUCATION & INDUSTRY,1000371,179969.33
Department for Education,DEPARTMENT FOR EDUCATION,16/05/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,NATIONAL SCIENCE LEARNING CENTRE,1000372,461246.27
Department for Education,DEPARTMENT FOR EDUCATION,16/05/2011,CURRENT GRANTS,Children Young People and Families Group,YMCA,1000373,54484
Department for Education,TEACHERS PENSION SCHEME,04/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP HSBC,1000591,74447.13
Department for Education,TEACHERS PENSION SCHEME,04/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP NATWEST,1000592,56301538.05
Department for Education,TEACHERS PENSION SCHEME,05/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP HSBC,1000593,461895.54
Department for Education,TEACHERS PENSION SCHEME,05/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP NATWEST,1000594,16521961.12
Department for Education,TEACHERS PENSION SCHEME,09/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP HSBC,1000595,354967.48
Department for Education,TEACHERS PENSION SCHEME,09/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP NATWEST,1000596,44569839.61
Department for Education,TEACHERS PENSION SCHEME,09/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP HSBC,1000597,798828.48
Department for Education,TEACHERS PENSION SCHEME,09/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP NATWEST,1000598,19563639.67
Department for Education,TEACHERS PENSION SCHEME,10/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP HSBC,1000599,104531.15
Department for Education,TEACHERS PENSION SCHEME,10/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP NATWEST,1000600,17725288.95
Department for Education,TEACHERS PENSION SCHEME,12/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP HSBC,1000601,189507.58
Department for Education,TEACHERS PENSION SCHEME,12/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP NATWEST,1000602,17569342.03
Department for Education,TEACHERS PENSION SCHEME,13/05/2011,FUNDING TO PAY TEACHERS PENSIONS,WORKFORCE GROUP - TPS,CAPITA TP HSBC,1000603,300467.76
