Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,02/09/2011,Capital Grants,School Resources Group,ATKINS LTD,4000060746,94353.11,Capital grant paid to a private sector organisation,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,05/09/2011,Capital Grants,School Resources Group,NPS SOUTH EAST LTD,4000060805,33698.07,Capital grant paid to a private sector organisation,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,01/09/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SANDWELL MBC,4000060735,2081847,Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,Capital Grants,School Resources Group,HARRIS ACADEMIES PROJECT MANAGEMENT LTD,4000061417,108587.4,Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,27/09/2011,Capital Grants,Academies Delivery Group,EAST SUSSEX COUNTY COUNCIL,4000061915,31560,Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,01/09/2011,Capital Grants,School Resources Group,THE HAREFIELD ACADEMY,4000060730,552719.62,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/09/2011,Capital Grants,School Resources Group,HAMMERSMITH ACADEMY TRUST ACCOUNT,4000060753,95332.52,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/09/2011,Capital Grants,School Resources Group,HARRIS GIRLS ACADEMY EAST DULWICH,4000060754,149221.84,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/09/2011,Capital Grants,School Resources Group,THE ST MATTHEWS ACADEMY CAPITAL,4000061169,344800.5,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Capital Grants,School Resources Group,BEDE  ACADEMY,4000061207,37458.05,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Capital Grants,Academies Delivery Group,BIRMINGHAM ORMISTON ACADEMY,4000061208,52573.37,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,14/09/2011,Capital Grants,School Resources Group,THE ST MATTHEWS ACADEMY CAPITAL,4000061243,41773.92,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,15/09/2011,Capital Grants,School Resources Group,UNITED LEARNING TRUST,4000061327,388779.37,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,Capital Grants,Academies Delivery Group,ACADEMY ENTERPRISE TRUST,4000061395,75854.26,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/09/2011,Capital Grants,School Resources Group,CITY OF LONDON ACADEMY ISLINGTON LTD,4000061407,368727.77,"Capital grants paid to organisations including agencies, arms length bodies and educational establishments ",Public Sector
