Departmental Family,Entity,Date,Expense Type,Expense Area ,Supplier,Expenditure Description,Supplier type,"Transaction
Number",Amount
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Directorate Support Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,70.24
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,72.84
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,889.73
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,90.3
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,84.22
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,11.48
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,73.65
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,66.95
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Families Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,71.18
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,118.68"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"1,091.84"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,974.81
