Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type
Defra,EA,03/04/2012,Operational Goods & Services,NE Regional Monitoring Manager,YSI Hydrodata Ltd,1061059,"£25,092.00",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30240451,RENE670006,Administration
Defra,EA,03/04/2012,Operational Goods & Services,SW Devon & Cornwall Field Monitoring-AEM | Operations Technical Services | SW Capital WiP,YSI Hydrodata Ltd,1061088,"£59,317.20",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30282796,RESW000451 | HOOP000136 | IMSW001134,Administration
Defra,EA,03/04/2012,Operational Goods & Services,NLS Instrumentation | HO Head of Monitoring & Analytical Services,YSI Hydrodata Ltd,1061253,"£1,164,449.20",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,, | NL00000060 | ,Administration
Defra,EA,03/04/2012,Operational Goods & Services,HO Capital WiP,YSI Hydrodata Ltd,1061319,"£27,324.00",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30282796,FCPIM00037B01,Administration
Defra,EA,03/04/2012,Operational Goods & Services,NLS Instrumentation,YSI Hydrodata Ltd,1061444,"£111,648.00",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30240451,NL00000053,Administration
Defra,EA,03/04/2012,Operational Goods & Services,NLS Instrumentation,YSI Hydrodata Ltd,1061452,"£68,400.00",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30240451,NL00000053,Administration
Defra,EA,05/04/2012,Operational Goods & Services,NLS Instrumentation | HO Head of Monitoring & Analytical Services,YSI Hydrodata Ltd,1062393,"£313,253.52",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,, | NL00000060 |  | ,Administration
Defra,EA,05/04/2012,Operational Goods & Services,HO Head of Monitoring & Analytical Services,YSI Hydrodata Ltd,1062402,"£122,912.87",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30240451,NL00000060,Administration
Defra,EA,05/04/2012,Operational Goods & Services,HO Head of Monitoring & Analytical Services,YSI Hydrodata Ltd,1062407,"£121,308.00",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30240451,NL00000060,Administration
Defra,EA,05/04/2012,Operational Goods & Services,NLS Instrumentation,YSI Hydrodata Ltd,1062409,"£96,774.30",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30240451,NL00000053,Administration
Defra,EA,12/04/2012,Operational Goods & Services,NLS Instrumentation,YSI Hydrodata Ltd,1065303,"£28,632.00",Water quality and hydrology monitoring and testing instruments,SG6 1FJ,,30240451,NL00000056,Administration
Defra,EA,17/04/2012,Construction,SE SSD - Ops Delivery,Wolseley UK Ltd,1064847,"£28,718.40",Euro oak boards oak timber for Farlington Seawall ,HG4 1XV,,30122868,RESO100145,Project
Defra,EA,19/04/2012,Construction,NW North-Ops Delivery,William Pye Ltd,1066591,"£28,459.50",Green Lane Wigan construction of minor works,PR3 3BT,,30239798,RENW100038,Project
Defra,EA,10/04/2012,Professional Services Other,NE Capital WiP,White Young Green,1061768,"£50,518.98",Greatham managed realignment. National site investigation framework,LS6 2WQ,,30309584,IMNE000823,Project
Defra,EA,10/04/2012,Professional Services Other,NE Capital WiP,White Young Green,1063107,"£30,199.85",East Hull flood alleviation scheme ground investigation. National site investigation framework,LS6 2WQ,,30309584,IMNE000114,Project
