Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/02/13,Supplies and Services, WORKSPACE AND BETTER TOOLS PLAN,TNT UK LTD,3000032852,"28,142.84",Record management services,BL0 9AR,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,CANTOR & BALL LTD,3000032842,"29,600.00",IT development costs,SE1 0BU,SME,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,ATOS ORIGIN IT SERVICES UK LTD,3000032851,"43,992.00",Cost of hosting GOV.UK,NW1 3HG,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/02/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000032855,"68,750.00",Payroll Giving Project grant ,SW8 1UD,SME,Grants,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,01/02/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000032862,"262,010.51",Software development services to support GOV.uk ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/02/13,Supplies and Services,HONOURS AND APPOINTMENTS,THE TREASURER TO THE QUEEN,3000032890,"71,911.00",Central chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme, ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/02/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000032904,"151,046.50","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/02/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,PETROC,3000032886,178829,National Citizen Service contract,EX31 2BQ,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/02/13,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000032905,"1,456,333.00",Monitoring services provided by the BBC,M14 0EP,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/02/13,Supplies and Services, WORKSPACE AND BETTER TOOLS PLAN,HM TREASURY,3000032937,"28,490.53",Office move costs,NR7 0HS ,Government Department,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/02/13,Accomodation and Utilities, WORKSPACE AND BETTER TOOLS PLAN,HM TREASURY,3000032937,"43,417.27",Office move costs,NR7 0HS ,Government Department,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,05/02/13,GPS Systems Support & Training,eCommerce,Procserve Shared Services Ltd,PINVP2P 1504,"53,449.67",eMarketplace development,SW1E 5RS,Large,Admin,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/02/13,Assets Under Construction,POLITICAL AND CONSTITUTIONAL REFORM,SPECIALIST COMPUTER CENTRE PLC,3000032947,"70,260.65","Development, rollout and testing of the digital service environment needed to support Individual Electoral Registration to ensure it is ready to rollout across all Local Authorities by March 2013 ",B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/02/13,IT Costs,OFFICE FOR CIVIL SOCIETY,NCVO,3000032940,"89,334.00",Funding Central website delivery cost,N1 9RL,SME,Programme,,,,,,,,,,,,,,,,,,
